)bR	ombres
)d	ondes
)dyle	ondulés
)gRwa	hongrois
)gl	ongles
)kl	oncles
)s	onces
)t	hontes
)z	onze
1bl	humbles
1tEl	untel
2Rop	euros
2dEm	oedèmes
2tanazi	euthanasies
5ZEkte	injectés
5Zeny	ingénus
5ZyR	injures
5besil	imbéciles
5bibe	imbibés
5d8iR	induire
5dEks	index
5dEmn	indemnes
5desi	indécis
5diNe	indignés
5diZEn	indigènes
5dis	indices
5dividy	individus
5dylZ@	indulgents
5dystRi	industries
5f@t(Ri	infanteries
5fEste	infestés
5fORmatik	informatiques
5faRktys	infarctus
5fami	infamies
5feRj9R	inférieurs
5fim	infimes
5fliZe	infligés
5flye	influé
5gRedj@	ingrédients
5k)be	incomber
5kRyste	incrustés
5kaRne	incarnés
5kaRseRe	incarcérés
5kjetyd	inquiétudes
5kline	inclinés
5klyR	inclure
5koNito	incognitos
5kylke	inculqués
5kylpe	inculpés
5pORte	importés
5pORtyne	importunés
5pOst9R	imposteurs
5pReNe	imprégnés
5pResaRjo	imprésarios
5pRovize	improvisés
5peRatif	impératifs
5plike	impliqués
5ploRe	implorée
5pyd@	impudents
5s@di	incendies
5sEst	incestes
5sOl@	insolent
5sOmni	insomnies
5sid@	incidents
5sin8e	insinuée
5sineRe	incinérés
5siste	insisté
5size	incisés
5skRiR	inscrire
5solit	insolites
5spEkte	inspectés
5spiRe	inspirés
5st5	instincts
5stR8iR	instruire
5stale	installés
5stity	instituts
5stoRe	instaurés
5sylin	insuline
5sylt	insultes
5t@s	intenses
5t@te	intentés
5tER)pR	interrompre
5tERdiR	interdirent
5tERfeRe	interféré
5tERna	internats
5tERoZe	interrogés
5tERpEle	interpellez
5tERpREt	interprètes
5tERpoze	interposés
5tERsEpte	interceptés
5tERv(niR	intervenir
5tERval	intervalles
5tEgR	intègres
5tEst5	intestins
5tRepid	intrépides
5tRig	intrigues
5tRy	intrus
5teRE	intérêts
5teRim	intérims
5teRj9R	intérieurs
5tegRe	intégrés
5teliZ@	intelligents
5v@te	inventés
5vEstiR	investirent
5vazj)	invasions
5vite	invités
5voke	invoqués
8e	hués
8i	huis
8il	huiles
8isje	huissiers
8itR	huîtres
9R	heurts
9f	oeuf
9j	oeils
9jE	oeillets
9vR	oeuvres
@S	hanches
@S@te	enchantés
@SER	enchères
@Sene	enchaînés
@Swa	anchois
@Z	anges
@Z2	enjeux
@Z5	engins
@Z@dRe	engendrés
@Zin	angines
@Zole	enjôlée
@Zwe	enjoués
@bEte	embêtés
@bRas	embrasses
@baRa	embarras
@baRase	embarrassés
