Word	Match	Lexicality	Old20	Old20_Diff	Overlap_Ratio	Maxdeviation	Summed_Deviation	Maxdeviation_Transition
:i::m:j:u	1mju	N	1.85	0.0	5/6	-3	3	_[1]mju_
:i::m:j:u	1mdj	N	2.75	0.9	1/2	-16	40	_1[md]j9
:i::m:j:u	1mEn	N	1.9	0.05	1/2	-16	35	_1mE[nt]
:i::m:j:u	1nEn	N	2.0	0.15	1/3	-16	57	_1nE[nt]
:i::m:j:u	1nJ@	N	2.55	0.7	1/3	-15	46	_1nJ[@t]
:i::m:j:u	1nju	N	1.85	0.0	2/3	13	26	_1[n]ju_
:i::m:j:u	1n_@	N	1.95	0.1	1/3	13	28	_1[n]_@l
:i::m:j:u	1n_E	N	2.5	0.65	1/3	13	35	_1[n]_Et
:i::m:j:u	imdj	N	2.9	1.05	2/3	-16	37	_i[md]j9
:i::m:j:u	imEn	N	1.85	0.0	2/3	11	27	_im[En]_
:i::m:j:u	inJ@	N	2.8	0.95	1/2	-15	43	_inJ[@t]
:i::m:j:u	inEn	N	2.0	0.15	1/2	-16	54	_inE[nt]
:i::m:j:u	inju	N	1.85	0.0	5/6	13	23	_i[n]ju_
:i::m:j:u	in_@	N	2.65	0.8	1/2	-15	33	_in_[@t]
:i::m:j:u	in_E	N	2.95	1.1	1/2	13	31	_i[n]_El
:i::m:j:u	1pli	N	1.95	0.1	1/3	-30	76	_1p[li]n
:i::m:j:u	1pl{	N	2.05	0.2	1/3	30	72	_1pl[{n]
:i::m:j:u	1plu	N	2.0	0.15	1/2	-24	79	_1pl[un]
:i::m:j:u	1plE	N	2.25	0.4	1/3	20	47	_1[p]lEl
:i::m:j:u	1plj	N	2.35	0.5	1/3	-29	73	_1p[lj]9
:s:l:I:N:k	sl1n{	N	2.15	0.65	1/2	-7	18	_s[l1]n{n
:s:l:I:N:k	sl1ns	N	2.0	0.5	1/2	-7	20	_s[l1]ns
:s:l:I:N:k	sl1nt	N	1.8	0.3	1/2	-7	18	_s[l1]nt
:s:l:I:N:k	slIk{	N	1.95	0.45	2/3	10	21	_slI[k{]n
:s:l:I:N:k	slIk#	N	1.95	0.45	2/3	-15	30	_slI[k#]
:s:l:I:N:k	slIks	N	1.7	0.2	2/3	-10	20	_slI[ks]
:s:l:I:N:k	slIp{	N	1.85	0.35	2/3	-10	24	_sl[Ip]{n
:s:l:I:N:k	slIp#	N	1.85	0.35	2/3	-10	27	_sl[Ip]#
:s:l:I:N:k	slIm{	N	1.95	0.45	2/3	13	28	_slI[m{]n
:s:l:I:N:k	slImp	N	1.7	0.2	2/3	-11	28	_sl[Im]pE
:s:l:I:N:k	slIm#	N	1.95	0.45	2/3	-15	34	_slI[m#]
:s:l:I:N:k	sl1t7	N	1.9	0.4	1/2	-12	36	_sl1[t7]
:s:l:I:N:k	sl1ts	N	1.9	0.4	1/2	-10	26	_sl[1t]s
:s:l:I:N:k	s{mit	N	2.25	0.75	1/3	-32	117	_s{[mi]tj
:s:l:I:N:k	s{mis	N	2.65	1.15	1/3	-32	111	_s{[mi]sE
:s:l:I:N:k	s{miz	N	2.4	0.9	1/3	-32	121	_s{[mi]z_
:s:l:I:N:k	s{mil	N	2.35	0.85	1/3	-32	112	_s{[mi]l_
:s:l:I:N:k	s{miv	N	2.75	1.25	1/3	-32	93	_s{[mi]v@
:s:l:I:N:k	s{mik	N	2.1	0.6	1/2	-32	91	_s{[mi]kr
:s:l:I:N:k	s{min	N	1.9	0.4	1/3	-32	111	_s{[mi]n_
:m:I:n::s:t:r:@:l	mInstr@m	N	2.65	0.2	9/10	-6	12	_mInstr[@m]@
:m:I:n::s:t:r:@:l	mInstr@k	N	2.7	0.25	9/10	-54	100	_mInstr@[k]
:m:I:n::s:t:r:@:l	mInstr@z	N	2.75	0.3	9/10	-43	44	_mInstr[@z]_
:m:I:n::s:t:r:@:l	mInstr@t	N	2.7	0.25	9/10	-43	49	_mInstr@[t]
:m:I:n::s:t:r:@:l	mInstrIS	N	2.85	0.4	4/5	48	77	_mInst[rI]SH
:m:I:n::s:t:r:@:l	mInstrIm	N	2.75	0.3	4/5	48	94	_mInst[rI]m@
:m:I:n::s:t:r:@:l	mInstrIl	N	2.65	0.2	9/10	48	94	_mInst[rI]l@
:m:I:n::s:t:r:@:l	mInstrIt	N	2.85	0.4	4/5	48	104	_mInst[rI]t
:m:I:n::s:t:r:@:l	mInstrIn	N	2.85	0.4	4/5	48	81	_mInst[rI]n
:m:I:n::s:t:r:@:l	mInstrIv	N	2.85	0.4	4/5	-56	159	_mInstrI[v_]
:m:I:n::s:t:r:@:l	mInstrIz	N	2.85	0.4	4/5	48	86	_mInst[rI]z_
:m:I:n::s:t:r:@:l	mInst@ns	N	2.7	0.25	7/10	63	147	_mIns[t@]ns
:m:I:n::s:t:r:@:l	mInst@nQ	N	2.85	0.4	7/10	63	220	_mIns[t@]nQ
:m:I:n::s:t:r:@:l	mInst@n1	N	2.85	0.4	7/10	63	150	_mIns[t@]n1t
:m:I:n::s:t:r:@:l	mInst@nP	N	2.85	0.4	7/10	63	182	_mIns[t@]nP_
:m:I:n::s:t:r:@:l	mInst@n{	N	2.85	0.4	7/10	63	203	_mIns[t@]n{
:m:I:n::s:t:r:@:l	mInst@nj	N	2.85	0.4	7/10	63	196	_mIns[t@]nj@
:m:I:n::s:t:r:@:l	mInst@nt	N	2.6	0.15	7/10	63	237	_mIns[t@]ntr
:m:I:n::s:t:r:@:l	mInst@n2	N	2.85	0.4	7/10	63	204	_mIns[t@]n2z
