lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,13237,16637,4.95285503561,5343,0.195364860586,0.302467146844,69,68,1,4.22249746601,7.74993455697,10.5841091225,11.5412218161,11.222238008,0.0,0.0174059517125,0.2376941793,0.663672094329,0.895751450496
0,0,0,12821,16328,4.94218841323,5343,0.205020304808,0.308908525202,72,70,5,4.21792419421,7.70228668008,10.441038092,11.6044050177,11.3255068605,0.0,0.0131012539772,0.190342504211,0.706531910911,0.946284858694
1,0,0,12888,16494,4.93099779674,5343,0.207533162112,0.306711546308,78,61,2,4.21333657008,7.70498378657,10.4412424791,11.6001929779,11.3242192512,0.000374321542205,0.012726932435,0.201572150477,0.701852891634,0.944226090211
2,0,0,12858,16315,4.93804480969,5343,0.204777968196,0.308893200379,84,65,2,4.23692488322,7.71264346484,10.4626698868,11.6256482496,11.3415650375,0.000187160771102,0.0142242186038,0.200636346622,0.707280553996,0.953396967996
3,0,0,12877,16469,4.93743581896,5343,0.205874381896,0.306951612345,71,72,2,4.21175448506,7.67849489048,10.4262548289,11.5998622209,11.3307464295,0.000187160771102,0.0131012539772,0.189219539585,0.703350177803,0.947033501778
4,0,0,12570,16079,4.9425317632,5343,0.202061028224,0.306082939396,83,62,1,4.2130961443,7.69666309758,10.4465790177,11.6022900217,11.3330869362,0.000187160771102,0.0142242186038,0.196705970429,0.696986711585,0.948905109489
5,0,0,12890,16543,4.93204851773,5343,0.210404974946,0.302565418416,83,87,5,4.2059557608,7.70181077036,10.4294148003,11.5865062227,11.3303427456,0.000187160771102,0.0153471832304,0.190716825753,0.691184727681,0.949466591802
6,0,0,12669,16249,4.94299493531,5343,0.204593669998,0.303067110486,84,77,1,4.23201868301,7.72383206341,10.4715855229,11.6023411359,11.3420140503,0.000374321542205,0.0112296462661,0.196518809657,0.69773535467,0.953958450309
7,0,0,12759,16295,4.93292861481,5343,0.211955129683,0.307878582225,71,64,1,4.19652064172,7.67406340706,10.4519346828,11.5694949211,11.3206349618,0.000374321542205,0.0114168070372,0.192401272693,0.688564476886,0.944413250983
8,0,0,12655,16217,4.94059232635,5343,0.20410096931,0.308636942675,74,60,0,4.2284114303,7.70290812821,10.4454970868,11.5869535125,11.3191111383,0.000187160771102,0.0123526108928,0.201197828935,0.697173872356,0.943477447127
9,0,0,12871,16409,4.94106797117,5343,0.203088138215,0.308186673411,69,74,1,4.21929709944,7.70290403932,10.4565070911,11.6198335571,11.3455248103,0.0,0.0149728616882,0.199139060453,0.703537338574,0.956017218791
10,0,0,12562,16171,4.93143665407,5343,0.203215586052,0.299450164328,78,74,1,4.2063820813,7.68505570555,10.409305952,11.5566101961,11.3365163538,0.000374321542205,0.0129140932061,0.189593861127,0.680142242186,0.950028074116
11,0,0,13101,16685,4.93197928717,5343,0.209440253701,0.307631587868,82,77,2,4.21606811592,7.69813822154,10.4294605438,11.5866865976,11.3240643794,0.0,0.0121654501217,0.197454613513,0.700355605465,0.945536215609
12,0,0,12689,16212,4.9454898984,5343,0.209025615839,0.309881087925,81,68,1,4.22882495977,7.71165090595,10.4515623897,11.5901333141,11.3225405559,0.0,0.0132884147483,0.199139060453,0.70110424855,0.943103125585
13,0,0,12990,16508,4.93505976707,5343,0.213452942854,0.307094761783,100,83,2,4.19054853572,7.65228650499,10.4220773109,11.5894673526,11.3238875943,0.000187160771102,0.0149728616882,0.20026202508,0.699232640838,0.946284858694
14,0,0,12848,16434,4.93857286794,5343,0.206460639296,0.304873492445,82,86,2,4.22442495982,7.72482517276,10.4564286295,11.6124415161,11.3236153666,0.000187160771102,0.0114168070372,0.184914841849,0.699606962381,0.94572337638
15,0,0,12918,16543,4.9354265209,5343,0.200969540781,0.30219149875,91,67,2,4.22251376296,7.69416495471,10.4501022234,11.6164778767,11.3425585058,0.000187160771102,0.0136627362905,0.194272880404,0.712146734045,0.952835485682
16,0,0,12721,16351,4.93549435004,5343,0.203618204171,0.303438607815,92,69,0,4.22981843543,7.70168681341,10.4388587703,11.5954216273,11.3329101511,0.000187160771102,0.0119782893506,0.191278308067,0.706719071683,0.948156466405
17,0,0,12611,16288,4.93269037197,5343,0.212035156889,0.299707715386,78,73,1,4.23226661046,7.70856260041,10.4489391632,11.599118202,11.342109493,0.000187160771102,0.0104810031817,0.195021523489,0.696799550814,0.952274003369
18,0,0,13016,16608,4.92537631683,5343,0.21092045776,0.306779176201,79,71,2,4.20950163533,7.69321113507,10.4277297716,11.610517922,11.3320934679,0.000187160771102,0.0132884147483,0.191465468838,0.702227213176,0.950963877971
19,0,0,12616,16166,4.94246400413,5343,0.206720502691,0.303427602338,80,76,2,4.21498358202,7.72156453498,10.4816055753,11.6254908518,11.3413882525,0.000187160771102,0.0121654501217,0.199326221224,0.710462287105,0.952648324911
20,0,0,12686,16233,4.93099212096,5343,0.204277733542,0.306917065561,74,67,2,4.20830721232,7.68840788031,10.4055719641,11.6064435548,11.3333591639,0.000187160771102,0.0138498970616,0.194272880404,0.710087965562,0.948717948718
21,0,0,12948,16535,4.93251701527,5343,0.211536975132,0.306325648124,93,73,0,4.19962174733,7.6807425242,10.3970515299,11.5802120102,11.321451645,0.0,0.0131012539772,0.188845218042,0.695676586188,0.943851768669
22,0,0,12932,16499,4.92708192534,5343,0.211524116519,0.301850102783,98,71,3,4.23619763668,7.71403770685,10.4406599476,11.5865459932,11.301080125,0.000187160771102,0.0131012539772,0.196705970429,0.691933370765,0.933370765488
23,0,0,13113,16722,4.92812949311,5343,0.210031259579,0.302852897913,77,77,2,4.19036539915,7.68467963854,10.4132831603,11.5783915024,11.3222323147,0.000187160771102,0.0125397716639,0.19015534344,0.695676586188,0.945349054838
24,0,0,12715,16254,4.93714151898,5343,0.207936828409,0.306585395862,84,73,2,4.20643364231,7.69971965335,10.4560809476,11.6118209411,11.3248810626,0.000187160771102,0.0123526108928,0.191278308067,0.707467714767,0.94572337638
25,0,0,12833,16498,4.9370151802,5343,0.208799079924,0.303092159976,82,75,1,4.19291006665,7.69021991511,10.4377070171,11.5863598907,11.3216284301,0.000187160771102,0.0112296462661,0.192214111922,0.691184727681,0.946472019465
26,0,0,12717,16295,4.93688807064,5343,0.202900410434,0.301439011141,75,74,1,4.21799773057,7.67838364571,10.4431387714,11.6095585809,11.3489542279,0.0,0.0101066816395,0.187722253416,0.699232640838,0.957140183418
27,0,0,12587,16210,4.94412995222,5343,0.206117790184,0.309548035246,82,72,2,4.22528348625,7.69773665691,10.4146471375,11.5934109141,11.326514429,0.000374321542205,0.0119782893506,0.198390417369,0.699045480067,0.944600411754
28,0,0,12959,16522,4.93179976418,5343,0.21015510971,0.304462295621,82,86,1,4.22411007978,7.70102668198,10.4225453073,11.585764772,11.3268679991,0.000187160771102,0.0134755755194,0.195957327344,0.690623245368,0.945349054838
29,0,0,13021,16575,4.93135544129,5343,0.214249873098,0.308442877096,90,73,2,4.22498594851,7.69608117616,10.4482215461,11.6142402691,11.334801645,0.000187160771102,0.014598540146,0.190342504211,0.707467714767,0.949466591802
