lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,6331,8238,5.4332109274,5930,0.120706903179,0.323602440409,50,38,30,4.31424865059,7.7596482732,10.4730526372,11.7684515729,11.7249539607,0.0,0.014502529511,0.23305227656,0.694603709949,0.923102866779
0,0,0,6831,9268,5.44052405403,5930,0.1149940748,0.306679831449,56,50,32,4.25718134055,7.95538210329,10.9765805185,12.1085660231,11.8548687887,0.000168634064081,0.0141652613828,0.277908937605,0.849072512648,0.992917369309
1,0,0,6506,8988,5.43735723771,5930,0.109355664508,0.306648754234,48,44,23,4.29103082856,8.00835347158,10.9944581482,12.0950275678,11.8484396433,0.0,0.0156829679595,0.281787521079,0.840303541315,0.988870151771
2,0,0,6591,9110,5.43759000904,5930,0.111525697581,0.298207286513,49,52,27,4.27295267122,7.99349027856,10.9816189528,12.0996164942,11.8511184539,0.0,0.0138279932546,0.286846543002,0.843507588533,0.990556492411
3,0,0,6739,9261,5.44040971621,5930,0.110849347857,0.304292432069,62,48,15,4.28369909544,7.99155149854,10.987094476,12.1059428375,11.8532615024,0.0,0.0148397976391,0.286509274874,0.843676222597,0.991905564924
4,0,0,6495,8927,5.4399128871,5930,0.110927452996,0.305960593168,47,45,26,4.27079378913,7.98099394369,11.0307015565,12.1068081034,11.8586191236,0.0,0.0160202360877,0.287015177066,0.848229342327,0.995278246206
5,0,0,6736,9276,5.43671893687,5930,0.112588847499,0.298587921,54,55,32,4.25868966586,7.98922760832,10.9790789123,12.1086740733,11.8500469297,0.0,0.0150084317032,0.27976391231,0.851602023609,0.989881956155
6,0,0,6604,9076,5.43499488182,5930,0.11459724265,0.306471529084,56,45,23,4.27524806396,7.97293788861,10.9602052907,12.0914800708,11.8521899781,0.000168634064081,0.0170320404722,0.282462057336,0.839291736931,0.991231028668
7,0,0,6626,9118,5.44413525197,5930,0.116365249304,0.303908300859,51,52,33,4.29433841356,8.04538355827,11.0426642073,12.1217171969,11.855940313,0.000168634064081,0.0151770657673,0.279932546374,0.856155143339,0.993591905565
8,0,0,6844,9246,5.44260562809,5930,0.115329456471,0.314622897657,45,58,35,4.27602484293,7.96934162576,10.9814023618,12.1142528093,11.8505826918,0.0,0.014671163575,0.279258010118,0.855480607083,0.990219224283
9,0,0,6683,9199,5.43465636223,5930,0.11565232923,0.299149213082,46,51,32,4.27280256396,7.99521281088,10.9944335418,12.1118750143,11.8532615024,0.000168634064081,0.0151770657673,0.286003372681,0.851939291737,0.991905564924
10,0,0,6563,9052,5.43698054863,5930,0.109378049422,0.303941354307,49,53,25,4.28384186432,7.97262164958,10.9728517493,12.101896853,11.8521899781,0.0,0.0151770657673,0.280775716695,0.847723440135,0.991231028668
11,0,0,6708,9176,5.43825163251,5930,0.114028630809,0.308453958225,54,43,32,4.26054863902,7.99701799067,10.985355958,12.103401676,11.8541308066,0.000337268128162,0.0151770657673,0.285834738617,0.849747048904,0.992748735245
12,0,0,6669,9166,5.43073167388,5930,0.117075837992,0.30532993085,56,56,35,4.25868627835,7.98344978213,10.9750069316,12.0959843579,11.851451996,0.000168634064081,0.0141652613828,0.288364249578,0.842327150084,0.991062394604
13,0,0,6659,9183,5.44210106269,5930,0.108626195647,0.307137097721,54,50,31,4.27488600276,7.99902697313,11.0083025577,12.1001346634,11.8495111675,0.0,0.0153456998314,0.280775716695,0.840978077572,0.989544688027
14,0,0,6709,9178,5.43685932779,5930,0.118982151882,0.306109304304,61,53,26,4.28293530299,8.00056927264,10.9940445077,12.1062326827,11.8466301369,0.000505902192243,0.0151770657673,0.281618887015,0.849072512648,0.98802698145
15,0,0,6593,9096,5.436026482,5930,0.111037305813,0.308344664998,52,42,24,4.27664611065,8.00422792259,10.9611473871,12.1009973144,11.8495111675,0.000168634064081,0.014502529511,0.280269814503,0.847048903879,0.989544688027
16,0,0,6716,9247,5.43878537966,5930,0.116832952253,0.313801429243,54,47,27,4.2648327162,7.97034861267,10.9398838745,12.0816831638,11.8500469297,0.0,0.0150084317032,0.264755480607,0.830860033727,0.989881956155
17,0,0,6620,9015,5.43799809835,5930,0.116389043527,0.302346570397,47,44,28,4.2677940778,7.99297602303,10.9363709672,12.0967689941,11.8477016611,0.000168634064081,0.014671163575,0.281956155143,0.842495784148,0.988701517707
18,0,0,6479,8944,5.43604002051,5930,0.108172077441,0.308543725587,49,48,31,4.26278404032,7.95791984935,10.9725306629,12.0905163958,11.8535950444,0.000168634064081,0.0133220910624,0.286172006745,0.838617200675,0.992411467116
19,0,0,6691,9241,5.44144228343,5930,0.118290920772,0.300766669623,51,51,29,4.26050994064,7.98431657994,10.9715155503,12.0988700011,11.8511184539,0.0,0.0136593591906,0.285834738617,0.848903878583,0.990556492411
20,0,0,6698,9297,5.43614025098,5930,0.115619494632,0.302226539732,60,48,27,4.27091363389,7.99309862902,11.015405467,12.1006270998,11.8532615024,0.0,0.0150084317032,0.29173693086,0.851096121417,0.991905564924
21,0,0,6854,9386,5.43161287148,5930,0.120250276547,0.304057190604,56,57,29,4.26629653892,7.99868225474,10.990693348,12.1066670338,11.8477016611,0.000168634064081,0.0151770657673,0.281450252951,0.848735244519,0.988701517707
22,0,0,6612,9056,5.43742276864,5930,0.109244758065,0.312341934277,48,49,29,4.27287685956,8.00353605061,10.9820730489,12.0921298098,11.8525235202,0.000337268128162,0.0150084317032,0.28431703204,0.841821247892,0.99173693086
23,0,0,6971,9507,5.43331309194,5930,0.117013072707,0.303967857629,52,57,27,4.2587381143,8.00267920556,10.9645148617,12.1009922234,11.847165899,0.000337268128162,0.0160202360877,0.282799325464,0.844519392917,0.988364249578
24,0,0,6527,8989,5.43529073804,5930,0.117576344171,0.302957016057,50,64,31,4.27200799634,7.99111081174,10.9922603437,12.099646358,11.8511184539,0.000337268128162,0.0150084317032,0.286340640809,0.848735244519,0.990556492411
25,0,0,6702,9223,5.43381361854,5930,0.118203453334,0.306674223496,48,55,35,4.25835207363,7.97250399037,10.9653600512,12.0931062817,11.8484396433,0.000337268128162,0.014671163575,0.282462057336,0.841989881956,0.988870151771
26,0,0,6798,9299,5.43861677404,5930,0.114002960858,0.319161580836,48,44,29,4.27205813286,7.97783970128,10.9947722141,12.119558226,11.851654216,0.000337268128162,0.0190556492411,0.276897133221,0.856998313659,0.99089376054
27,0,0,7137,9635,5.43320785563,5930,0.118477342176,0.306887238352,63,46,29,4.28297772291,7.97243580541,10.9708579977,12.1050629806,11.8482374232,0.0,0.0151770657673,0.282967959528,0.849241146712,0.989038785835
28,0,0,6713,9236,5.43824389622,5930,0.116551465984,0.306785526682,57,49,29,4.26615617111,7.99934266377,10.9977783197,12.1035230639,11.8543330266,0.000168634064081,0.0134907251265,0.285834738617,0.850758853288,0.99258010118
29,0,0,6775,9291,5.43603182915,5930,0.116641659706,0.302332236371,50,44,43,4.28605112986,7.97871103136,10.9780196074,12.1139749398,11.8466301369,0.0,0.0163575042159,0.278246205734,0.852951096121,0.98802698145
