lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,5258,6794,5.35556565144,4044,0.17103855062,0.340219086655,16,24,20,4.41970747581,7.76439475127,10.3057419262,11.3028333285,11.0180185311,0.00024727992087,0.0215133531157,0.291790306627,0.746538081108,0.938180019782
0,0,0,5114,6898,5.35513103083,4044,0.172433285969,0.319487585129,24,34,18,4.42699296148,7.77391298325,10.1748801656,11.088602466,10.956190213,0.00024727992087,0.0163204747774,0.204253214639,0.608803165183,0.903066271019
1,0,0,5066,6858,5.35130984351,4044,0.159263802308,0.31853094208,16,32,19,4.40310477252,7.74600721037,10.1477360439,11.0722677896,10.9383408996,0.000494559841741,0.019040553907,0.206478733927,0.60237388724,0.897873392681
2,0,0,5088,6848,5.35499622872,4044,0.167016548936,0.317979663408,26,26,24,4.41608907521,7.77870606186,10.1728695947,11.0738079762,10.9484836956,0.0,0.0145895153314,0.197329376855,0.603610286845,0.897131552918
3,0,0,4907,6771,5.34784315395,4044,0.169510112826,0.312074917826,25,30,25,4.41858390588,7.74808515943,10.1292259094,11.0755551029,10.956578649,0.0,0.0143422354105,0.1931256182,0.60806132542,0.903808110781
4,0,0,4776,6551,5.35977497588,4044,0.160759281586,0.313303131942,28,27,16,4.42933917492,7.77311012783,10.1850337251,11.1090901475,10.950852822,0.0,0.0160731948566,0.206973293769,0.614490603363,0.901829871414
5,0,0,5070,6983,5.34976622476,4044,0.173117706976,0.32485837734,20,37,27,4.42519596749,7.74158180367,10.125117806,11.0463706298,10.9280585687,0.00024727992087,0.0148367952522,0.19609297725,0.597922848665,0.894411473788
6,0,0,5011,6772,5.35871625329,4044,0.161724982302,0.321069622952,23,23,30,4.4076365777,7.77663581016,10.1637535877,11.1044926979,10.9689297739,0.0,0.0160731948566,0.206231454006,0.621909000989,0.911721068249
7,0,0,4918,6732,5.35676443612,4044,0.165364766272,0.315499525441,23,33,25,4.40935443225,7.73775761744,10.1680718974,11.0676782882,10.9600520954,0.00024727992087,0.015331355094,0.208209693373,0.602126607319,0.903808110781
8,0,0,4988,6703,5.3560896916,4044,0.176418755231,0.324926099994,20,26,29,4.38596196617,7.75873179172,10.1949645508,11.0827215666,10.9560734673,0.00024727992087,0.0155786350148,0.21018793274,0.6137487636,0.90331355094
9,0,0,5025,6889,5.35258251247,4044,0.166770552475,0.320133340997,28,30,19,4.41198901877,7.74549831522,10.1319152893,11.0573424534,10.9532278012,0.0,0.0163204747774,0.199802176063,0.594708209693,0.900346191889
10,0,0,4911,6631,5.35724798671,4044,0.164198752278,0.313938807289,19,30,24,4.3967703621,7.73510081811,10.1391829719,11.07143629,10.9336235983,0.000494559841741,0.0143422354105,0.200049455984,0.609297725025,0.896389713155
11,0,0,4928,6727,5.35567317509,4044,0.16582510233,0.313054263566,22,21,22,4.39679406027,7.75439290119,10.1539463295,11.0688281489,10.9324696848,0.000494559841741,0.0163204747774,0.207220573689,0.601137487636,0.892927794263
12,0,0,4894,6714,5.35596736663,4044,0.164925734484,0.322940400528,22,21,18,4.40611778074,7.73298577644,10.1609826339,11.0873316925,10.9459365242,0.0,0.0148367952522,0.202522255193,0.609050445104,0.900840751731
13,0,0,5033,6833,5.35667171379,4044,0.166997202916,0.323368934293,28,20,33,4.43442623116,7.77683478007,10.1717141136,11.0826762002,10.9587928308,0.00024727992087,0.0158259149357,0.194856577646,0.601879327399,0.904302670623
14,0,0,4832,6623,5.35396148183,4044,0.16936090966,0.320071284408,29,23,26,4.41479159175,7.78416724569,10.1864973462,11.0942097887,10.9559299172,0.000494559841741,0.0126112759644,0.214638971316,0.61078140455,0.903808110781
15,0,0,4961,6757,5.35287364589,4044,0.163919057448,0.31592075112,25,27,29,4.42379288596,7.74747096147,10.1274842327,11.0799058567,10.9307779322,0.0,0.0158259149357,0.197082096934,0.613254203759,0.891444114738
16,0,0,5000,6870,5.35269969979,4044,0.168621555973,0.316453732964,23,29,23,4.41195998446,7.76790409973,10.1298679866,11.0441030435,10.9141592414,0.0,0.0168150346192,0.203511374876,0.59099901088,0.885509396637
17,0,0,5005,6789,5.35856872938,4044,0.163066686085,0.317606237661,25,19,24,4.40537829263,7.76554505947,10.1766824648,11.0658198736,10.9623217236,0.0,0.0158259149357,0.194856577646,0.59668644906,0.90628090999
18,0,0,5005,6835,5.35629568685,4044,0.174641566803,0.317961068429,18,34,13,4.44150201712,7.75842525066,10.1403943556,11.0961353465,10.9591698722,0.00024727992087,0.0155786350148,0.1931256182,0.612017804154,0.910237388724
19,0,0,5078,6903,5.35687832066,4044,0.169425089467,0.319132875254,29,21,28,4.39700197162,7.73529813446,10.1529821247,11.0641393252,10.9727362099,0.0,0.0158259149357,0.208704253215,0.601632047478,0.910484668645
20,0,0,4965,6641,5.35443646967,4044,0.167312968714,0.314355437666,26,24,24,4.41581425043,7.77334649984,10.1416939724,11.0620534638,10.9485659463,0.00024727992087,0.0175568743818,0.203016815035,0.604846686449,0.899851632047
21,0,0,4798,6530,5.35284954787,4044,0.164994192994,0.317923464075,17,29,19,4.43645468129,7.77082999159,10.1463614195,11.0701433456,10.9479101513,0.00024727992087,0.0118694362018,0.203016815035,0.601384767557,0.905044510386
22,0,0,4946,6603,5.36155663903,4044,0.157117390429,0.326180346581,20,22,21,4.41143427933,7.78716820899,10.1993168694,11.1275303415,10.958503893,0.00024727992087,0.0168150346192,0.200791295747,0.620919881306,0.903808110781
23,0,0,5115,6933,5.35255878143,4044,0.170141833544,0.321518690218,25,38,23,4.43123137462,7.77676054282,10.1356199658,11.0653271974,10.9394279722,0.00024727992087,0.0168150346192,0.207715133531,0.604352126607,0.895647873393
24,0,0,5009,6822,5.34912927865,4044,0.171223951888,0.313852591848,27,31,24,4.41361912845,7.75540406638,10.1372022214,11.0524425618,10.9379792679,0.0,0.0148367952522,0.199060336301,0.591740850643,0.895895153314
25,0,0,4740,6476,5.35619611432,4044,0.162877161671,0.312713489213,21,28,26,4.44123585808,7.77432155139,10.1810138285,11.0763898246,10.9482674516,0.0,0.0170623145401,0.212166172107,0.609297725025,0.897131552918
26,0,0,5048,6863,5.34639543796,4044,0.171369368194,0.310696196246,18,30,34,4.39571354633,7.73814728089,10.1617184379,11.0919235048,10.9709717635,0.000494559841741,0.0158259149357,0.204253214639,0.615479723046,0.909495548961
27,0,0,4803,6491,5.35476393361,4044,0.163540666875,0.316176470588,26,27,22,4.39042406953,7.73808878567,10.167103083,11.0746487058,10.9409148753,0.000494559841741,0.0136003956479,0.208704253215,0.606577645895,0.898367952522
28,0,0,4893,6711,5.35314887707,4044,0.172010190487,0.32096002628,27,35,16,4.38938781899,7.73039763269,10.1187901497,11.0784814978,10.9553079898,0.0,0.0170623145401,0.207220573689,0.60806132542,0.903560830861
29,0,0,4940,6733,5.35700199121,4044,0.17645573898,0.322630825711,26,29,22,4.40732219654,7.76670486956,10.1675617249,11.0639500341,10.9591812668,0.0,0.0163204747774,0.20746785361,0.598170128586,0.907022749753
