lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,18508,22523,4.96009179143,6197,0.217540644211,0.3473757662,131,193,120,4.39234187549,8.0054201918,10.8899157885,11.7469455126,11.3675037908,0.000161368404066,0.016943682427,0.285783443602,0.773761497499,0.963369372277
0,0,0,14265,17009,4.99746920379,6197,0.157902932764,0.338637605108,55,118,46,4.43887277288,8.61661989592,11.6734677359,12.110599907,11.4537049177,0.000161368404066,0.0300145231564,0.477489107633,0.95078263676,0.999031789576
1,0,0,14371,17220,4.99657303097,6197,0.16154876575,0.335593927696,69,105,46,4.4475997065,8.59042102559,11.6385508466,12.1183716757,11.4537049177,0.0,0.0288849443279,0.458124899145,0.956107794094,0.999031789576
2,0,0,13713,16424,4.99879661258,6197,0.154260667987,0.335473739756,56,103,62,4.4572574654,8.62899823652,11.6836253965,12.1232219071,11.4522809234,0.000322736808133,0.0313054703889,0.478941423269,0.958689688559,0.998386315959
3,0,0,14027,16744,4.99764989682,6197,0.162175336289,0.330775991731,64,122,42,4.4263593184,8.58630262403,11.6586545917,12.1208010002,11.4529929205,0.0,0.0288849443279,0.473132160723,0.957237372922,0.998709052767
4,0,0,14504,17211,4.99701270518,6197,0.167013456423,0.331798058761,58,116,54,4.43972945832,8.60122290619,11.6410948107,12.1249441891,11.4544169148,0.000161368404066,0.0300145231564,0.461836372438,0.959335162175,0.999354526384
5,0,0,14434,17265,4.99571759092,6197,0.160468107239,0.336427317992,71,128,63,4.44225534328,8.61389174233,11.6423539523,12.1223607661,11.4544169148,0.000161368404066,0.0313054703889,0.472325318703,0.957398741326,0.999354526384
6,0,0,14569,17531,4.99445320853,6197,0.167502366732,0.336562523644,59,121,46,4.44608125472,8.58971738751,11.6452491931,12.1184286536,11.4558409091,0.000322736808133,0.0263030498628,0.465225108924,0.955300952074,1.0
7,0,0,13980,16778,4.9988167706,6197,0.161986078361,0.330148357633,67,124,59,4.45314714738,8.6271495591,11.6551372866,12.1198828813,11.4544169148,0.0,0.0337259964499,0.470711634662,0.95675326771,0.999354526384
8,0,0,14179,17011,4.99546329765,6197,0.162106188373,0.327035911318,70,115,61,4.45309232072,8.59273670595,11.6684186424,12.1250011671,11.4544169148,0.0,0.0272712602872,0.473939002743,0.958528320155,0.999354526384
9,0,0,13882,16640,5.00172885045,6197,0.157114523757,0.334701798452,63,104,52,4.44402060532,8.60665541131,11.6701029685,12.1220927117,11.4529929205,0.0,0.0282394707116,0.473777634339,0.956914636114,0.998709052767
10,0,0,14293,17020,4.99823015635,6197,0.166483904817,0.334835392673,70,121,60,4.45736162104,8.63313028773,11.676974016,12.1240260702,11.4544169148,0.000322736808133,0.031628207197,0.485234791028,0.959496530579,0.999354526384
11,0,0,14428,17366,4.99608303983,6197,0.166049076877,0.335350692406,66,133,50,4.43159406161,8.58328293068,11.6628256977,12.1207440223,11.4529929205,0.0,0.0300145231564,0.469582055833,0.95675326771,0.998709052767
12,0,0,14305,17106,4.99803289936,6197,0.16287213128,0.337845149528,55,110,45,4.46229953813,8.63590335828,11.6892554275,12.1233274453,11.4544169148,0.0,0.026787155075,0.472970792319,0.958689688559,0.999354526384
13,0,0,14220,16951,4.9980310242,6197,0.164329819601,0.33964478876,53,109,47,4.47094527379,8.62549930362,11.6524165652,12.120695462,11.455128912,0.000161368404066,0.0319509440052,0.469097950621,0.956591899306,0.999677263192
14,0,0,14057,16827,4.99869118661,6197,0.158833739152,0.335206060386,52,133,56,4.4494357988,8.61918933263,11.6525670789,12.1236524776,11.455128912,0.000161368404066,0.0304986283686,0.472648055511,0.958366951751,0.999677263192
15,0,0,14436,17172,4.9971243817,6197,0.164243758625,0.339120495875,71,117,51,4.43521038702,8.58993520431,11.637888574,12.1270970417,11.4544169148,0.0,0.031628207197,0.461352267226,0.960948846216,0.999354526384
16,0,0,14908,17852,4.99259445078,6197,0.16191979616,0.335655875987,73,126,56,4.44252453047,8.60468387007,11.6502722643,12.1231163689,11.455128912,0.0,0.029207681136,0.468291108601,0.958044214943,0.999677263192
