lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,6327,8234,5.43207877034,5922,0.120814080289,0.323639675012,50,38,30,4.31314892224,7.75794750265,10.4718348039,11.7658654656,11.7222944995,0.0,0.0143532590341,0.233198243837,0.694360013509,0.922661263087
0,0,0,5868,7727,5.46900564742,5922,0.100988254757,0.316281878663,25,34,20,4.32564406616,8.25221605384,11.2319081242,12.1845739471,11.8582848571,0.00016886187099,0.0194191151638,0.361364403918,0.902566700439,0.996285038838
1,0,0,6215,8088,5.46582570546,5922,0.0967148431327,0.323259886052,30,44,19,4.3336611064,8.26655943696,11.2635846528,12.1958215685,11.8572118957,0.0,0.016886187099,0.377237419791,0.914049307666,0.995609591354
2,0,0,6099,7970,5.47077879688,5922,0.0986582028869,0.319205235205,25,44,9,4.3161031717,8.26878067185,11.2466555392,12.1894081802,11.8593578185,0.0,0.0192502532928,0.373522458629,0.907970280311,0.996960486322
3,0,0,6396,8270,5.46262517268,5922,0.104818429044,0.314722955145,33,41,28,4.32851421015,8.26240840749,11.2349471105,12.184566229,11.8582848571,0.00016886187099,0.0184059439379,0.36862546437,0.904255319149,0.996285038838
4,0,0,6124,7969,5.46431464696,5922,0.0975433804082,0.310387924353,30,52,14,4.31173743379,8.26058380366,11.2349345373,12.1923455242,11.8529200502,0.000337723741979,0.0178993583249,0.362039851402,0.910840932118,0.992907801418
5,0,0,6449,8368,5.46908960779,5922,0.107968909281,0.316639783548,37,49,12,4.31801495697,8.25474727206,11.2629253947,12.2005667521,11.8609672605,0.000506585612969,0.015873015873,0.370482944951,0.91641337386,0.997973657548
6,0,0,6122,7976,5.46738005602,5922,0.103943581588,0.314306915152,27,50,13,4.31112241884,8.2466859936,11.2256849278,12.1947142569,11.8582848571,0.000337723741979,0.015704154002,0.362546437015,0.912867274569,0.996285038838
7,0,0,6392,8341,5.46513052273,5922,0.106899413684,0.319001097121,39,34,14,4.33333109403,8.24654902565,11.2141412752,12.19954849,11.8593578185,0.0,0.0170550489699,0.35494765282,0.917595406957,0.996960486322
8,0,0,6155,8057,5.46852236195,5922,0.0976229848019,0.318303048201,30,41,23,4.32646993064,8.25480724967,11.2411460641,12.1906447895,11.8572118957,0.0,0.016379601486,0.367274569402,0.907463694698,0.995609591354
9,0,0,6097,7946,5.47158514725,5922,0.10314591789,0.316324035586,27,40,23,4.3045627846,8.25283716932,11.237593964,12.196611146,11.8604307798,0.0,0.0211077338737,0.368794326241,0.915400202634,0.997635933806
10,0,0,6254,8098,5.46519531823,5922,0.105261981186,0.321653389783,28,47,13,4.33939580236,8.26923137694,11.2458363247,12.1905480218,11.8577483764,0.0,0.0173927727119,0.367274569402,0.908139142182,0.995947315096
11,0,0,6494,8356,5.46075887968,5922,0.108406327317,0.321039582042,18,45,12,4.31554128407,8.26848171295,11.2223438112,12.1710911673,11.8561389344,0.000337723741979,0.016886187099,0.36355960824,0.895643363728,0.99493414387
12,0,0,5994,7813,5.46937285996,5922,0.0993590282232,0.316415960693,27,40,17,4.32302451066,8.25011735541,11.2312785198,12.1861582012,11.8604307798,0.00016886187099,0.0202634245187,0.358493752111,0.907125970956,0.997635933806
13,0,0,6101,7990,5.46986487229,5922,0.105067399788,0.31507441371,29,37,16,4.32625418317,8.25454554764,11.2648671389,12.1951364767,11.8556024537,0.0,0.0206011482607,0.36862546437,0.911685241472,0.994596420128
14,0,0,6154,8060,5.46821361366,5922,0.102630772844,0.314890819441,25,47,18,4.34503398806,8.26112571286,11.2159067856,12.1709994986,11.8537905203,0.0,0.0178993583249,0.369132049983,0.896149949341,0.993752110773
15,0,0,6227,8056,5.46627425461,5922,0.101628737253,0.312994716664,28,39,24,4.31220092313,8.24288403105,11.2220024193,12.1779318743,11.8598942992,0.0,0.0175616345829,0.367443431273,0.901722391084,0.997298210064
16,0,0,6204,8079,5.4643208071,5922,0.101997866918,0.325002986062,35,41,19,4.3216695048,8.23944322638,11.2080541252,12.1903912931,11.856675415,0.0,0.0190813914218,0.359844647079,0.910672070247,0.995271867612
17,0,0,5989,7859,5.47442559728,5922,0.105030100653,0.312462248894,29,41,16,4.34478876747,8.29831771549,11.2643889833,12.1897507261,11.8572118957,0.0,0.016886187099,0.363053022627,0.91117865586,0.995609591354
18,0,0,6192,7999,5.46720403585,5922,0.105707353404,0.326489956284,26,44,22,4.31085388981,8.27995706504,11.2356342419,12.1945404344,11.8582848571,0.0,0.0200945626478,0.364403917595,0.912360688956,0.996285038838
19,0,0,5936,7708,5.47347476891,5922,0.103174198046,0.319160182058,25,42,13,4.33343975015,8.28465719875,11.25445079,12.198294787,11.8588213378,0.000337723741979,0.0206011482607,0.377575143533,0.914387031408,0.99662276258
20,0,0,6448,8357,5.46377181351,5922,0.106972553858,0.325661124989,26,41,18,4.3046391137,8.21275679237,11.2193841029,12.1877125445,11.8539930116,0.00016886187099,0.0148598446471,0.369469773725,0.907125970956,0.993583248902
21,0,0,6067,7864,5.46728776806,5922,0.105526480059,0.320159908624,32,38,16,4.33728086038,8.25561473283,11.2394759898,12.1875832468,11.8559364431,0.0,0.0180682201959,0.37031408308,0.908139142182,0.995103005741
22,0,0,6270,8234,5.45961452038,5922,0.102297748415,0.316047961286,24,46,21,4.32852154259,8.23544249601,11.2185098513,12.1748258069,11.8598942992,0.00016886187099,0.0185748058088,0.36355960824,0.896149949341,0.997298210064
23,0,0,6153,7986,5.47040844723,5922,0.107268872582,0.3169027988,37,40,12,4.31488766541,8.21240808292,11.244701063,12.1938801545,11.8561389344,0.0,0.016041877744,0.377744005404,0.91134751773,0.99493414387
24,0,0,5954,7736,5.46776962758,5922,0.105556746041,0.310414257393,29,36,15,4.31971491295,8.25740189246,11.2427803754,12.1851622712,11.8523835695,0.00016886187099,0.016041877744,0.371664978048,0.906957109085,0.992570077676
25,0,0,6136,7969,5.46873254806,5922,0.106412164097,0.315994006477,33,39,22,4.33113378358,8.25650390026,11.2341813564,12.1747812822,11.8534565309,0.0,0.0180682201959,0.368456602499,0.898682877406,0.99324552516
26,0,0,6216,8111,5.47011641117,5922,0.107342283342,0.319534186214,28,41,17,4.33443683124,8.27336822421,11.2608813545,12.1977675398,11.8577483764,0.00016886187099,0.0195879770348,0.380276933468,0.915906788247,0.995947315096
27,0,0,6015,7852,5.47167144619,5922,0.100735602969,0.314020152884,24,40,16,4.31884649508,8.28849666508,11.2787495392,12.2011276452,11.8593578185,0.0,0.0184059439379,0.378081729146,0.918946301925,0.996960486322
28,0,0,6276,8204,5.46609418471,5922,0.105178696113,0.315030520244,29,43,18,4.32536955967,8.23325931994,11.2214264076,12.178056073,11.8556024537,0.00016886187099,0.0189125295508,0.362546437015,0.900878081729,0.994596420128
29,0,0,5969,7815,5.47361308678,5922,0.101379710674,0.313965033876,26,29,19,4.32997441999,8.27595281993,11.2587277843,12.1912776383,11.8572118957,0.00016886187099,0.0199257007768,0.366767983789,0.910672070247,0.995609591354
