lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,4152,5410,5.5314545673,4121,0.156110082155,0.355445484381,11,14,11,4.41422668941,7.7575983101,10.3027715777,11.4095701224,11.3375650405,0.000242659548653,0.0211113807328,0.281242416889,0.711963115749,0.917738413007
0,0,0,2930,3753,5.66790297388,4121,0.0856619631835,0.372396810507,18,10,8,4.47515273312,8.36972727619,11.1522675216,11.784087725,11.4705035024,0.0,0.0417374423684,0.491385586023,0.944673622907,0.997088085416
1,0,0,2780,3542,5.67316762592,4121,0.0840096204914,0.364277351372,16,6,14,4.46496812876,8.3656117079,11.1347495635,11.7787302508,11.4698007617,0.0,0.0397961659791,0.489929628731,0.942004367872,0.996602766319
2,0,0,2889,3727,5.67036396576,4121,0.0852076255291,0.371639507492,10,12,16,4.46385630983,8.35165652507,11.1214926955,11.7778510548,11.4733144651,0.0,0.0366415918466,0.488473671439,0.939820431934,0.999029361805
3,0,0,2687,3446,5.67299811762,4121,0.0802780862802,0.350152858916,9,5,13,4.48182812786,8.38212269082,11.1507360374,11.7880852562,11.4705035024,0.00072797864596,0.0441640378549,0.482407182723,0.946857558845,0.997088085416
4,0,0,2748,3564,5.67592958632,4121,0.0834499164403,0.351957950066,13,8,8,4.43554698353,8.36657962881,11.121670844,11.7755508041,11.4698007617,0.0,0.0371269109439,0.493569521961,0.937879155545,0.996602766319
5,0,0,2670,3422,5.67832414133,4121,0.0802064019401,0.357239396118,10,6,15,4.47132557184,8.36227865055,11.1349591692,11.7784035067,11.4705035024,0.000242659548653,0.0407668041737,0.487017714147,0.937879155545,0.997088085416
6,0,0,2783,3559,5.67550069146,4121,0.0841902364738,0.358161140477,6,8,12,4.46822194792,8.41666548917,11.1847654227,11.7823187397,11.4705035024,0.0,0.0380975491386,0.500121329774,0.945644261102,0.997088085416
7,0,0,2519,3265,5.67745940164,4121,0.0822216624854,0.348548962116,8,8,10,4.45877484057,8.36435452911,11.1123221458,11.7777182384,11.4698007617,0.000242659548653,0.0388255277845,0.474156758068,0.939820431934,0.996602766319
8,0,0,2726,3492,5.67662151943,4121,0.0828417117207,0.362947344427,10,16,15,4.43735033016,8.35985705843,11.1461139359,11.7709397096,11.4726117245,0.0,0.0424654210143,0.479980587236,0.934481921864,0.998544042708
9,0,0,2735,3535,5.67501466559,4121,0.0812268576189,0.382617435463,9,8,10,4.45668209479,8.36116740082,11.1437123092,11.7802230102,11.4719089838,0.000242659548653,0.0371269109439,0.486775054598,0.941519048775,0.998058723611
