lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,4152,5410,5.5314545673,4121,0.156110082155,0.355445484381,11,14,11,4.41422668941,7.7575983101,10.3027715777,11.4095701224,11.3375650405,0.000242659548653,0.0211113807328,0.281242416889,0.711963115749,0.917738413007
0,0,0,3463,4495,5.5866199174,4121,0.126106208306,0.338912984549,17,25,22,4.44255398947,7.81647908012,10.448929605,11.5066351597,11.4129580219,0.0,0.0196554234409,0.307934967241,0.757097791798,0.96044649357
1,0,0,3485,4476,5.58952240831,4121,0.124839473235,0.352513383388,15,28,21,4.42751243617,7.84224579746,10.4487988321,11.5242684519,11.4212186596,0.000485319097306,0.0218393593788,0.305265712206,0.768988109682,0.966270322737
2,0,0,3450,4443,5.58503933205,4121,0.13034510122,0.340623830743,15,19,28,4.44805827563,7.85419572555,10.441094318,11.5065583285,11.4248253576,0.000242659548653,0.0228099975734,0.309633584082,0.75127396263,0.965542344091
3,0,0,3721,4754,5.56511073992,4121,0.134816258257,0.345250031332,18,20,23,4.45363824809,7.8112240379,10.4304050457,11.4938675985,11.4039946435,0.000242659548653,0.0206260616355,0.300169861684,0.752001941276,0.957049259888
4,0,0,3451,4490,5.59929063311,4121,0.126040231425,0.347859686849,13,24,23,4.46160556603,7.83880955582,10.4304544947,11.5012513724,11.4119900361,0.000242659548653,0.0220820189274,0.307449648144,0.761708323223,0.960203834021
5,0,0,3585,4676,5.58307367191,4121,0.127192150743,0.345212815068,13,23,18,4.4582779004,7.82147089789,10.4351235092,11.4878161795,11.4061028655,0.0,0.0228099975734,0.294346032516,0.753700558117,0.957534578986
6,0,0,3487,4404,5.60224106695,4121,0.131981749563,0.354170205538,19,21,28,4.44260537947,7.81720492739,10.448552784,11.510493163,11.4049275395,0.000242659548653,0.0240232953167,0.304780393108,0.759039068187,0.956563940791
7,0,0,3703,4746,5.57412035914,4121,0.132960840869,0.352644836272,19,25,24,4.46405442764,7.82095067108,10.4542190328,11.5047238934,11.4134885121,0.000242659548653,0.0249939335113,0.296772628003,0.755156515409,0.958990536278
8,0,0,3432,4480,5.58903614685,4121,0.121661788696,0.341047628887,15,20,26,4.46487284638,7.85024656557,10.4675508456,11.5040386252,11.4155037396,0.000242659548653,0.0201407425382,0.295316670711,0.761223004125,0.962630429507
9,0,0,3519,4502,5.58481127919,4121,0.129617130999,0.346777758885,12,29,21,4.44758169171,7.81180386179,10.444399233,11.5124219128,11.4107217155,0.000242659548653,0.0191701043436,0.313273477311,0.765348216452,0.960931812667
10,0,0,3645,4773,5.57652115732,4121,0.138708286975,0.338712704072,18,28,28,4.45529535692,7.80360247514,10.3846409052,11.4707595443,11.4136607626,0.000242659548653,0.0206260616355,0.297743266198,0.743023537976,0.959961174472
11,0,0,3414,4496,5.58084956757,4121,0.129569591839,0.336974138539,16,17,24,4.47684312058,7.88359957287,10.4552712775,11.4849434191,11.4097888195,0.0,0.0240232953167,0.310604222276,0.748847367144,0.958990536278
12,0,0,3442,4508,5.59140502235,4121,0.127729864782,0.337267781997,15,29,24,4.45160924394,7.79861132152,10.4398569187,11.5139284907,11.4213909102,0.000242659548653,0.0232953166707,0.306479009949,0.761223004125,0.967240960932
13,0,0,3413,4437,5.58210326931,4121,0.133764018017,0.341428621134,17,22,26,4.45586844118,7.81630813048,10.4501367115,11.489120881,11.4108497998,0.00072797864596,0.0242659548653,0.30987624363,0.75321523902,0.958990536278
14,0,0,3485,4531,5.58818012406,4121,0.125226796382,0.333255682385,12,29,31,4.41713627305,7.79995162937,10.4388526134,11.5095453789,11.4205159189,0.000485319097306,0.0235379762194,0.297985925746,0.76389225916,0.963843727251
15,0,0,3394,4402,5.59014531302,4121,0.12395321339,0.343851749221,15,30,20,4.45086576973,7.8372718941,10.4542222054,11.5205534019,11.4147217429,0.000242659548653,0.0218393593788,0.304295074011,0.766561514196,0.959961174472
16,0,0,3657,4609,5.56969912572,4121,0.130526163656,0.357316760636,18,26,19,4.45790250167,7.86369692605,10.5082209965,11.5261937153,11.4272780807,0.000485319097306,0.0223246784761,0.325649114293,0.770929386071,0.968939577772
17,0,0,3555,4559,5.58391555919,4121,0.129771686639,0.343827589632,22,30,18,4.50025315812,7.85380053392,10.4790806743,11.5142457702,11.4140982582,0.000242659548653,0.0225673380248,0.307206988595,0.767774811939,0.960689153118
18,0,0,3610,4590,5.5617864219,4121,0.128235654858,0.356836649818,23,18,16,4.46225782711,7.8396051516,10.4488391371,11.5044520504,11.41599914,0.000242659548653,0.0230526571221,0.298956563941,0.762678961417,0.961902450861
19,0,0,3472,4502,5.58936126353,4121,0.130075075199,0.341324583138,15,21,20,4.47534571243,7.83376232192,10.422459094,11.4984382366,11.415331489,0.000485319097306,0.0249939335113,0.299199223489,0.753943217666,0.961659791313
20,0,0,3543,4657,5.58944148253,4121,0.137941732293,0.345133567063,17,16,26,4.48953013482,7.87800410308,10.4862490374,11.5194386481,11.4170022155,0.0,0.0235379762194,0.308662945887,0.772628002912,0.962387769959
21,0,0,3523,4497,5.5785288706,4121,0.129320394484,0.350056660142,13,14,39,4.44617753119,7.84641568497,10.4519967446,11.5087528193,11.4177049562,0.000485319097306,0.0225673380248,0.308420286338,0.760252365931,0.963843727251
22,0,0,3510,4580,5.58726108047,4121,0.129260040316,0.339566341755,18,24,23,4.46796878422,7.82749262107,10.4369394623,11.5004387996,11.4133604277,0.000242659548653,0.0198980829896,0.307206988595,0.763406940063,0.960931812667
23,0,0,3487,4518,5.58444045771,4121,0.133410266129,0.351631755204,24,27,26,4.46881256283,7.85248837867,10.4429195555,11.4902316546,11.4191104376,0.0,0.0257219121572,0.309633584082,0.750545983984,0.964814365445
24,0,0,3382,4344,5.58643592021,4121,0.126260060786,0.34493208314,23,18,25,4.46347719915,7.84176501239,10.4501758101,11.5130105161,11.4291210577,0.000242659548653,0.0213540402815,0.302111138073,0.768502790585,0.970638194613
25,0,0,3339,4297,5.5923079279,4121,0.122269044082,0.334665819853,18,19,20,4.49743660282,7.8566939526,10.4356544704,11.4935457897,11.4191104376,0.000485319097306,0.0220820189274,0.302839116719,0.755884494055,0.962873089056
26,0,0,3433,4436,5.59611768281,4121,0.13032819668,0.323873954068,16,25,26,4.46408338142,7.84949819711,10.4584195583,11.4763837799,11.411724791,0.0,0.0208687211842,0.304780393108,0.74593545256,0.96044649357
27,0,0,3641,4658,5.57807005558,4121,0.130064155248,0.337777079076,15,21,26,4.43111717926,7.81325560769,10.3961957347,11.4929471579,11.4187521979,0.000485319097306,0.0230526571221,0.291676777481,0.749332686241,0.967726280029
28,0,0,3458,4491,5.57775777865,4121,0.132448574889,0.352562793547,14,29,26,4.4796008776,7.831242914,10.4276695534,11.4986654312,11.4112872954,0.000242659548653,0.0215966998301,0.300655180781,0.756127153603,0.960689153118
29,0,0,3490,4499,5.58131333002,4121,0.123945698324,0.35629056579,15,29,21,4.48940995414,7.82167458545,10.4274763578,11.5106945458,11.4185799474,0.0,0.023780635768,0.304052414463,0.76389225916,0.963358408153
