lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,13237,16637,4.95285503561,5343,0.195364860586,0.302467146844,69,68,1,4.22249746601,7.74993455697,10.5841091225,11.5412218161,11.222238008,0.0,0.0174059517125,0.2376941793,0.663672094329,0.895751450496
0,0,0,11660,15009,4.96990992949,5343,0.20114877901,0.298310284408,66,47,3,4.28123546605,7.84416250832,10.5397539945,11.4204105933,11.1761818695,0.0,0.0125397716639,0.182481751825,0.593299644395,0.880778588808
1,0,0,11607,14912,4.97250460422,5343,0.192601651094,0.295672500231,54,65,3,4.24158509838,7.79159209705,10.4939936154,11.4165537646,11.1758376147,0.000374321542205,0.0114168070372,0.178551375632,0.589743589744,0.877596855699
2,0,0,11561,14847,4.97283618219,5343,0.190056747429,0.296900719849,72,56,4,4.26819735635,7.81509707461,10.5241791526,11.4111749944,11.163657868,0.000187160771102,0.0129140932061,0.19015534344,0.595732734419,0.875163765675
3,0,0,11497,14797,4.97675464624,5343,0.198456934567,0.298545690797,65,77,1,4.27620500936,7.84652445237,10.5258561745,11.4173270039,11.1830266044,0.000187160771102,0.012726932435,0.19352423732,0.587871982033,0.886393411941
4,0,0,12114,15471,4.96463221998,5343,0.19765718884,0.296738649388,69,74,2,4.24957906396,7.80384025965,10.4880030312,11.3874022725,11.1499762112,0.000187160771102,0.0119782893506,0.186412128018,0.589556428972,0.870859067939
5,0,0,11593,14944,4.96841726804,5343,0.191861920255,0.296091103063,58,65,1,4.25281748172,7.77788099797,10.493978522,11.402830812,11.1902390097,0.000187160771102,0.0162829870859,0.188658057271,0.576642335766,0.884147482688
6,0,0,11380,14598,4.97338981651,5343,0.191554088712,0.296989016538,60,54,4,4.2876932688,7.82583655958,10.5247383775,11.4323441483,11.1903797813,0.0,0.0132884147483,0.179674340258,0.600598914468,0.88620625117
7,0,0,11613,14947,4.97036777617,5343,0.196504356902,0.292773717221,53,69,3,4.25700451673,7.78928538294,10.4982653616,11.4125629673,11.1660704017,0.0,0.0104810031817,0.179300018716,0.596481377503,0.873666479506
8,0,0,11745,15060,4.96870652287,5343,0.192816652842,0.296134953928,72,58,3,4.23422543698,7.78712553067,10.4805811972,11.3873931319,11.1585857687,0.000187160771102,0.0140370578327,0.1800486618,0.578701104249,0.870110424855
9,0,0,11743,15063,4.97456477413,5343,0.198509079314,0.301940934286,70,59,2,4.2574564879,7.81141205785,10.5280203964,11.4378813485,11.1988125537,0.000374321542205,0.0131012539772,0.178925697174,0.597978663672,0.887703537339
10,0,0,11786,15109,4.96662084696,5343,0.195853952256,0.299980267996,70,66,2,4.25507926759,7.82265887512,10.5513690389,11.4095990676,11.1635029962,0.000187160771102,0.014598540146,0.183043234138,0.581134194273,0.87273067565
11,0,0,11892,15264,4.96852959253,5343,0.194166691808,0.298786521535,69,59,1,4.25570302746,7.78872762255,10.5186775191,11.4228047058,11.1639066801,0.000187160771102,0.0108553247239,0.180235822572,0.593112483623,0.873292157964
12,0,0,11613,14990,4.97197199133,5343,0.191975739571,0.29586955466,58,64,2,4.27686701741,7.8068348018,10.5116946725,11.4119332517,11.16355311,0.0,0.0116039678083,0.185663484934,0.588433464346,0.872543514879
13,0,0,11530,14842,4.97342912657,5343,0.197100427945,0.299427725208,65,77,0,4.26607596388,7.8373669606,10.541254258,11.4247581371,11.1915047057,0.0,0.0132884147483,0.188658057271,0.59760434213,0.884896125772
14,0,0,11725,15119,4.96521661564,5343,0.204426733445,0.295203334268,61,68,2,4.25520142221,7.79370396343,10.4966468078,11.4077189225,11.162614286,0.000187160771102,0.0134755755194,0.18510200262,0.58749766049,0.878158338012
15,0,0,11663,14956,4.97527515822,5343,0.191864060192,0.295684805262,70,58,1,4.25192328846,7.79485673189,10.5202922782,11.4170507715,11.2057527313,0.000187160771102,0.0142242186038,0.187160771102,0.593299644395,0.890885270447
16,0,0,11573,14922,4.97609758651,5343,0.197497146772,0.299696482118,66,68,1,4.25688173728,7.80501192522,10.508302961,11.4033026388,11.1807455269,0.000187160771102,0.0123526108928,0.183979037994,0.583941605839,0.88115291035
17,0,0,11763,15149,4.96414326159,5343,0.199309809459,0.300378035878,70,59,4,4.2749077434,7.80897050667,10.5104204381,11.4203905893,11.1542082117,0.000374321542205,0.0147857009171,0.182107430283,0.594422609021,0.873666479506
18,0,0,11867,15208,4.96899879078,5343,0.196181840557,0.301079926249,63,59,1,4.26261177276,7.8213836076,10.5194669224,11.3947768498,11.1741808327,0.0,0.0131012539772,0.186973610331,0.576829496538,0.880029945723
19,0,0,11814,15214,4.9702154409,5343,0.197555352786,0.299709398478,68,69,2,4.27456277124,7.82257191246,10.5186582148,11.4185694137,11.175351086,0.000187160771102,0.0131012539772,0.182481751825,0.592738162081,0.880217106494
20,0,0,11849,15128,4.97480070461,5343,0.192274171265,0.301901855729,66,74,4,4.27904002266,7.80157006467,10.5065148823,11.4194634636,11.1818422508,0.0,0.0121654501217,0.188096574958,0.592925322852,0.88283735729
21,0,0,11568,14863,4.97034997803,5343,0.192548796846,0.298842830121,49,70,3,4.27154435886,7.83113564138,10.5226412533,11.3980775525,11.1683739054,0.000187160771102,0.0125397716639,0.183791877223,0.580011229646,0.874602283361
22,0,0,11413,14681,4.96695824087,5343,0.192788686392,0.294896173074,76,56,1,4.29789764911,7.82640103237,10.5249550315,11.4276049883,11.197202603,0.000187160771102,0.0102938424106,0.185663484934,0.591989518997,0.888265019652
23,0,0,11786,15068,4.96663395032,5343,0.197938286089,0.298734300339,68,76,2,4.25450693877,7.80717372634,10.5235057855,11.4049907035,11.1874494903,0.000187160771102,0.0101066816395,0.190903986524,0.588807785888,0.883960321917
24,0,0,11615,14920,4.97164048343,5343,0.196394746543,0.296376266209,71,65,2,4.29132322368,7.82333734641,10.5281663006,11.4318614556,11.1981726556,0.000187160771102,0.0119782893506,0.188283735729,0.605652255287,0.887516376567
25,0,0,11691,14997,4.97377955376,5343,0.200793129745,0.302521914068,64,55,1,4.24797344092,7.79596452463,10.4961016184,11.4198690701,11.1871772625,0.0,0.0125397716639,0.179487179487,0.590305072057,0.885644768856
26,0,0,11525,14836,4.97265567821,5343,0.195524056799,0.298303957433,62,64,2,4.26980940428,7.82240504636,10.5365480113,11.3914772951,11.1702663888,0.000187160771102,0.0123526108928,0.187535092645,0.582631480442,0.878158338012
27,0,0,11955,15309,4.97043217181,5343,0.197158843764,0.306801660565,71,56,2,4.25731927154,7.79236386018,10.5170627878,11.407069327,11.1735550348,0.0,0.0129140932061,0.182481751825,0.582444319671,0.876473891072
28,0,0,11627,15016,4.96897755914,5343,0.194702280282,0.292507474406,68,59,0,4.27397204512,7.82111148686,10.5363380418,11.4096229499,11.1596245658,0.0,0.0132884147483,0.183230394909,0.586749017406,0.874789444133
29,0,0,11584,14927,4.9712624481,5343,0.201039852724,0.295975015253,62,66,2,4.26118521568,7.81027874589,10.5125961975,11.420886564,11.1682341233,0.000187160771102,0.0112296462661,0.185289163391,0.596107055961,0.878532659555
