lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,18508,22523,4.96009179143,6197,0.217540644211,0.3473757662,131,193,120,4.39234187549,8.0054201918,10.8899157885,11.7469455126,11.3675037908,0.000161368404066,0.016943682427,0.285783443602,0.773761497499,0.963369372277
0,0,0,17349,21797,4.95233027331,6197,0.21566369883,0.329532107358,116,200,100,4.39893454333,7.96712790935,10.7805896524,11.7781312763,11.4070621444,0.0,0.012102630305,0.227529449734,0.771663708246,0.979022107471
1,0,0,17387,21845,4.95156077833,6197,0.213345107298,0.322910684033,124,203,113,4.39439041233,7.94027322426,10.7525586674,11.7638267003,11.4135643383,0.000161368404066,0.0111344198806,0.227690818138,0.769404550589,0.98176537034
2,0,0,17574,21969,4.95370367573,6197,0.212983144528,0.326685897753,132,193,98,4.39478255909,7.95278590429,10.7615096493,11.7768956102,11.4060011085,0.000161368404066,0.0135549459416,0.225593028885,0.769243182185,0.977408423431
3,0,0,17256,21757,4.95146248841,6197,0.215998275937,0.323632157724,111,186,115,4.40131594082,7.95602583972,10.7650525469,11.776760461,11.4091625839,0.000161368404066,0.012102630305,0.22898176537,0.770695497822,0.980474423108
4,0,0,17368,21787,4.95546982114,6197,0.21052885244,0.327430062886,128,195,117,4.39523413467,7.96767761653,10.7796596104,11.7528627657,11.4090236165,0.000161368404066,0.0129094723253,0.230756817815,0.759076972729,0.979344844279
5,0,0,17318,21644,4.95640323683,6197,0.215815601985,0.324556473327,143,180,99,4.37670442543,7.93594439187,10.7426994775,11.7671613109,11.4094668748,0.0,0.0117798934969,0.223333871228,0.775375181539,0.980474423108
6,0,0,17233,21615,4.95431622978,6197,0.214507183599,0.332217166507,143,184,113,4.38044152297,7.92570949137,10.7367228014,11.7800020601,11.4084861387,0.000161368404066,0.0103275778603,0.226077134097,0.770211392609,0.980313054704
7,0,0,16875,21198,4.95395265603,6197,0.212755444958,0.32708291998,124,186,110,4.38820781603,7.94061757128,10.7703054009,11.7660838741,11.4051006724,0.000161368404066,0.0129094723253,0.228336291754,0.769888655801,0.979344844279
8,0,0,17450,21760,4.95388608766,6197,0.213075479976,0.323840612337,140,172,118,4.35747977036,7.93267459418,10.7353358855,11.7671718756,11.4164123269,0.000161368404066,0.0104889462643,0.227690818138,0.763918024851,0.983056317573
9,0,0,17127,21480,4.95137544948,6197,0.21607336008,0.327415488833,133,175,101,4.380527134,7.92986164122,10.723719411,11.755262173,11.3994989146,0.000161368404066,0.00984347264806,0.226883976117,0.767306761336,0.975956107794
10,0,0,17087,21482,4.95476262333,6197,0.209318947204,0.324999774036,127,188,122,4.36516513535,7.91513276872,10.739574095,11.7449967354,11.409910133,0.0,0.0111344198806,0.226238502501,0.758915604325,0.980313054704
11,0,0,17553,22040,4.9529309513,6197,0.218622631571,0.332182591903,151,182,110,4.41212345231,7.96764380178,10.7791824211,11.7711872486,11.4107163497,0.000161368404066,0.0133935775375,0.225915765693,0.770534129417,0.979828949492
12,0,0,17640,22153,4.95254008348,6197,0.213308315353,0.327694091051,123,183,112,4.38659394402,7.92145134175,10.7261559141,11.7474982312,11.4002109118,0.000161368404066,0.0108116830725,0.227852186542,0.762627077618,0.975633370986
13,0,0,17240,21631,4.95473131848,6197,0.214983328661,0.323975894194,138,191,123,4.37156200154,7.92813308915,10.7368385322,11.7743162607,11.403945417,0.0,0.0112957882847,0.220590608359,0.772793287074,0.978538002259
14,0,0,17168,21593,4.95765392009,6197,0.217686843586,0.323088747231,131,199,107,4.40041936701,7.94628456774,10.7386052052,11.7554338518,11.4116028662,0.000322736808133,0.012102630305,0.233984185896,0.765693077295,0.980797159916
15,0,0,17037,21460,4.95399823297,6197,0.218145574068,0.326873408679,114,168,107,4.38620123817,7.91613353343,10.7218029868,11.7286433195,11.3836696539,0.0,0.00984347264806,0.228659028562,0.754720025819,0.969985476844
16,0,0,17456,21878,4.95637104649,6197,0.221349576808,0.329209118921,119,178,115,4.38820240869,7.93909376621,10.7512757865,11.7446799665,11.4010974283,0.000161368404066,0.0111344198806,0.234952396321,0.754881394223,0.97660158141
17,0,0,17014,21351,4.9569021871,6197,0.209640452239,0.329390850053,119,184,121,4.39839599135,7.95486095999,10.7683122099,11.7764863966,11.4034666067,0.0,0.0108116830725,0.22736808133,0.775697918348,0.977892528643
18,0,0,17653,22092,4.95507077552,6197,0.220783292792,0.328053231806,139,194,117,4.37746021227,7.93680037767,10.7417030994,11.7540594705,11.3998479534,0.0,0.0124253671131,0.226238502501,0.765370340487,0.97660158141
19,0,0,17210,21624,4.95205280091,6197,0.211933424822,0.322857423462,140,198,110,4.36673232728,7.92031239454,10.7321412468,11.7581070142,11.3968254454,0.000161368404066,0.0104889462643,0.229465870583,0.767629498144,0.974665160562
20,0,0,17164,21627,4.95227974802,6197,0.212743702934,0.328128474147,120,208,114,4.40542865815,7.9390457117,10.7379267344,11.7562916851,11.4020781644,0.0,0.0109730514765,0.2341455543,0.763756656447,0.976762949814
21,0,0,17096,21494,4.95411782685,6197,0.213558181075,0.328759271951,124,183,111,4.37471539726,7.94236342971,10.7769830914,11.7706711518,11.3989614369,0.0,0.00968210424399,0.228497660158,0.770211392609,0.975633370986
22,0,0,17778,22284,4.94866317893,6197,0.220992539281,0.331324051385,129,207,108,4.36737557174,7.91669381784,10.723393229,11.7463223189,11.4047516336,0.0,0.0122639987091,0.228659028562,0.763272551234,0.977408423431
23,0,0,17383,21772,4.95475142442,6197,0.210501142221,0.324655748752,131,182,104,4.39554710208,7.92139442456,10.729124383,11.7522773185,11.3958447094,0.000161368404066,0.0138776827497,0.233500080684,0.763595288043,0.974503792157
24,0,0,17382,21777,4.95361236559,6197,0.212402633657,0.333990546463,119,182,117,4.39731341518,7.93868171821,10.7788387763,11.7816940622,11.4005243986,0.0,0.0117798934969,0.232854607068,0.779570760045,0.977408423431
25,0,0,17430,21813,4.95704688737,6197,0.214692148491,0.329497953655,135,191,109,4.40002535693,7.96460593966,10.7543992694,11.7684793737,11.4087548776,0.0,0.00984347264806,0.233661449088,0.771502339842,0.979506212684
26,0,0,17421,21741,4.95367950693,6197,0.213073098771,0.332625461048,134,169,110,4.38089419231,7.95123021461,10.7315283485,11.7496148273,11.4178363212,0.0,0.00968210424399,0.228013554946,0.762465709214,0.983056317573
27,0,0,17175,21574,4.95581714345,6197,0.215445600758,0.325535693579,131,186,104,4.41120610647,7.95029686127,10.7560825628,11.7630375432,11.4001166923,0.0,0.0127481039213,0.234468291109,0.768920445377,0.976440213006
28,0,0,17116,21540,4.95568905923,6197,0.216646405938,0.325918012843,124,191,115,4.40395526271,7.94780247736,10.7431929709,11.7544351415,11.397711962,0.0,0.0151686299822,0.225915765693,0.764240761659,0.975633370986
29,0,0,17686,22161,4.95160755329,6197,0.219542363419,0.327826756826,147,179,119,4.3870673131,7.93874738829,10.7295432214,11.7333233622,11.3994046952,0.0,0.0138776827497,0.230756817815,0.757301920284,0.976117476198
