lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,4151,5409,5.53132322487,4121,0.156110082155,0.355445484381,11,14,11,4.41422668941,7.7575983101,10.3027715777,11.4095701224,11.3375650405,0.000242659548653,0.0211113807328,0.281242416889,0.711963115749,0.917738413007
0,0,0,786,1164,5.78175388668,4121,0.0325762302235,0.307597282273,2,4,1,4.6869724643,9.16916576548,11.5957620532,11.8217521927,11.4740172058,0.000242659548653,0.0655180781364,0.707109924776,0.975734045135,0.999514680903
1,0,0,823,1145,5.77733842526,4121,0.0397221901503,0.321928460342,0,4,0,4.70281700988,9.16585459503,11.5819349916,11.8254123864,11.4747199465,0.0,0.0672166949769,0.697160883281,0.978160640621,1.0
2,0,0,861,1201,5.77980978318,4121,0.0368064032534,0.331257078143,2,0,0,4.71129744357,9.19604656086,11.5883932747,11.8282544956,11.4740172058,0.000242659548653,0.0715845668527,0.701528755157,0.981557874302,0.999514680903
3,0,0,850,1205,5.78151864827,4121,0.0377865224291,0.334783199674,0,0,1,4.7171351116,9.23868202629,11.6179382935,11.8255452027,11.4733144651,0.0,0.0660033972337,0.721912157243,0.979131278816,0.999029361805
4,0,0,793,1124,5.78246784761,4121,0.0374768512114,0.315554083154,3,0,2,4.72664195137,9.21853666853,11.596281637,11.8275798207,11.4740172058,0.0,0.0723125454987,0.702984712448,0.98010191701,0.999514680903
5,0,0,792,1107,5.77755941036,4121,0.0415682841651,0.31279892864,3,3,0,4.69912184669,9.1667087866,11.6150800465,11.8338776024,11.4747199465,0.000242659548653,0.0655180781364,0.714389711235,0.986168405727,1.0
6,0,0,815,1154,5.7795422687,4121,0.0342740710551,0.334323922734,0,4,1,4.66556807312,9.1325039909,11.5759901047,11.8270379621,11.4733144651,0.000242659548653,0.0718272264014,0.696675564183,0.979616597913,0.999029361805
7,0,0,826,1156,5.77767096308,4121,0.0358465911002,0.344669117647,4,2,1,4.70151302629,9.1586611677,11.5936696597,11.8308309721,11.4740172058,0.0,0.0710992477554,0.703955350643,0.983013831594,0.999514680903
8,0,0,802,1157,5.7796888068,4121,0.0370963178248,0.299509803922,2,2,2,4.68795730325,9.13149403881,11.5990647817,11.8295427338,11.4747199465,0.0,0.0681873331716,0.705411307935,0.982285852948,1.0
