lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,13237,16637,4.95285503561,5343,0.195364860586,0.302467146844,69,68,1,4.22249746601,7.74993455697,10.5841091225,11.5412218161,11.222238008,0.0,0.0174059517125,0.2376941793,0.663672094329,0.895751450496
0,0,0,10843,13019,5.01089197208,5343,0.158569397262,0.320656513234,47,53,3,4.29459355777,8.46770583896,11.3866581982,12.0130216868,11.4329044578,0.000187160771102,0.0276997941232,0.424106307318,0.943103125585,0.997754070747
1,0,0,10231,12443,5.01695931646,5343,0.1523740398,0.314853037649,39,48,1,4.30548075021,8.47561691101,11.3862093704,12.0202553358,11.4343469389,0.0,0.0247052217855,0.421673217294,0.946097697923,0.998502713831
2,0,0,11013,13334,5.00293206863,5343,0.159552087843,0.313973622075,35,57,2,4.27075524423,8.4356600898,11.3682766023,12.0133075253,11.4329044578,0.0,0.0239565787011,0.425790754258,0.942167321729,0.997754070747
3,0,0,10807,13119,5.00926932813,5343,0.158881300381,0.318750464488,44,44,2,4.29248592383,8.46573704754,11.398430987,12.0291522338,11.43578942,0.0,0.0252667040988,0.435148792813,0.953022646453,0.999251356916
4,0,0,10877,13225,5.00446537151,5343,0.152248113911,0.313235184956,47,44,2,4.30231036877,8.45846084924,11.396577477,12.0211128513,11.4336256984,0.0,0.0271383118098,0.425416432716,0.947782144862,0.998128392289
5,0,0,11378,13732,5.01313727069,5343,0.159683819939,0.319170719222,41,59,2,4.26318625356,8.42874399452,11.3754131829,12.0240409706,11.437231901,0.0,0.0269511510387,0.421860378065,0.949840913345,1.0
6,0,0,10973,13340,5.0122250809,5343,0.164398407507,0.317310031337,45,43,2,4.29913513671,8.4610851468,11.3813347375,12.0149707743,11.4365106605,0.000187160771102,0.0230207748456,0.42448062886,0.943103125585,0.999625678458
7,0,0,10754,12952,5.02216008756,5343,0.157339576829,0.311000997039,48,54,4,4.26946801328,8.43516065455,11.3849379327,12.02812142,11.4343469389,0.000187160771102,0.0286355979787,0.416619876474,0.951525360284,0.998502713831
8,0,0,10626,12951,5.01415933247,5343,0.16050236191,0.314733367191,38,52,0,4.27038052356,8.44530728177,11.3698133699,12.0145723956,11.4350681794,0.0,0.0271383118098,0.419240127269,0.942541643272,0.998877035373
