lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,13675,16986,4.90602896263,5361,0.197503351254,0.302518360058,69,68,1,4.24585241498,7.84098133343,10.6850322263,11.5664586678,11.1990294011,0.000186532363365,0.0197724305167,0.25554933781,0.681216191009,0.90468196232
0,0,0,10722,12882,5.01333079983,5361,0.174150058139,0.360385845606,55,69,4,4.30441532871,7.75675676776,10.7569674217,11.7926365666,11.3698836791,0.000186532363365,0.0169744450662,0.266368214885,0.820182801716,0.986942734564
1,0,0,10421,12611,5.00783442886,5361,0.171497759523,0.348781255755,54,68,1,4.31223783651,7.78507747887,10.7728361996,11.8264494086,11.3734097358,0.000559597090095,0.0227569483305,0.271964185786,0.828203693341,0.988061928745
2,0,0,10747,12874,5.00766446169,5361,0.175533355249,0.348855144992,43,70,4,4.31443540026,7.77667947313,10.7653159697,11.8162804681,11.3771175593,0.00037306472673,0.0182801716098,0.270844991606,0.828390225704,0.989927252378
3,0,0,10478,12586,5.01219622369,5361,0.169700293636,0.352157150085,55,66,2,4.30374242326,7.7881512666,10.7894038723,11.8195175172,11.3760960956,0.000186532363365,0.0223838836038,0.277560156687,0.829509419884,0.989740720015
4,0,0,10885,13016,5.01080112866,5361,0.166690718783,0.351467347176,50,73,4,4.31961030716,7.78392993317,10.7934321528,11.8193762807,11.3786006887,0.00037306472673,0.0199589628801,0.27215071815,0.826151837344,0.990673381832
5,0,0,11135,13274,5.00897373791,5361,0.175556367141,0.357538847633,45,62,3,4.30304950394,7.73791196449,10.763372779,11.8184164093,11.3752563987,0.00037306472673,0.0186532363365,0.267300876702,0.831188211155,0.990300317105
6,0,0,10755,12911,5.01046669284,5361,0.168590354376,0.352647624982,53,62,1,4.313702036,7.78834769436,10.7878479809,11.8104452966,11.3738714015,0.0,0.0190263010632,0.272337250513,0.828949822794,0.988621525835
7,0,0,10576,12699,5.01503318606,5361,0.165238116812,0.345050521362,48,64,4,4.31482690161,7.80244701879,10.803129929,11.8320121942,11.3753545309,0.000186532363365,0.0184667039731,0.272523782876,0.835478455512,0.989367655288
8,0,0,10443,12565,5.0119570029,5361,0.166973230362,0.346577617457,52,72,5,4.31271469598,7.77159076896,10.7594887558,11.8063973693,11.377579225,0.00037306472673,0.0175340421563,0.270471926879,0.818317478082,0.990486849468
