lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,18508,22523,4.96009179143,6197,0.217540644211,0.3473757662,131,193,120,4.39234187549,8.0054201918,10.8899157885,11.7469455126,11.3675037908,0.000161368404066,0.016943682427,0.285783443602,0.773761497499,0.963369372277
0,0,0,12033,15167,5.01116322451,6197,0.17886365808,0.3313045545,81,79,65,4.57309095185,8.27576085526,11.2453313193,11.9680800208,11.4287850173,0.000161368404066,0.0148458931741,0.317895756011,0.866386961433,0.987736001291
1,0,0,12096,15268,5.01336711687,6197,0.182537641513,0.337394710882,73,85,76,4.59347469549,8.29638811063,11.2075680206,11.9527036638,11.4320762642,0.0,0.0175891560432,0.312247861869,0.859609488462,0.989511053736
2,0,0,12387,15647,5.01053061661,6197,0.176789551465,0.335426628275,75,84,66,4.57877118921,8.25235852041,11.1921965907,11.9713780071,11.4268235453,0.000161368404066,0.0161368404066,0.31628207197,0.867193803453,0.987413264483
3,0,0,12197,15392,5.01177228866,6197,0.176807049038,0.330321252854,61,86,71,4.55261206411,8.25225581926,11.2338305316,11.9749981692,11.4384842386,0.000161368404066,0.0167823140229,0.317088913991,0.86945296111,0.992415685009
4,0,0,12076,15282,5.01063213598,6197,0.178111257504,0.328811258386,72,78,78,4.54670849872,8.24322396425,11.227732115,11.9735794199,11.4320762642,0.0,0.014523156366,0.313216072293,0.867355171857,0.989511053736
5,0,0,11914,15090,5.01244531679,6197,0.175394938429,0.331200248991,59,76,71,4.57376128417,8.28448245819,11.2100495816,11.9639929129,11.4228203013,0.000161368404066,0.0154913667904,0.312731967081,0.860577698887,0.98531547523
6,0,0,12318,15542,5.01023371541,6197,0.179001239754,0.332741649905,65,96,70,4.56078060305,8.26022384025,11.2092005852,11.9471701552,11.4168555852,0.000161368404066,0.0151686299822,0.312086493465,0.857188962401,0.984185896401
7,0,0,12135,15375,5.01306766337,6197,0.178275757445,0.33661853639,68,82,77,4.57989325304,8.27285416532,11.2332654759,11.9797539847,11.4344809946,0.000161368404066,0.0159754720026,0.311763756656,0.872357592383,0.990317895756
8,0,0,12448,15658,5.00725527554,6197,0.174633184119,0.331705763719,90,84,70,4.56345412034,8.25251273532,11.2212583084,11.9591081,11.4330570003,0.000161368404066,0.0161368404066,0.320316282072,0.859286751654,0.98967242214
9,0,0,12337,15624,5.0121501345,6197,0.17904395902,0.339285399982,71,89,77,4.56546927927,8.27523369943,11.2219764727,11.9619421513,11.4308267893,0.000161368404066,0.014523156366,0.314345651122,0.863643698564,0.990156527352
10,0,0,12150,15352,5.016070845,6197,0.176049821952,0.331423556871,78,89,87,4.58050276317,8.26396552519,11.2299382288,11.9554515626,11.4292282756,0.000161368404066,0.0158141035985,0.323543650153,0.859609488462,0.988220106503
11,0,0,12301,15610,5.0112473986,6197,0.176845928499,0.337078950518,82,71,72,4.57066410096,8.24566050484,11.2148424651,11.959812286,11.434655514,0.0,0.0146845247701,0.317088913991,0.864127803776,0.990963369372
12,0,0,12144,15359,5.01098211478,6197,0.170963984496,0.332941686286,68,72,75,4.57245093591,8.2581321619,11.2257001403,11.9680492067,11.4292282756,0.0,0.0143617879619,0.306599967726,0.869130224302,0.988220106503
13,0,0,12419,15658,5.01425709122,6197,0.176081735175,0.333052796701,83,79,83,4.58323048274,8.29460593151,11.2356213234,11.9660841232,11.4332315197,0.000161368404066,0.0158141035985,0.316927545587,0.85993222527,0.990317895756
14,0,0,12085,15200,5.01207653425,6197,0.17423068366,0.335915591373,64,88,62,4.57574992614,8.28194086003,11.2330492439,11.9506862667,11.4289595368,0.000161368404066,0.0143617879619,0.319670808456,0.857511699209,0.989026948523
15,0,0,12542,15749,5.01050613528,6197,0.179672355791,0.335401099676,85,93,78,4.57481245759,8.28057580384,11.2321477537,11.9761114261,11.4337689974,0.0,0.0132322091335,0.312409230273,0.869291592706,0.989995158948
16,0,0,12206,15468,5.0102203809,6197,0.177277195576,0.329558075441,76,91,73,4.58536989445,8.25096181519,11.1940081452,11.9399671171,11.4279788007,0.0,0.0137163143457,0.308697756979,0.853316120704,0.988865580119
17,0,0,12361,15578,5.01362016003,6197,0.179079672155,0.33554886419,82,66,77,4.59095197131,8.27958904573,11.2458397499,11.9548425376,11.425399551,0.0,0.0143617879619,0.325641439406,0.85912538325,0.986767790867
18,0,0,12209,15423,5.01225316442,6197,0.177902741251,0.332230368206,83,83,73,4.5473842159,8.24527099622,11.2238323458,11.9633428483,11.4184540989,0.000161368404066,0.0154913667904,0.319348071648,0.863159593352,0.984831370018
19,0,0,12051,15234,5.01137365974,6197,0.178018609308,0.338915385647,67,81,75,4.57859472868,8.26409048567,11.2135686893,11.9497382306,11.424418815,0.000161368404066,0.0132322091335,0.300306599968,0.85912538325,0.986606422462
20,0,0,12109,15331,5.01285675934,6197,0.174902638998,0.330306422855,80,83,69,4.58255357987,8.26443433456,11.2094328239,11.9412164202,11.4275355424,0.000161368404066,0.0162982088107,0.316766177183,0.854929804744,0.987736001291
21,0,0,12222,15385,5.00933056281,6197,0.167699103077,0.333931970834,75,83,82,4.5931268677,8.25064706372,11.2162720227,11.9676709498,11.4308267893,0.0,0.0148458931741,0.315313861546,0.862998224948,0.989511053736
22,0,0,12173,15383,5.01203507226,6197,0.174878872373,0.326228625536,65,85,76,4.55971781995,8.25181142412,11.2261797634,11.9547230205,11.4342122557,0.0,0.0142004195579,0.312570598677,0.857673067613,0.99047926416
