lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
real,0,0,4152,5410,5.5314545673,4121,0.156110082155,0.355445484381,11,14,11,4.41422668941,7.7575983101,10.3027715777,11.4095701224,11.3375650405,0.000242659548653,0.0211113807328,0.281242416889,0.711963115749,0.917738413007
0,0,0,2966,3877,5.69690173231,4121,0.110873931562,0.427147560611,18,18,24,4.51210823884,7.66805976273,10.2161169576,11.4807546048,11.4221866454,0.000242659548653,0.023780635768,0.298956563941,0.76219364232,0.964571705897
1,0,0,3033,3982,5.69754878517,4121,0.113890126271,0.424391456912,15,19,22,4.5293375236,7.71416607748,10.3016896427,11.5318771902,11.4345707327,0.0,0.030089784033,0.312302839117,0.783062363504,0.973550109197
2,0,0,2895,3787,5.70381434895,4121,0.101706507674,0.430049125805,14,20,15,4.52293717449,7.70462392047,10.2741688286,11.5336758477,11.4281179822,0.0,0.0276631885465,0.304052414463,0.781363746663,0.97112351371
3,0,0,2942,3870,5.69752180991,4121,0.108724797032,0.422661541278,20,22,17,4.47730658747,7.66599871437,10.270622147,11.5123736853,11.433037167,0.000485319097306,0.0223246784761,0.295074011162,0.78015044892,0.975491385586
4,0,0,2859,3739,5.70824229674,4121,0.105950333173,0.440708969345,17,24,31,4.53288188224,7.75471718369,10.3173228024,11.5144185113,11.4254351038,0.0,0.0288764862897,0.319825285125,0.777238534336,0.967240960932
5,0,0,2783,3670,5.70757462959,4121,0.100144648651,0.418418877973,15,23,18,4.48518351928,7.70429824557,10.3433745632,11.5322466658,11.4386149263,0.000485319097306,0.0257219121572,0.321281242417,0.788158214026,0.975491385586
6,0,0,3000,3880,5.70686726523,4121,0.110196201029,0.426272003858,13,27,17,4.50981498527,7.71052950656,10.2946397487,11.5331024002,11.4265753401,0.000242659548653,0.0249939335113,0.313758796409,0.779907789372,0.968454258675
7,0,0,2833,3625,5.71077832461,4121,0.100713124169,0.403199343724,7,15,24,4.52281037639,7.71263891244,10.3165484865,11.5415468149,11.4327277557,0.0,0.0291191458384,0.32079592332,0.787672894928,0.972822130551
8,0,0,2871,3718,5.7095497134,4121,0.104022621192,0.425826701753,13,15,17,4.50917045798,7.74486042036,10.3297581264,11.5139765427,11.4351012229,0.0,0.0303324435817,0.31885464693,0.776753215239,0.974035428294
9,0,0,2918,3830,5.70423558708,4121,0.107523381113,0.434493210115,18,17,17,4.53124175603,7.73788919954,10.2899981361,11.5212496215,11.4256073543,0.000242659548653,0.0271778694492,0.30817762679,0.772628002912,0.968211599126
10,0,0,2994,3944,5.69305463609,4121,0.108370375624,0.430073217287,16,19,22,4.51112727672,7.69747002552,10.2604818591,11.5251992948,11.4228756475,0.0,0.0274205289978,0.316185391895,0.781121087115,0.968454258675
11,0,0,2941,3882,5.70432464078,4121,0.103513970816,0.440623137822,16,22,15,4.50763820476,7.70386534135,10.2742529577,11.5135474872,11.433947248,0.000242659548653,0.0235379762194,0.310604222276,0.780635768017,0.975248726037
12,0,0,2867,3741,5.70958623013,4121,0.10104400884,0.432095568002,16,20,19,4.51967944604,7.70939422922,10.2817335973,11.5011318097,11.4164717253,0.000242659548653,0.0257219121572,0.312060179568,0.768260131036,0.964814365445
13,0,0,3002,3962,5.70253508551,4121,0.102717519903,0.42478901208,17,25,20,4.50754877062,7.72718555472,10.2844726208,11.5131095644,11.4258375096,0.0,0.024508614414,0.319339966028,0.780878427566,0.970638194613
14,0,0,2880,3714,5.7104830103,4121,0.101848211214,0.419047619048,16,18,20,4.51216601831,7.71393092174,10.3138912699,11.5224207632,11.4366789548,0.0,0.0252365930599,0.305265712206,0.776267896142,0.975006066489
15,0,0,2804,3708,5.71078492118,4121,0.102818553558,0.433189042308,11,17,15,4.51514241986,7.71428581133,10.2806527264,11.5175807513,11.4336027469,0.0,0.0257219121572,0.304052414463,0.77845183208,0.973307449648
16,0,0,2882,3771,5.70917052841,4121,0.0995514111415,0.417543541364,17,13,17,4.5064631712,7.72852936603,10.3151747298,11.5390760981,11.4323344263,0.0,0.0240232953167,0.305023052657,0.785731618539,0.974035428294
17,0,0,2998,3873,5.70341737678,4121,0.104890912155,0.418508037811,21,18,19,4.49486267883,7.68037609396,10.2655248512,11.5248155864,11.4344777382,0.0,0.0203834020869,0.316913370541,0.785003639893,0.97476340694
18,0,0,2847,3721,5.7088491812,4121,0.100722377715,0.4234318203,18,20,16,4.53547732972,7.77870925117,10.3637829855,11.5286279109,11.4278878269,0.0,0.0259645717059,0.322737199709,0.777723853434,0.970638194613
19,0,0,2896,3748,5.70892786886,4121,0.106694684206,0.429747320061,16,15,14,4.53920944212,7.7829109749,10.3666044803,11.5433059503,11.4309640347,0.0,0.0269352099005,0.321281242417,0.785731618539,0.972336811454
20,0,0,2945,3876,5.70268845577,4121,0.0998946986149,0.423693121994,18,12,18,4.47940034568,7.68995077291,10.3052521664,11.5302480197,11.4336027469,0.0,0.0235379762194,0.311574860471,0.792283426353,0.973307449648
21,0,0,2925,3815,5.70838907043,4121,0.107017461229,0.425741396234,18,18,19,4.49811698674,7.6889513572,10.2690659709,11.5279880792,11.4345707327,0.00072797864596,0.0259645717059,0.303081776268,0.781606406212,0.974520747391
22,0,0,2895,3798,5.70739228154,4121,0.10351306424,0.416520869783,15,19,17,4.52920916868,7.7430000911,10.2741704403,11.5050008628,11.4292140523,0.0,0.0262072312545,0.299684542587,0.767046833293,0.970395535064
