lexicon,word,homophones,mps,neighbors,length,numthatshareletter1,numthatshareletter2,numthatshareletter3,numthatshareletter4,numthatshareletter5
real,au@,0,5.0,6.0,3,89,22,2,0,0
real,k&rir,0,3.0,3.0,5,454,88,15,2,1
real,dozIs,0,0.0,0.0,5,117,5,2,1,1
real,g&raZ@,0,0.0,0.0,6,230,25,9,1,1
real,SlOt@rn,0,2.0,2.0,7,444,42,3,1,1
real,bYrst@,0,1.0,1.0,6,260,9,3,1,1
real,fUks,0,3.0,3.0,4,257,9,1,1,0
real,zen@,0,5.0,6.0,4,137,13,3,1,0
real,lau@r,0,6.0,8.0,5,186,42,13,2,2
real,fed@r,0,4.0,5.0,5,257,7,2,2,1
real,&lg@main,0,0.0,0.0,8,129,24,2,2,1
real,profil,0,1.0,1.0,6,212,38,12,4,2
real,&ntropologi,0,0.0,0.0,11,129,30,9,1,1
real,svIN,0,2.0,2.0,4,18,1,1,1,0
real,auf,0,5.0,10.0,3,89,22,2,0,0
real,baux,0,7.0,11.0,4,260,19,5,1,0
real,fErlOymd,0,0.0,0.0,8,257,49,35,3,1
real,limEs,0,0.0,0.0,5,186,18,2,1,1
real,f&zan,0,0.0,0.0,5,257,21,1,1,1
real,bEx@r,0,1.0,1.0,5,260,9,1,1,1
real,aus,0,8.0,12.0,3,89,22,11,0,0
real,lori,0,1.0,1.0,4,186,11,2,1,0
real,rO=,0,4.0,5.0,3,161,9,1,0,0
real,&nomali,0,0.0,0.0,7,129,30,2,1,1
real,regal,0,2.0,3.0,5,161,16,5,1,1
real,aux,0,7.0,13.0,3,89,22,1,0,0
real,toga,0,1.0,1.0,4,173,9,1,1,0
real,b&kteri@,0,0.0,0.0,8,260,35,2,1,1
real,g@Sait,0,1.0,1.0,6,230,71,15,1,1
real,mUld@,0,0.0,0.0,5,249,14,1,1,1
real,g@leg@n,0,0.0,0.0,7,230,71,5,1,1
real,haid@,0,3.0,3.0,5,203,36,13,1,1
real,ab@nt,0,0.0,0.0,5,89,3,3,2,2
real,&nzEsIx,0,0.0,0.0,7,129,30,1,1,1
real,profe=ai,0,0.0,0.0,8,212,38,12,4,2
real,vINk@l,0,0.0,0.0,6,178,26,2,2,1
real,dyz@,0,2.0,3.0,4,117,3,1,1,0
real,l/S,0,1.0,1.0,3,186,3,1,0,0
real,vag@,0,8.0,10.0,4,178,28,3,2,0
real,lOykEmi,0,0.0,0.0,7,186,11,5,1,1
real,lYnx,0,0.0,0.0,4,186,4,1,1,0
real,tr&ktOr,0,0.0,0.0,7,173,53,5,2,2
real,nobilit)t,0,0.0,0.0,9,90,11,2,1,1
real,rOk,0,12.0,12.0,3,161,9,1,0,0
real,rOl,0,9.0,11.0,3,161,9,1,0,0
real,&rxitEktonIS,0,0.0,0.0,12,129,19,3,2,1
real,SUp@n,0,0.0,1.0,5,444,6,2,2,1
real,&rtIl@ri,0,0.0,0.0,8,129,19,3,1,1
real,rOg@n,0,1.0,1.0,5,161,9,1,1,1
real,SlIm,0,7.0,7.0,4,444,42,9,1,0
real,kOnzum,0,0.0,0.0,6,454,61,29,1,1
real,reg,0,6.0,8.0,3,161,16,5,0,0
real,k&plan,0,0.0,0.0,6,454,88,12,1,1
real,kreps,0,0.0,0.0,5,454,55,6,2,1
real,rInd@,0,0.0,0.0,5,161,12,3,1,1
real,fOlk,0,1.0,3.0,4,257,18,6,2,0
real,=vIst,0,0.0,0.0,5,96,19,7,1,1
real,m&gIst@r,0,0.0,0.0,8,249,55,6,1,1
real,rOs,0,7.0,11.0,3,161,9,2,0,0
real,vElx@r,0,0.0,0.0,6,178,20,5,1,1
real,&p,0,4.0,10.0,2,129,12,0,0,0
real,p&trUlj@,0,0.0,0.0,8,212,53,5,4,1
real,SEr=,0,4.0,6.0,4,444,12,4,1,0
real,nait,0,7.0,9.0,4,90,14,3,1,0
real,d|z,0,0.0,0.0,3,117,1,1,0,0
real,&rzen,0,0.0,0.0,5,129,19,1,1,1
real,nU=@n,0,0.0,0.0,5,90,5,2,1,1
real,k&stani@,0,0.0,0.0,8,454,88,8,4,1
real,=Uk,0,7.0,7.0,3,96,4,1,0,0
real,likvit,0,0.0,0.0,6,186,18,2,1,1
real,nain,0,12.0,13.0,4,90,14,3,1,0
real,mOnzInjor@,0,0.0,0.0,10,249,18,4,1,1
real,haz@,0,5.0,5.0,4,203,36,1,1,0
real,naig,0,3.0,4.0,4,90,14,3,1,0
real,&l,0,6.0,16.0,2,129,24,0,0,0
real,&n,0,7.0,13.0,2,129,30,0,0,0
real,Entl&N,0,0.0,0.0,6,68,12,7,2,1
real,Sv&=,0,6.0,9.0,4,444,37,9,1,0
real,&S,0,3.0,9.0,2,129,2,0,0,0
real,&strologi,0,0.0,0.0,9,129,4,3,1,1
real,nEf@,0,0.0,0.0,4,90,11,1,1,0
real,mYn=@,0,0.0,1.0,5,249,9,2,1,1
real,ImEns,0,0.0,0.0,5,54,10,1,1,1
real,trop@,0,2.0,2.0,5,173,53,3,1,1
real,S&blon@,0,0.0,0.0,7,444,17,1,1,1
real,h&s,0,12.0,15.0,3,203,37,2,0,0
real,h&r,0,11.0,13.0,3,203,37,9,0,0
real,hUst,0,5.0,5.0,4,203,10,1,1,0
real,kur,0,5.0,7.0,3,454,10,4,0,0
real,SENk@l,0,1.0,2.0,6,444,12,2,2,1
real,lor@,0,4.0,4.0,4,186,11,2,1,0
real,blut,0,4.0,4.0,4,260,29,3,1,0
real,h&k,0,12.0,12.0,3,203,37,1,0,0
real,Opd&x,0,0.0,0.0,5,31,8,1,1,1
real,h&l,0,9.0,15.0,3,203,37,9,0,0
real,k&lt,0,8.0,9.0,4,454,88,8,1,0
real,SIlt,0,8.0,8.0,4,444,14,4,1,0
real,zekret)r,0,0.0,0.0,8,137,13,2,1,1
real,k&lp,0,3.0,6.0,4,454,88,8,1,0
real,p&rt,0,5.0,7.0,4,212,53,17,6,0
real,vog@,0,3.0,3.0,4,178,4,1,1,0
real,vi,0,7.0,12.0,2,178,15,0,0,0
real,mel,0,7.0,7.0,3,249,19,3,0,0
real,gig&nt,0,0.0,0.0,6,230,5,1,1,1
real,patOs,0,0.0,0.0,5,212,15,4,1,1
real,StEl,0,11.0,11.0,4,444,127,12,3,0
real,StEm,0,6.0,6.0,4,444,127,12,2,0
real,SrIl,0,2.0,2.0,4,444,15,2,1,0
real,rEx,0,7.0,11.0,3,161,13,4,0,0
real,kvak,0,1.0,1.0,4,454,14,3,1,0
real,v&ms,0,1.0,2.0,4,178,35,1,1,0
real,mIld@rn,0,0.0,0.0,7,249,19,4,1,1
real,vig@,0,5.0,6.0,4,178,15,2,1,0
real,mer,0,13.0,14.0,3,249,19,2,0,0
real,StEx,0,3.0,3.0,4,444,127,12,1,0
real,hert,0,5.0,6.0,4,203,9,5,1,0
real,nEto,0,0.0,1.0,4,90,11,2,1,0
real,zoda,0,2.0,2.0,4,137,10,1,1,0
real,In@von,0,0.0,0.0,6,54,36,5,1,1
real,SYr=@,0,1.0,3.0,5,444,9,3,2,1
real,tO+,0,5.0,7.0,3,173,13,1,0,0
real,vIm@rn,0,1.0,1.0,6,178,26,4,1,1
real,m&troz@,0,0.0,0.0,7,249,55,5,2,1
real,zOnd@rs,0,1.0,2.0,7,137,16,6,4,4
