lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity
real,0,0,18508,22523,4.96009179143,6197,0.217540644211,0.3473757662
0,0,0,16241,20308,4.97283817645,6197,0.206709751422,0.327400411262
1,0,0,16379,20356,4.97713829543,6197,0.215477551786,0.329883281142
2,0,0,16331,20262,4.97521979283,6197,0.204835259228,0.326380447039
3,0,0,16316,20327,4.97440347081,6197,0.217268460074,0.337581531647
4,0,0,16189,20270,4.97317414359,6197,0.216879579969,0.334864459623
5,0,0,16205,20179,4.97756338502,6197,0.214203280508,0.331074141123
6,0,0,15981,19966,4.97355818789,6197,0.209383678539,0.327516011941
7,0,0,16166,20000,4.97540741355,6197,0.207998640125,0.332899510828
8,0,0,16306,20370,4.97263482518,6197,0.212272034511,0.331510024808
9,0,0,16177,20176,4.97315028732,6197,0.214199711702,0.329462167016
