lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity
real,0,0,6331,8238,5.4332109274,5930,0.120706903179,0.323602440409
0,0,0,6162,8632,5.44751134632,5930,0.128637588225,0.308475428935
1,0,0,6181,8678,5.45078607252,5930,0.128606758874,0.309875186435
2,0,0,6079,8491,5.44666268665,5930,0.128309315322,0.309039306725
3,0,0,6394,8777,5.45237576641,5930,0.131096382952,0.308662688751
4,0,0,6142,8513,5.45186016541,5930,0.128132950537,0.309171964006
5,0,0,6199,8613,5.45095985463,5930,0.123605018355,0.313900937638
6,0,0,6078,8469,5.45438452833,5930,0.128789037812,0.308329274233
7,0,0,6177,8610,5.45162062484,5930,0.125913428986,0.301603086837
8,0,0,6366,8750,5.4468880061,5930,0.12826611842,0.314625979758
9,0,0,6409,8797,5.45286576939,5930,0.130261332506,0.316441782899
