lexicon,lev, length_count, neighbors
real,1,1,6
real,1,2,1067
real,1,3,11138
real,1,4,5187
real,1,5,978
real,1,6,111
real,1,7,19
real,1,8,2
real,2,2,10409
real,2,3,147601
real,2,4,48441
real,2,5,7858
real,2,6,664
real,2,7,57
real,2,8,11
real,3,3,814971
real,3,4,314160
real,3,5,49789
real,3,6,4499
real,3,7,421
real,3,8,29
real,3,9,2
real,4,4,1316742
real,4,5,226051
real,4,6,24411
real,4,7,2259
real,4,8,131
real,4,9,5
real,4,10,1
real,5,5,593799
real,5,6,91068
real,5,7,10398
real,5,8,580
real,5,9,14
real,5,10,1
real,6,8,2259
real,6,9,87
real,6,10,4
real,6,6,183837
real,6,7,32342
real,7,8,5975
real,7,9,244
real,7,10,12
real,7,11,1
real,7,7,48465
real,8,8,6944
real,8,9,573
real,8,10,61
real,8,11,1
real,9,9,560
real,9,10,106
real,9,11,5
real,10,10,91
real,10,11,8
real,11,11,13
real,11,12,1
0,1,1,6
0,1,2,2083
0,1,3,13921
0,1,4,4116
0,1,5,716
0,1,6,55
0,1,7,4
0,1,8,1
0,1,9,1
0,2,2,25178
0,2,3,191605
0,2,4,38277
0,2,5,5336
0,2,6,375
0,2,7,38
0,2,8,3
0,2,9,1
0,3,3,1104245
0,3,4,244464
0,3,5,34995
0,3,6,2370
0,3,7,215
0,3,8,31
0,3,9,1
0,4,4,944808
0,4,5,154463
0,4,6,12958
0,4,7,1139
0,4,8,147
0,4,9,13
0,4,10,1
0,4,13,1
0,5,5,393645
0,5,6,47251
0,5,7,5595
0,5,8,795
0,5,9,93
0,5,10,14
0,5,11,2
0,5,13,1
0,6,6,94071
0,6,7,18835
0,6,8,3415
0,6,9,436
0,6,10,56
0,6,11,8
0,7,7,32827
0,7,8,8599
0,7,9,1526
0,7,10,205
0,7,11,59
0,7,12,8
0,8,8,11762
0,8,9,3880
0,8,10,741
0,8,11,209
0,8,12,23
0,8,13,7
0,8,14,1
0,8,15,2
0,9,9,4489
0,9,10,1794
0,9,11,704
0,9,12,89
0,9,13,7
0,9,14,7
0,9,15,1
0,10,10,1845
0,10,11,1369
0,10,12,245
0,10,13,26
0,10,14,17
0,10,15,4
0,11,11,1219
0,11,12,397
0,11,13,99
0,11,14,66
0,11,15,13
0,11,16,4
0,12,12,319
0,12,13,185
0,12,14,147
0,12,15,43
0,12,16,9
0,12,17,2
0,12,18,1
0,13,13,170
