lexicon,lev, length_count, neighbors
real,1,1,6
real,1,2,1067
real,1,3,11138
real,1,4,5187
real,1,5,978
real,1,6,111
real,1,7,19
real,1,8,2
real,2,2,10409
real,2,3,147601
real,2,4,48441
real,2,5,7858
real,2,6,664
real,2,7,57
real,2,8,11
real,3,3,814971
real,3,4,314160
real,3,5,49789
real,3,6,4499
real,3,7,421
real,3,8,29
real,3,9,2
real,4,4,1316742
real,4,5,226051
real,4,6,24411
real,4,7,2259
real,4,8,131
real,4,9,5
real,4,10,1
real,5,5,593799
real,5,6,91068
real,5,7,10398
real,5,8,580
real,5,9,14
real,5,10,1
real,6,8,2259
real,6,9,87
real,6,10,4
real,6,6,183837
real,6,7,32342
real,7,8,5975
real,7,9,244
real,7,10,12
real,7,11,1
real,7,7,48465
real,8,8,6944
real,8,9,573
real,8,10,61
real,8,11,1
real,9,9,560
real,9,10,106
real,9,11,5
real,10,10,91
real,10,11,8
real,11,11,13
real,11,12,1
0,1,1,780
0,1,2,10797
0,1,3,2341
0,1,4,95
0,1,5,3
0,2,2,169503
0,2,3,58445
0,2,4,3038
0,2,5,132
0,2,6,6
0,3,3,449769
0,3,4,50006
0,3,5,3158
0,3,6,222
0,3,7,13
0,4,4,281832
0,4,5,36313
0,4,6,3789
0,4,7,211
0,4,8,12
0,4,10,1
0,5,5,154147
0,5,6,34373
0,5,7,3216
0,5,8,248
0,5,9,21
0,5,10,1
0,6,6,116456
0,6,7,23769
0,6,8,3114
0,6,9,276
0,6,10,23
0,6,13,1
0,7,7,66319
0,7,8,19426
0,7,9,2653
0,7,10,337
0,7,11,13
0,7,12,1
0,8,8,48076
0,8,9,13890
0,8,10,2681
0,8,11,221
0,8,12,19
0,8,13,4
0,9,9,28913
0,9,10,12088
0,9,11,1610
0,9,12,254
0,9,13,33
0,9,14,2
0,10,10,21454
0,10,11,6340
0,10,12,1603
0,10,13,227
0,10,14,24
0,11,11,9961
0,11,12,5764
0,11,13,1240
0,11,14,139
0,11,15,26
0,11,16,4
0,12,16,20
0,12,12,8649
0,12,13,3797
0,12,14,655
0,12,15,181
0,13,13,4568
0,13,14,2092
0,13,15,845
0,13,16,170
0,13,17,15
0,13,18,6
0,14,14,2239
0,14,15,2227
0,14,16,671
0,14,17,97
0,14,18,11
0,14,19,3
0,14,20,1
0,15,15,2286
0,15,16,1552
0,15,17,328
0,15,18,67
0,15,19,17
0,15,20,2
