lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,18508,22523,4.96009179143,6197
0,0,0,18675,22869,4.98233719163,6197
1,0,0,18767,22971,4.98312799056,6197
2,0,0,18764,22973,4.97956100918,6197
3,0,0,18722,22929,4.97922301061,6197
4,0,0,18753,22979,4.97544121862,6197
5,0,0,18755,22927,4.98088430302,6197
6,0,0,18714,22894,4.98194179216,6197
7,0,0,18743,22935,4.97345338698,6197
8,0,0,18802,23034,4.98001172603,6197
9,0,0,18658,22842,4.98603444491,6197
10,0,0,18741,22953,4.97660475877,6197
