lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,18508,22523,4.96009179143,6197
0,0,0,17951,22524,4.94729732925,6197
1,0,0,17772,22331,4.94721956198,6197
2,0,0,17771,22378,4.94275880382,6197
3,0,0,18171,22847,4.94365304939,6197
4,0,0,18079,22814,4.94246909076,6197
5,0,0,17831,22438,4.9453863794,6197
6,0,0,18027,22697,4.94645814063,6197
7,0,0,17885,22502,4.95081899413,6197
8,0,0,17576,22196,4.94733790575,6197
9,0,0,18134,22785,4.94236663381,6197
10,0,0,17904,22551,4.94410152646,6197
11,0,0,18181,22825,4.9449734263,6197
12,0,0,18172,22745,4.94340521502,6197
13,0,0,18201,22811,4.94314566087,6197
14,0,0,17927,22505,4.9455085256,6197
15,0,0,17699,22283,4.94610175502,6197
16,0,0,17909,22517,4.94435097555,6197
17,0,0,18000,22615,4.94326457761,6197
18,0,0,17973,22627,4.94387213122,6197
19,0,0,17955,22559,4.94731029915,6197
20,0,0,18176,22872,4.94632719158,6197
21,0,0,17892,22485,4.94621817154,6197
22,0,0,18134,22678,4.94353845595,6197
23,0,0,18043,22669,4.9436206507,6197
24,0,0,17775,22368,4.94883579833,6197
25,0,0,17737,22398,4.94726508683,6197
26,0,0,17902,22548,4.94522433386,6197
27,0,0,17972,22614,4.9469307865,6197
28,0,0,18054,22654,4.94495899794,6197
