lexicon,lev, length_count, neighbors
real,1,3,12532
real,1,4,4745
real,1,5,686
real,1,6,93
real,1,7,16
real,1,8,1
real,2,3,174723
real,2,4,47247
real,2,5,5988
real,2,6,567
real,2,7,53
real,2,8,8
real,3,3,1039706
real,3,4,315787
real,3,5,38205
real,3,6,3843
real,3,7,329
real,3,8,25
real,4,8,90
real,4,4,1335156
real,4,5,182939
real,4,6,20566
real,4,7,1642
real,5,8,367
real,5,5,529247
real,5,6,79195
real,5,7,7398
real,6,8,1491
real,6,6,165481
real,6,7,24587
real,7,8,3828
real,7,7,39895
real,8,8,4486
0,0,3,809
0,0,4,194
0,0,5,8
0,0,6,4
0,1,3,12588
0,1,4,3457
0,1,5,402
0,1,6,46
0,1,7,6
0,2,3,171015
0,2,4,43242
0,2,5,4511
0,2,6,434
0,2,7,39
0,2,8,6
0,3,3,1042549
0,3,4,315809
0,3,5,33463
0,3,6,3367
0,3,7,264
0,3,8,13
0,4,8,65
0,4,4,1338388
0,4,5,177497
0,4,6,19409
0,4,7,1396
0,5,8,331
0,5,5,542415
0,5,6,80189
0,5,7,7223
0,6,8,1448
0,6,6,166296
0,6,7,24835
0,7,8,3752
0,7,7,40157
0,8,8,4681
1,0,3,725
1,0,4,214
1,0,5,19
1,0,6,2
1,0,7,1
1,1,3,12152
1,1,4,3564
1,1,5,409
1,1,6,37
1,1,7,8
1,1,8,1
1,2,3,168869
1,2,4,43262
1,2,5,4651
1,2,6,442
1,2,7,35
1,2,8,3
1,3,3,1045215
1,3,4,315871
1,3,5,34241
1,3,6,3317
1,3,7,255
1,3,8,18
1,4,8,77
1,4,4,1338179
1,4,5,180139
1,4,6,19645
1,4,7,1430
1,5,8,354
1,5,5,538837
1,5,6,79792
1,5,7,7185
1,6,8,1377
1,6,6,166510
1,6,7,24903
1,7,8,3721
1,7,7,40103
1,8,8,4745
2,0,3,733
2,0,4,191
2,0,5,21
2,0,6,1
2,0,7,1
2,1,3,11920
2,1,4,3552
2,1,5,444
2,1,6,42
2,1,7,10
2,1,8,1
2,2,3,168523
2,2,4,42568
2,2,5,4628
2,2,6,452
2,2,7,35
2,2,8,4
2,3,3,1045785
2,3,4,315379
2,3,5,34027
2,3,6,3379
2,3,7,287
2,3,8,17
2,4,8,57
2,4,4,1339400
2,4,5,179637
2,4,6,19402
2,4,7,1464
2,5,8,334
2,5,5,539539
2,5,6,79202
2,5,7,7276
2,6,8,1398
2,6,6,167267
2,6,7,24817
2,7,8,3648
2,7,7,40030
2,8,8,4837
3,0,3,794
3,0,4,190
3,0,5,16
3,0,6,2
3,1,3,12061
3,1,4,3778
3,1,5,392
3,1,6,43
3,1,7,6
3,1,8,1
3,2,3,172074
3,2,4,43328
3,2,5,4704
3,2,6,407
3,2,7,38
3,2,8,4
3,3,3,1042032
3,3,4,317171
3,3,5,34718
3,3,6,3345
3,3,7,282
3,3,8,12
3,4,8,61
3,4,4,1336623
3,4,5,180530
3,4,6,19137
3,4,7,1413
3,5,8,344
3,5,5,537936
3,5,6,79576
3,5,7,7316
3,6,8,1446
3,6,6,167235
3,6,7,24864
3,7,8,3696
3,7,7,40001
3,8,8,4732
4,0,3,742
