lexicon,word,homophones,mps,neighbors,length
real,_{k,0,18.0,18.0,3
real,_{b,0,13.0,13.0,3
real,k{rIlj@n,0,0.0,0.0,8
real,_{z,0,4.0,4.0,3
real,sQk@R,0,1.0,1.0,5
real,hVskI,0,0.0,1.0,5
real,k5b$lt,0,0.0,0.0,6
real,_{m,0,15.0,15.0,3
real,t#r5,0,1.0,1.0,4
real,v3tju,0,0.0,1.0,5
real,g{mbP,0,2.0,4.0,5
real,m5gP,0,0.0,1.0,4
real,fr{Nk,0,3.0,4.0,5
real,kQrId$R,0,0.0,0.0,7
real,gQbIt,0,0.0,0.0,5
real,stINk,0,1.0,4.0,5
real,_{g,0,19.0,19.0,3
real,pr@_Ekt,0,1.0,1.0,7
real,brIskIt,0,0.0,1.0,7
real,kl5k,0,11.0,12.0,4
real,kl5n,0,7.0,9.0,4
real,kl5s,0,4.0,4.0,4
real,kl5v,0,4.0,5.0,4
real,pr5z,0,5.0,8.0,4
real,wQtP,0,6.0,7.0,4
real,f@tig,0,0.0,0.0,5
real,h5b5,0,0.0,1.0,4
real,m{rju#n@,0,0.0,0.0,8
real,m1g@s,0,0.0,0.0,5
real,mQd@n,0,0.0,0.0,5
real,jutEnsP,0,0.0,0.0,7
real,s@ksid,0,0.0,0.0,6
real,TVmp,0,9.0,10.0,4
real,t2tP,0,2.0,3.0,4
real,tElEks,0,0.0,0.0,6
real,JIkIn,0,0.0,0.0,5
real,j5gI,0,1.0,1.0,4
real,j5g@,0,2.0,2.0,4
real,2bEks,0,1.0,1.0,5
real,S#ft,0,5.0,6.0,4
real,pQsIt,0,3.0,4.0,5
real,fif,0,10.0,10.0,3
real,fid,0,16.0,18.0,3
real,{sEt,0,0.0,1.0,4
real,fil,0,26.0,27.0,3
real,hEkP,0,2.0,3.0,4
real,fit,0,21.0,23.0,3
real,bVfIt,0,2.0,2.0,5
real,m5l{sIz,0,0.0,0.0,7
real,w$R,0,27.0,27.0,3
real,buhu,0,0.0,0.0,4
real,gr5p,0,9.0,11.0,4
real,b1@nIt,0,0.0,0.0,6
real,gr5s,0,8.0,9.0,4
real,gr5t,0,10.0,13.0,4
real,gr5v,0,9.0,11.0,4
real,w$t,0,24.0,26.0,3
real,w$k,0,20.0,20.0,3
real,pl25sin,0,0.0,0.0,7
real,w$n,0,25.0,26.0,3
real,w$m,0,16.0,17.0,3
real,w$l,0,25.0,26.0,3
real,bQnd,0,7.0,9.0,4
real,w$f,0,12.0,14.0,3
real,w$d,0,23.0,25.0,3
real,w{Nk,0,10.0,12.0,4
real,d3t,0,15.0,15.0,3
real,pr$n,0,4.0,5.0,4
