lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,6506,7259,5.08724553766,4556
0,162,351,4458,4880,5.09802366742,4556
1,168,360,4332,4788,5.09518209302,4556
2,139,304,4433,4854,5.0999934466,4556
3,165,357,4476,4922,5.09805681992,4556
4,172,371,4345,4763,5.09680001234,4556
5,158,333,4381,4823,5.09711785233,4556
6,162,344,4512,4926,5.10070882753,4556
7,175,374,4590,5065,5.09778408275,4556
8,178,384,4671,5116,5.09764289549,4556
9,157,342,4439,4849,5.09805585619,4556
10,183,401,4508,4931,5.09664677838,4556
11,152,328,4352,4784,5.0961856309,4556
12,162,353,4416,4844,5.09879677611,4556
13,164,351,4487,4918,5.09719899887,4556
14,167,354,4496,4871,5.10014224737,4556
15,154,334,4630,5042,5.09876333449,4556
16,159,342,4408,4847,5.09660167555,4556
17,141,314,4459,4858,5.09778832319,4556
18,166,351,4456,4843,5.09956940294,4556
19,170,368,4566,5003,5.09730587715,4556
20,168,361,4460,4879,5.09750267196,4556
21,167,355,4367,4805,5.0963740412,4556
22,170,370,4435,4853,5.09534043478,4556
23,156,340,4463,4854,5.09841764253,4556
24,172,363,4334,4753,5.0993461054,4556
25,171,365,4410,4870,5.09949914661,4556
26,163,351,4505,4913,5.09897188687,4556
27,168,367,4424,4851,5.09722212853,4556
28,178,378,4443,4859,5.09818268379,4556
29,162,347,4107,4495,5.08998450917,4267
