lexicon,word,homophones,mps,neighbors,length
real,p{r@kwQt,0,0.0,0.0,8
real,Igw#n@,0,0.0,0.0,6
real,g3gP,0,6.0,6.0,4
real,kQm@d$R,0,0.0,0.0,7
real,d1zI,0,0.0,0.0,4
real,k{rIlj@n,0,0.0,0.0,8
real,TrQN,0,2.0,2.0,4
real,sQk@R,0,1.0,1.0,5
real,hVskI,0,0.0,1.0,5
real,k5b$lt,0,0.0,0.0,6
real,IndVl_,0,0.0,0.0,6
real,p$p@s,0,2.0,2.0,5
real,kVlv@t,0,0.0,0.0,6
real,sw1n,0,8.0,8.0,4
real,p{r@d2m,0,1.0,1.0,7
real,k@dEt,0,0.0,0.0,5
real,{v@l#nJ,0,0.0,0.0,7
real,sw3v,0,2.0,2.0,4
real,skr6n_,0,0.0,0.0,6
real,v3tju,0,0.0,1.0,5
real,m#m@t,0,0.0,1.0,5
real,dr{km@,0,0.0,0.0,6
real,g{mbP,0,2.0,4.0,5
real,sw3l,0,5.0,5.0,4
real,k@nsEnt,0,0.0,0.0,7
real,QkVlt,0,0.0,1.0,5
real,fr{Nk,0,3.0,4.0,5
real,sk{lp,0,1.0,1.0,5
real,l2k@n,0,0.0,1.0,5
real,kQrId$R,0,0.0,0.0,7
real,{lIb2,0,0.0,0.0,5
real,mVlIn,0,2.0,3.0,5
real,frik,0,4.0,4.0,4
real,pIpIn,0,2.0,2.0,5
real,kIln,0,1.0,1.0,4
real,sIlt,0,12.0,13.0,4
real,tr{NkwIl,0,0.0,0.0,8
real,t{mb9R,0,0.0,0.0,6
real,n2@sIn,0,0.0,0.0,6
real,tQfI,0,1.0,1.0,4
real,r{Nk,0,10.0,14.0,4
real,kl2m{ks,0,0.0,0.0,7
real,sEns@s,0,0.0,0.0,6
real,friz,0,4.0,4.0,4
real,fluId,0,0.0,0.0,5
real,{v@nju,0,0.0,0.0,6
real,b#skIt,0,1.0,1.0,6
real,pIpIt,0,2.0,2.0,5
real,spl1,0,1.0,1.0,4
real,d9R,0,5.0,5.0,3
real,pr@_Ekt,0,1.0,1.0,7
real,g@zEl,0,1.0,1.0,5
real,kIlt,0,12.0,13.0,4
real,#tIJ5k,0,0.0,0.0,6
real,Tr5t,0,3.0,3.0,4
real,tr6t,0,4.0,6.0,4
real,pUlpIt,0,0.0,1.0,6
real,kl5k,0,11.0,11.0,4
real,f$lt,0,5.0,5.0,4
real,trEm@l5,0,0.0,0.0,7
real,kl5n,0,7.0,7.0,4
real,f$ls,0,2.0,2.0,4
real,k@rin,0,1.0,1.0,5
real,kl5s,0,4.0,4.0,4
real,str5k,0,3.0,4.0,5
real,fEzHt,0,1.0,1.0,5
real,kw$t5,0,1.0,2.0,5
real,@gQg,0,0.0,0.0,4
real,pr5z,0,5.0,5.0,4
real,prIvIt,0,1.0,2.0,6
real,Tr5n,0,5.0,5.0,4
real,f@tig,0,0.0,0.0,5
real,J$tP,0,1.0,1.0,4
real,h5b5,0,0.0,0.0,4
real,sIr@s,0,1.0,2.0,5
real,skriJ,0,4.0,5.0,5
real,n1b@R,0,2.0,2.0,5
real,sIr@p,0,1.0,1.0,5
real,sut#n,0,0.0,0.0,5
real,klQp,0,12.0,12.0,4
real,p{r@Sut,0,0.0,0.0,7
real,hIp5,0,1.0,1.0,4
real,flES,0,5.0,5.0,4
real,lInIt,0,4.0,5.0,5
real,gr#f,0,2.0,3.0,4
real,m1g@s,0,0.0,0.0,5
real,m{ntIl@R,0,0.0,0.0,8
real,skrin,0,4.0,5.0,5
real,skrim,0,6.0,9.0,5
real,p3l4n,0,0.0,0.0,5
real,mQd@n,0,0.0,0.0,5
real,kQksIks,0,0.0,0.0,7
real,jutEnsP,0,0.0,0.0,7
real,s@v{n@,0,0.0,0.0,6
real,skrid,0,3.0,5.0,5
real,s@ksid,0,0.0,0.0,6
real,tr@k5m@,0,0.0,0.0,7
real,stip,0,8.0,9.0,4
real,t2tP,0,2.0,3.0,4
real,kVlt,0,3.0,4.0,4
real,l#g5,0,1.0,1.0,4
real,tElEks,0,0.0,0.0,6
real,JIkIn,0,0.0,0.0,5
real,brif,0,4.0,4.0,4
real,d{Nk,0,10.0,10.0,4
real,sQ_3n,0,0.0,0.0,5
real,p6ns,0,3.0,4.0,4
real,j5gI,0,1.0,1.0,4
real,p2@R,0,11.0,14.0,4
real,fl8R,0,3.0,5.0,4
real,m{nd@lin,0,0.0,0.0,8
real,SIb@lET,0,0.0,0.0,7
real,j5g@,0,2.0,2.0,4
real,r7l,0,2.0,3.0,3
real,_VNk,0,7.0,7.0,4
real,{knI,0,1.0,1.0,4
real,s@riz,0,1.0,1.0,5
real,p6nd,0,8.0,8.0,4
real,2bEks,0,1.0,1.0,5
real,vInIg@R,0,0.0,0.0,7
real,b{zP,0,4.0,4.0,4
real,dEnIzH,0,1.0,1.0,6
real,pVdP,0,9.0,9.0,4
real,S#ft,0,5.0,5.0,4
real,pQsIt,0,3.0,4.0,5
real,JIk@rI,0,0.0,0.0,6
real,rIns,0,3.0,4.0,4
real,p2@s,0,2.0,2.0,4
real,{sEt,0,0.0,0.0,4
real,k5k@,0,5.0,5.0,4
real,t{ksI,0,0.0,1.0,5
real,gr{mp@s,0,0.0,0.0,7
real,pr5n,0,10.0,10.0,4
real,stInt,0,3.0,4.0,5
real,IndEks,0,0.0,0.0,6
real,wIsP,0,6.0,6.0,4
real,hEkP,0,2.0,2.0,4
real,lImpId,0,1.0,2.0,6
real,snIvP,0,1.0,2.0,5
real,r{gu,0,0.0,0.0,4
real,d2s,0,8.0,8.0,3
real,sVk@R,0,1.0,1.0,5
real,bVfIt,0,2.0,2.0,5
real,rIzQt5,0,0.0,0.0,6
real,flis,0,2.0,2.0,4
real,m5l{sIz,0,0.0,0.0,7
real,kQmpQst,0,0.0,1.0,7
real,vItr7l,0,0.0,0.0,6
real,fIbjUl@,0,0.0,0.0,7
real,v{ksin,0,0.0,0.0,6
real,buhu,0,0.0,0.0,4
real,p5l5,0,2.0,3.0,4
real,lIkwId,0,0.0,0.0,6
real,p@p2@,0,1.0,1.0,5
real,r{tP,0,6.0,6.0,4
real,m3m@R,0,1.0,1.0,5
real,sl5g@n,0,0.0,0.0,6
real,b#lI,0,1.0,1.0,4
real,sEnt,0,11.0,14.0,4
real,p#st,0,10.0,10.0,4
real,$d1n,0,0.0,0.0,4
real,kruz,0,5.0,5.0,4
real,kQndIt,0,0.0,0.0,6
real,sEns,0,11.0,11.0,4
real,gr5p,0,9.0,9.0,4
real,fl#sk,0,0.0,0.0,5
real,b1@nIt,0,0.0,0.0,6
real,gr5s,0,8.0,8.0,4
real,gr5t,0,10.0,10.0,4
real,dI5d#R,0,0.0,0.0,6
real,k@m5d,0,0.0,0.0,5
real,l5t@s,0,0.0,0.0,5
real,sEnd,0,13.0,14.0,4
real,pl25sin,0,0.0,0.0,7
real,drINk,0,4.0,5.0,5
real,f$m{t,0,0.0,0.0,5
real,sw#v,0,2.0,2.0,4
real,J2v,0,9.0,9.0,3
real,gr1tIs,0,0.0,0.0,6
real,stVdI,0,0.0,1.0,5
real,tVs@k,0,0.0,1.0,5
real,Vln@,0,0.0,0.0,4
real,w{Nk,0,10.0,10.0,4
real,vEn@m,0,0.0,0.0,5
real,pr$n,0,4.0,4.0,4
real,h#lIkwIn,0,0.0,0.0,8
real,sk8R,0,7.0,9.0,4
real,frI_Id,0,0.0,0.0,6
real,n$sj@,0,0.0,0.0,5
real,pEmIk@n,0,1.0,1.0,7
real,@v3R,0,2.0,2.0,4
real,dIsIplIn,0,0.0,0.0,8
real,mImEnt5,0,1.0,1.0,7
real,k@mp{kt,0,0.0,0.0,7
real,#ft@R,0,0.0,0.0,5
real,j{r5,0,5.0,5.0,4
real,klVNk,0,4.0,5.0,5
real,finIks,0,0.0,0.0,6
real,tVnP,0,3.0,3.0,4
real,b1sH,0,3.0,3.0,4
real,skju@,0,0.0,0.0,5
real,{ntEn@,0,0.0,0.0,6
real,h{rIk5,0,0.0,0.0,6
real,sEl@R,0,2.0,2.0,5
real,p#slI,0,0.0,1.0,5
real,t@tu,0,1.0,1.0,4
real,grIdP,0,2.0,4.0,5
real,grIfH,0,0.0,0.0,5
real,lEnt5,0,0.0,0.0,5
real,flQrIn,0,0.0,0.0,6
real,smElt,0,0.0,2.0,5
real,vEsIkP,0,0.0,0.0,6
real,stQk,0,9.0,9.0,4
real,w$ls,0,1.0,1.0,4
real,drIft,0,3.0,4.0,5
real,gEk5,0,1.0,1.0,4
real,pr2d,0,7.0,9.0,4
real,skr{J,0,4.0,4.0,5
real,k@nf2d,0,0.0,0.0,6
real,bINg5,0,3.0,3.0,5
real,mQtP,0,6.0,6.0,4
real,pr2m,0,7.0,9.0,4
real,p@t1t5,0,0.0,0.0,6
real,k$k@s,0,3.0,3.0,5
real,pr2s,0,6.0,8.0,4
real,_Est,0,14.0,14.0,4
