lexicon,lev, length_count, neighbors
real,1,8,2
real,1,4,5187
real,1,5,978
real,1,6,111
real,1,7,19
real,2,8,11
real,2,4,48441
real,2,5,7858
real,2,6,664
real,2,7,57
real,3,8,29
real,3,4,314160
real,3,5,49789
real,3,6,4499
real,3,7,421
real,4,8,131
real,4,4,1316742
real,4,5,226051
real,4,6,24411
real,4,7,2259
real,5,8,580
real,5,5,593799
real,5,6,91068
real,5,7,10398
real,6,8,2259
real,6,6,183837
real,6,7,32342
real,7,8,5975
real,7,7,48465
real,8,8,6944
0,1,4,3256
0,1,5,228
0,1,6,6
0,2,4,47392
0,2,5,4087
0,2,6,184
0,2,7,6
0,3,8,2
0,3,4,354305
0,3,5,43438
0,3,6,2329
0,3,7,150
0,4,8,26
0,4,4,1279577
0,4,5,240141
0,4,6,18809
0,4,7,1201
0,5,8,308
0,5,5,590581
0,5,6,89709
0,5,7,7889
0,6,8,1701
0,6,6,193553
0,6,7,30882
0,7,8,5759
0,7,7,53833
0,8,8,8135
1,1,4,3320
1,1,5,248
1,1,6,11
1,1,7,1
1,2,4,48256
1,2,5,4595
1,2,6,175
1,2,7,10
1,3,8,5
1,3,4,352345
1,3,5,45310
1,3,6,2110
1,3,7,101
1,4,8,38
1,4,4,1280609
1,4,5,241102
1,4,6,18274
1,4,7,1261
1,5,8,291
1,5,5,587220
1,5,6,90172
1,5,7,8276
1,6,8,1705
1,6,6,193848
1,6,7,31703
1,7,8,5857
1,7,7,52609
1,8,8,8035
2,1,4,3351
2,1,5,254
2,1,6,6
2,2,4,48924
2,2,5,4544
2,2,6,164
2,2,7,10
2,3,8,3
2,3,4,354959
2,3,5,44712
2,3,6,2261
2,3,7,115
2,4,8,35
2,4,4,1277296
2,4,5,240052
2,4,6,18860
2,4,7,1335
2,5,8,278
2,5,5,588913
2,5,6,91252
2,5,7,8295
2,6,8,1577
2,6,6,192047
2,6,7,31441
2,7,8,5554
2,7,7,52765
2,8,8,8484
3,1,4,3304
3,1,5,293
3,1,6,8
3,2,4,47806
3,2,5,4548
3,2,6,161
3,2,7,3
3,3,8,3
3,3,4,356322
3,3,5,45574
3,3,6,2211
3,3,7,88
3,4,8,35
3,4,4,1277098
3,4,5,243092
3,4,6,18579
3,4,7,1080
3,5,8,268
3,5,5,584968
3,5,6,89975
3,5,7,7631
3,6,8,1622
3,6,6,193656
3,6,7,30791
3,7,8,5704
3,7,7,54368
3,8,8,8299
