lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,6297,7130,5.16203643113,4556
0,0,0,6064,6977,5.16158704123,4556
1,0,0,6045,6954,5.16164920217,4556
2,0,0,6060,6961,5.16351422329,4556
3,0,0,5986,6897,5.15789757225,4556
4,0,0,6094,6993,5.15938056858,4556
5,0,0,6134,7035,5.16058784016,4556
6,0,0,6047,6914,5.1609496265,4556
7,0,0,6080,6979,5.16130418483,4556
8,0,0,6033,6894,5.16004795548,4556
9,0,0,6098,6964,5.15523197598,4556
10,0,0,6033,6920,5.16425735981,4556
11,0,0,6003,6894,5.15863328801,4556
12,0,0,6001,6865,5.1644567567,4556
13,0,0,5928,6794,5.1604816365,4556
14,0,0,5974,6863,5.15852679522,4556
15,0,0,6067,6977,5.15942422581,4556
16,0,0,6120,7032,5.16003292121,4556
17,0,0,6098,6998,5.15773894138,4556
18,0,0,6068,7001,5.16325835149,4556
19,0,0,5993,6868,5.15722372833,4556
20,0,0,6161,7060,5.15950652883,4556
21,0,0,6125,7018,5.16121041336,4556
22,0,0,6003,6907,5.16138562049,4556
23,0,0,6141,7056,5.16284413793,4556
24,0,0,6019,6910,5.16067621472,4556
25,0,0,6043,6933,5.15688883021,4556
26,0,0,6161,7065,5.15481275099,4556
27,0,0,6044,6946,5.16120655841,4556
28,0,0,6040,6938,5.1609868267,4556
29,0,0,6046,6956,5.16225462087,4556
