lexicon,homophones,mps,neighbors,avg_lev,num_words
real,561,25325,29300,4.80868800921,6463
0,565,25199,29057,4.80925299468,6463
1,556,25166,29047,4.80918283841,6463
2,565,25137,28995,4.80946542692,6463
3,550,25179,29046,4.80967977468,6463
4,552,25129,29019,4.80981692661,6463
5,547,25140,28998,4.80941773023,6463
6,564,25198,29037,4.8097513676,6463
7,554,25149,29011,4.80955694135,6463
8,562,25221,29086,4.80947385525,6463
9,556,25158,28975,4.80973498983,6463
10,558,25205,29072,4.80986979522,6463
11,561,25141,29022,4.8098906745,6463
12,579,25171,29022,4.80976070581,6463
13,557,25135,29021,4.80939321145,6463
14,552,25116,28951,4.80955732445,6463
15,559,25188,29070,4.80922244198,6463
16,569,25204,29103,4.80950249242,6463
17,568,25158,29025,4.80973743213,6463
18,556,25229,29075,4.80938961983,6463
19,539,25250,29117,4.8092997336,6463
20,568,25166,29029,4.81004248022,6463
21,557,25174,29021,4.80949205278,6463
22,556,25210,29104,4.80983205929,6463
23,547,25140,28990,4.809607224,6463
24,546,25198,29010,4.80924940306,6463
25,554,25175,29024,4.80970587378,6463
26,560,25219,29061,4.8093860761,6463
27,565,25206,29096,4.8091242232,6463
28,545,25233,29083,4.80954707637,6463
29,567,25156,29008,4.80952351535,6463
