lexicon,lev, length_count, neighbors
real,0,3,303
real,0,4,183
real,0,5,54
real,0,6,18
real,0,7,2
real,0,8,1
real,1,3,17107
real,1,4,6953
real,1,5,1126
real,1,6,118
real,1,7,19
real,1,8,2
real,2,3,215976
real,2,4,60291
real,2,5,8751
real,2,6,717
real,2,7,57
real,2,8,11
real,3,3,1160229
real,3,4,376449
real,3,5,54834
real,3,6,4738
real,3,7,428
real,3,8,29
real,4,8,136
real,4,4,1551127
real,4,5,245566
real,4,6,25807
real,4,7,2290
real,5,8,594
real,5,5,641179
real,5,6,95731
real,5,7,10529
real,6,8,2296
real,6,6,191672
real,6,7,32651
real,7,8,6047
real,7,7,48854
real,8,8,6994
0,0,3,1535
0,0,4,764
0,0,5,112
0,0,6,1
0,1,3,22806
0,1,4,6195
0,1,5,306
0,1,6,10
0,1,7,1
0,2,3,220583
0,2,4,59044
0,2,5,3381
0,2,6,155
0,2,7,11
0,3,3,1148691
0,3,4,378379
0,3,5,28630
0,3,6,1702
0,3,7,76
0,3,8,6
0,4,8,26
0,4,4,1550621
0,4,5,195916
0,4,6,13997
0,4,7,837
0,5,8,185
0,5,5,723165
0,5,6,78085
0,5,7,5695
0,6,8,1177
0,6,6,224851
0,6,7,26922
0,7,8,4799
0,7,7,61288
0,8,8,9917
1,0,3,1554
1,0,4,802
1,0,5,88
1,0,6,1
1,1,3,22759
1,1,4,6211
1,1,5,371
1,1,6,11
1,2,3,219430
1,2,4,57206
1,2,5,3340
1,2,6,150
1,2,7,6
1,3,3,1149872
1,3,4,381257
1,3,5,29960
1,3,6,1562
1,3,7,77
1,3,8,4
1,4,8,18
1,4,4,1549527
1,4,5,203806
1,4,6,13443
1,4,7,640
1,5,8,171
1,5,5,713945
1,5,6,77320
1,5,7,5116
1,6,8,1050
1,6,6,226314
1,6,7,25530
1,7,8,4438
1,7,7,63461
1,8,8,10429
2,0,3,1698
2,0,4,875
2,0,5,130
2,0,6,3
2,1,3,23191
2,1,4,6603
2,1,5,422
2,1,6,7
2,1,7,2
2,2,3,225117
2,2,4,62690
2,2,5,3553
2,2,6,137
2,2,7,13
2,2,8,1
2,3,3,1143609
2,3,4,387864
2,3,5,30978
2,3,6,1548
2,3,7,72
2,3,8,1
2,4,8,13
2,4,4,1536971
2,4,5,200348
2,4,6,13248
2,4,7,700
2,5,8,178
2,5,5,716079
2,5,6,76620
2,5,7,5356
2,6,8,1042
2,6,6,227238
2,6,7,26028
2,7,8,4690
2,7,7,62659
2,8,8,10185
3,0,3,1690
3,0,4,778
3,0,5,98
3,1,3,24851
3,1,4,5865
3,1,5,371
3,1,6,11
3,1,7,4
3,2,3,223419
3,2,4,57699
3,2,5,3336
3,2,6,135
3,2,7,9
3,2,8,1
3,3,3,1143655
3,3,4,378108
3,3,5,29497
3,3,6,1491
3,3,7,76
3,3,8,4
3,4,8,22
3,4,4,1552553
3,4,5,197736
3,4,6,13326
3,4,7,738
3,5,8,186
3,5,5,720472
3,5,6,77352
3,5,7,5453
3,6,8,1164
3,6,6,226486
3,6,7,26581
3,7,8,4742
3,7,7,61969
3,8,8,9991
4,0,3,1659
4,0,4,827
4,0,5,83
4,0,6,7
4,1,3,26207
4,1,4,6856
4,1,5,322
4,1,6,12
4,1,7,1
4,2,3,231845
4,2,4,61804
4,2,5,3226
4,2,6,143
4,2,7,9
4,3,3,1133904
4,3,4,389244
4,3,5,28842
4,3,6,1612
4,3,7,94
4,3,8,3
4,4,8,17
4,4,4,1536272
4,4,5,197365
4,4,6,13932
4,4,7,778
4,5,8,182
4,5,5,721672
4,5,6,77774
4,5,7,5326
4,6,8,1144
4,6,6,225321
4,6,7,25609
4,7,8,4773
4,7,7,63013
4,8,8,9991
5,0,3,1533
5,0,4,768
5,0,5,102
5,0,6,1
5,1,3,23685
5,1,4,6099
5,1,5,356
5,1,6,8
5,2,3,221731
5,2,4,55530
5,2,5,3328
5,2,6,146
5,2,7,13
5,2,8,1
5,3,3,1146666
5,3,4,368297
5,3,5,28981
5,3,6,1660
5,3,7,76
5,3,8,1
5,4,8,17
5,4,4,1564309
5,4,5,196043
5,4,6,13971
5,4,7,731
5,5,8,162
5,5,5,722700
5,5,6,78304
5,5,7,5136
5,6,8,1117
5,6,6,224711
5,6,7,24962
5,7,8,4901
5,7,7,63912
5,8,8,9911
6,0,3,1596
6,0,4,822
6,0,5,117
6,0,6,3
6,1,3,24348
6,1,4,5882
6,1,5,427
6,1,6,6
6,1,7,1
6,2,3,218701
6,2,4,57697
6,2,5,3646
6,2,6,108
6,2,7,8
6,3,3,1148970
6,3,4,377237
6,3,5,30159
6,3,6,1331
6,3,7,91
6,3,8,2
6,4,8,11
6,4,4,1553365
6,4,5,200824
6,4,6,12611
6,4,7,834
6,5,8,171
6,5,5,716337
6,5,6,76681
6,5,7,5563
6,6,8,1048
6,6,6,228061
6,6,7,25876
6,7,8,4617
6,7,7,62457
6,8,8,10261
7,0,3,1506
7,0,4,777
7,0,5,103
7,0,6,2
7,1,3,23720
7,1,4,5864
7,1,5,373
7,1,6,7
7,2,3,224195
7,2,4,57822
7,2,5,3470
7,2,6,117
7,2,7,11
7,3,3,1144194
7,3,4,377962
7,3,5,29865
7,3,6,1569
7,3,7,107
7,3,8,5
7,4,8,24
7,4,4,1552578
7,4,5,198632
7,4,6,13644
7,4,7,826
7,5,8,194
7,5,5,719067
7,5,6,78444
7,5,7,6115
7,6,8,1105
7,6,6,225018
7,6,7,27500
7,7,8,4755
7,7,7,60271
7,8,8,10027
8,0,3,1701
8,0,4,792
8,0,5,141
8,0,6,5
8,1,3,23767
8,1,4,6534
8,1,5,422
8,1,6,10
8,2,3,225592
8,2,4,58629
8,2,5,3527
8,2,6,164
8,2,7,10
8,3,3,1142555
8,3,4,387848
8,3,5,30486
8,3,6,1683
8,3,7,79
8,3,8,4
8,4,8,19
8,4,4,1541200
8,4,5,199739
8,4,6,13551
8,4,7,718
8,5,8,168
8,5,5,717195
8,5,6,75730
8,5,7,5369
8,6,8,1021
8,6,6,227658
8,6,7,25448
8,7,8,4607
8,7,7,63206
8,8,8,10291
9,0,3,1567
9,0,4,780
9,0,5,98
9,0,6,7
9,1,3,23446
