lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,218,455,8218,9288,5.12256109093,4793
0,74,157,3501,3795,5.17451524848,4793
1,44,92,3140,3383,5.17698406866,4793
2,78,161,3287,3548,5.17367138081,4793
3,72,150,3434,3684,5.17319045199,4793
4,78,165,3562,3834,5.1746148651,4793
5,68,141,3239,3459,5.18055607318,4793
6,76,158,3472,3741,5.17038255218,4793
7,67,143,3142,3393,5.1772562728,4793
8,78,160,3240,3458,5.17746909011,4793
9,69,149,3195,3478,5.1793854038,4793
10,67,141,3288,3541,5.17839724877,4793
11,88,186,3579,3805,5.17590770416,4793
12,72,153,3290,3570,5.17769505612,4793
13,65,135,3130,3368,5.17877812558,4793
14,88,183,3433,3726,5.16884310975,4793
15,63,132,3387,3652,5.1769935601,4793
16,80,166,3284,3552,5.17431906296,4793
17,76,159,3450,3741,5.17356262106,4793
18,65,133,3223,3486,5.17151037946,4793
19,89,186,3551,3815,5.17224148182,4793
20,78,164,3391,3671,5.17655538632,4793
21,80,169,3386,3665,5.17348738613,4793
22,76,160,3649,3919,5.1709148567,4793
23,87,180,3585,3860,5.17435441641,4793
24,83,172,3663,3964,5.16607038924,4793
25,65,137,3329,3585,5.1725742048,4793
26,72,149,3409,3679,5.17492459963,4793
27,74,159,3371,3632,5.17119838092,4793
28,61,123,3327,3588,5.17805564389,4793
29,76,160,3516,3771,5.17072354752,4793
