lexicon,word,homophones,mps,neighbors,length
real,#I5t@,0,0.0,0.0,5
real,#I@R,0,30.0,43.0,4
real,#I@n,1,1.0,2.0,4
real,#I@n,1,1.0,2.0,4
real,#ID@R,0,3.0,5.0,5
real,#IbEks,0,1.0,1.0,6
real,#IbIs,0,0.0,0.0,5
real,#IdI@,0,0.0,0.0,5
real,#IdP,1,6.0,7.0,4
real,#IdP,1,6.0,7.0,4
real,#Idz,0,2.0,2.0,4
real,#IkQn,0,0.0,0.0,5
real,#IlEks,0,1.0,1.0,6
real,#It@m,0,0.0,0.0,5
real,#IvI,0,1.0,1.0,4
real,#U@R,1,5.0,8.0,4
real,#U@R,1,5.0,8.0,4
real,#Uns,0,0.0,2.0,4
real,#Ust,0,0.0,1.0,4
real,#_@nt,0,0.0,1.0,5
real,#ft@R,0,0.0,0.0,5
real,#gQn,0,0.0,0.0,4
real,#gju,0,1.0,1.0,4
real,#k1n,0,1.0,1.0,4
real,#kwIb@s,0,0.0,0.0,7
real,#m#d@,0,0.0,0.0,5
real,#m@nd,0,0.0,0.0,5
real,#ns@R,0,0.0,0.0,5
real,#rI@,0,0.0,0.0,4
real,#s@nP,0,0.0,0.0,5
real,#tIJ5k,0,0.0,0.0,6
real,#tIf{kt,0,0.0,0.0,7
real,#tIkP,0,0.0,1.0,5
real,$J@d,0,0.0,0.0,4
real,$T@dQks,0,0.0,0.0,7
real,$b@n,0,1.0,1.0,4
real,$bIt,0,1.0,1.0,4
real,$d1n,0,0.0,0.0,4
real,$d@R,0,1.0,1.0,4
real,$dI5,0,1.0,1.0,4
real,$dIn@ns,0,0.0,1.0,7
real,$dIt,0,3.0,3.0,4
real,$dil,0,0.0,0.0,4
real,$djU@R,0,0.0,0.0,6
real,$dn@ns,0,0.0,1.0,6
real,$g@R,0,3.0,3.0,4
real,$g@n,0,2.0,3.0,4
real,$g@ndI,0,0.0,0.0,6
real,$gVst,0,0.0,1.0,5
real,$g{z@m,0,0.0,0.0,6
real,$kId,0,1.0,1.0,4
real,$kIstr@,0,0.0,0.0,7
real,$ls5,0,0.0,0.0,4
real,$lt@R,1,0.0,0.0,5
real,$lt@R,1,0.0,0.0,5
real,$m5lu,0,0.0,0.0,5
real,$n@m@nt,0,0.0,0.0,7
real,$r$r@,0,0.0,0.0,5
real,$r@l,0,0.0,1.0,4
real,$rI5l,0,1.0,1.0,5
real,$rI@l,0,1.0,3.0,5
real,$rI@nt,0,0.0,0.0,6
real,$rIkP,0,1.0,1.0,5
real,$r{N@t{n,0,0.0,0.0,8
real,$t@l@n,0,0.0,0.0,6
real,$t@m,0,1.0,1.0,4
real,1$t@,0,0.0,0.0,4
real,1fId,0,0.0,0.0,4
real,1g#R,0,0.0,0.0,4
real,1gju,0,1.0,1.0,4
real,1k$n,0,1.0,1.0,4
real,1k@R,0,1.0,1.0,4
real,1kru,0,2.0,2.0,4
real,1lI@s,0,0.0,0.0,5
real,1lit,0,6.0,6.0,4
real,1lj@n,0,0.0,0.0,5
real,1n@s,0,1.0,1.0,4
real,1n_@l,0,0.0,0.0,5
real,1pEks,0,0.0,0.0,5
real,1pr@n,0,0.0,0.0,5
real,1prIkQt,0,0.0,0.0,7
real,3JIn,0,1.0,1.0,4
real,3mIn,0,1.0,2.0,4
real,3nIst,1,0.0,0.0,5
real,3nIst,1,0.0,0.0,5
real,5b@Zin,0,0.0,0.0,6
real,5bI@,0,0.0,0.0,4
real,5bis,0,0.0,0.0,4
real,5d@lIsk,0,0.0,0.0,7
real,5g@R,0,3.0,3.0,4
real,5k@R,0,3.0,4.0,4
real,5kr@,0,0.0,0.0,4
real,5mEn,0,0.0,0.0,4
real,5mIg@,0,0.0,0.0,5
real,5n@s,0,2.0,3.0,4
real,5nlI,0,0.0,0.0,4
real,5p#In,0,1.0,3.0,5
real,5p1k,0,0.0,0.0,4
real,5p@n,0,1.0,1.0,4
real,5p@s,0,2.0,2.0,4
real,5v3t,0,1.0,1.0,4
real,5v@R,0,3.0,3.0,4
real,5v@tjU@R,0,0.0,0.0,8
real,5z5n,0,0.0,0.0,4
real,@Jiv,0,0.0,0.0,4
real,@_End@,0,0.0,0.0,6
real,@b#Ut,0,0.0,1.0,5
real,@bEt,0,0.0,0.0,4
real,@bVv,0,0.0,0.0,4
real,@b_Ekt,0,0.0,0.0,6
real,@bl#I_,0,0.0,0.0,6
real,@blik,0,0.0,1.0,5
real,@b{nd@n,0,0.0,0.0,7
real,@d$R,0,1.0,1.0,4
real,@d$n,0,1.0,1.0,4
real,@d5bI,0,0.0,0.0,5
real,@drEs,0,0.0,1.0,5
real,@fE@R,0,0.0,4.0,5
real,@fr1,0,0.0,1.0,4
real,@fr1d,0,0.0,1.0,5
real,@g1vI,0,0.0,0.0,5
real,@gEn,0,0.0,0.0,4
real,@gQg,0,0.0,0.0,4
real,@gri,0,0.0,0.0,4
real,@k#Unt,0,0.0,2.0,6
real,@k$d,0,0.0,0.0,4
real,@k3R,0,1.0,1.0,4
real,@kQst,0,0.0,1.0,5
real,@kjut,0,1.0,2.0,5
real,@kjuz,0,1.0,1.0,5
real,@kru,0,2.0,2.0,4
real,@l#I,0,8.0,9.0,4
real,@l#U,0,4.0,4.0,4
real,@l#m,0,2.0,2.0,4
real,@l3t,0,3.0,3.0,4
real,@lVmn@,0,0.0,1.0,6
real,@lVmn@s,0,0.0,1.0,7
real,@ljU@R,0,0.0,0.0,6
real,@m1z,0,0.0,0.0,4
real,@mI@R,0,3.0,4.0,5
real,@mQk,0,1.0,1.0,4
real,@mVN,0,0.0,0.0,4
real,@mib@,0,0.0,0.0,5
real,@m{lg@m,0,0.0,0.0,7
real,@nEks,0,0.0,0.0,5
