lexicon,lev, length_count, neighbors
real,1,1,6
real,1,2,1067
real,1,3,11138
real,1,4,5187
real,1,5,978
real,1,6,111
real,1,7,19
real,1,8,2
real,2,2,10409
real,2,3,147601
real,2,4,48441
real,2,5,7858
real,2,6,664
real,2,7,57
real,2,8,11
real,3,3,814971
real,3,4,314160
real,3,5,49789
real,3,6,4499
real,3,7,421
real,3,8,29
real,3,9,2
real,4,4,1316742
real,4,5,226051
real,4,6,24411
real,4,7,2259
real,4,8,131
real,4,9,5
real,4,10,1
real,5,5,593799
real,5,6,91068
real,5,7,10398
real,5,8,580
real,5,9,14
real,5,10,1
real,6,8,2259
real,6,9,87
real,6,10,4
real,6,6,183837
real,6,7,32342
real,7,8,5975
real,7,9,244
real,7,10,12
real,7,11,1
real,7,7,48465
real,8,8,6944
real,8,9,573
real,8,10,61
real,8,11,1
real,9,9,560
real,9,10,106
real,9,11,5
real,10,10,91
real,10,11,8
real,11,11,13
real,11,12,1
0,1,1,351
0,1,2,1805
0,1,3,13207
0,1,4,3241
0,1,5,577
0,1,6,47
0,1,7,1
0,2,2,20986
0,2,3,184630
0,2,4,31648
0,2,5,4698
0,2,6,364
0,2,7,20
0,2,8,1
0,3,3,1076569
0,3,4,203624
0,3,5,32336
0,3,6,2302
0,3,7,160
0,3,8,14
0,3,9,2
0,4,4,793253
0,4,5,156831
0,4,6,11944
0,4,7,1005
0,4,8,75
0,4,9,6
0,4,10,3
0,5,5,441186
0,5,6,47592
0,5,7,5247
0,5,8,528
0,5,9,94
0,5,10,9
0,5,11,1
0,6,6,106822
0,6,7,19675
0,6,8,2396
0,6,9,508
0,6,10,60
0,6,11,6
0,6,12,2
0,7,7,39233
0,7,8,7029
0,7,9,1997
0,7,10,288
0,7,11,31
0,7,12,3
0,7,13,1
0,8,8,10057
0,8,9,5585
0,8,10,1034
0,8,11,140
0,8,12,36
0,8,13,8
0,8,14,3
0,9,9,7033
0,9,10,2510
0,9,11,429
0,9,12,170
0,9,13,30
0,9,14,7
0,9,15,3
0,9,16,1
0,10,10,2882
0,10,11,917
0,10,12,557
0,10,13,84
0,10,14,41
0,10,15,8
0,11,11,822
0,11,12,928
0,11,13,198
0,11,14,130
0,11,15,24
0,11,16,2
0,12,16,12
0,12,12,789
0,12,13,319
0,12,14,322
0,12,15,71
0,13,13,263
0,13,14,447
0,13,15,178
0,13,16,34
0,13,17,3
0,13,18,2
