lexicon,lev, length_count, neighbors
real,1,1,6
real,1,2,1067
real,1,3,11138
real,1,4,5187
real,1,5,978
real,1,6,111
real,1,7,19
real,1,8,2
real,2,2,10409
real,2,3,147601
real,2,4,48441
real,2,5,7858
real,2,6,664
real,2,7,57
real,2,8,11
real,3,3,814971
real,3,4,314160
real,3,5,49789
real,3,6,4499
real,3,7,421
real,3,8,29
real,3,9,2
real,4,4,1316742
real,4,5,226051
real,4,6,24411
real,4,7,2259
real,4,8,131
real,4,9,5
real,4,10,1
real,5,5,593799
real,5,6,91068
real,5,7,10398
real,5,8,580
real,5,9,14
real,5,10,1
real,6,8,2259
real,6,9,87
real,6,10,4
real,6,6,183837
real,6,7,32342
real,7,8,5975
real,7,9,244
real,7,10,12
real,7,11,1
real,7,7,48465
real,8,8,6944
real,8,9,573
real,8,10,61
real,8,11,1
real,9,9,560
real,9,10,106
real,9,11,5
real,10,10,91
real,10,11,8
real,11,11,13
real,11,12,1
0,1,1,6
0,1,2,884
0,1,3,10248
0,1,4,4569
0,1,5,685
0,1,6,42
0,2,2,10592
0,2,3,140305
0,2,4,47201
0,2,5,6168
0,2,6,369
0,2,7,15
0,2,8,1
0,3,3,823157
0,3,4,323294
0,3,5,43915
0,3,6,3020
0,3,7,152
0,3,8,8
0,4,8,54
0,4,4,1309466
0,4,5,216917
0,4,6,18710
0,4,7,1232
0,5,8,271
0,5,9,6
0,5,5,610790
0,5,6,82515
0,5,7,6918
0,6,8,1394
0,6,9,43
0,6,10,1
0,6,6,199934
0,6,7,27713
0,7,8,4874
0,7,9,159
0,7,10,9
0,7,7,57931
0,8,8,9329
0,8,9,496
0,8,10,28
0,8,11,2
0,9,9,781
0,9,10,87
0,9,11,5
0,10,10,151
0,10,11,9
0,11,11,12
0,12,12,1
1,1,1,6
1,1,2,809
1,1,3,10378
1,1,4,4849
1,1,5,594
1,1,6,42
1,1,7,1
1,2,2,10667
1,2,3,142327
1,2,4,48878
1,2,5,5839
1,2,6,346
1,2,7,9
1,3,3,821005
1,3,4,329767
1,3,5,43325
1,3,6,2731
1,3,7,119
1,3,8,4
1,4,8,34
1,4,4,1301036
1,4,5,215377
1,4,6,17466
1,4,7,1053
1,5,8,269
1,5,9,10
1,5,5,613340
1,5,6,80280
1,5,7,6410
1,6,8,1433
1,6,9,42
1,6,10,1
1,6,6,203725
1,6,7,26901
1,7,8,5119
1,7,9,175
