lexicon,lev, length_count, neighbors
real,1,8,2
real,1,4,5187
real,1,5,978
real,1,6,111
real,1,7,19
real,2,8,11
real,2,4,48441
real,2,5,7858
real,2,6,664
real,2,7,57
real,3,8,29
real,3,4,314160
real,3,5,49789
real,3,6,4499
real,3,7,421
real,4,8,131
real,4,4,1316742
real,4,5,226051
real,4,6,24411
real,4,7,2259
real,5,8,580
real,5,5,593799
real,5,6,91068
real,5,7,10398
real,6,8,2259
real,6,6,183837
real,6,7,32342
real,7,8,5975
real,7,7,48465
real,8,8,6944
0,1,4,5648
0,1,5,912
0,1,6,79
0,1,7,5
0,2,8,1
0,2,4,53902
0,2,5,8223
0,2,6,643
0,2,7,52
0,3,8,11
0,3,4,340290
0,3,5,52345
0,3,6,4732
0,3,7,365
0,4,8,72
0,4,4,1284690
0,4,5,233731
0,4,6,25133
0,4,7,2075
0,5,8,393
0,5,5,583264
0,5,6,88373
0,5,7,9123
0,6,8,1835
0,6,6,185630
0,6,7,29468
0,7,8,5338
0,7,7,52873
0,8,8,8281
1,1,4,5621
1,1,5,950
1,1,6,89
1,1,7,11
1,2,8,2
1,2,4,54309
1,2,5,7945
1,2,6,666
1,2,7,33
1,3,8,11
1,3,4,342925
1,3,5,52119
1,3,6,4684
1,3,7,236
1,4,8,64
1,4,4,1281675
1,4,5,229564
1,4,6,24692
1,4,7,1641
1,5,8,396
1,5,5,587897
1,5,6,90800
1,5,7,8102
1,6,8,1815
1,6,6,183659
1,6,7,29086
1,7,8,5382
1,7,7,54852
1,8,8,8261
2,1,4,5403
2,1,5,971
2,1,6,92
2,1,7,6
2,2,4,52611
2,2,5,8320
2,2,6,642
2,2,7,35
2,3,8,13
2,3,4,342093
2,3,5,53330
2,3,6,4232
2,3,7,288
2,4,8,56
2,4,4,1284423
2,4,5,232956
2,4,6,23434
2,4,7,1749
2,5,8,382
2,5,5,582898
2,5,6,88084
2,5,7,8729
2,6,8,1773
2,6,6,188106
2,6,7,29820
2,7,8,5386
2,7,7,53334
2,8,8,8321
3,1,4,5608
3,1,5,977
3,1,6,75
3,1,7,2
3,2,8,2
3,2,4,53755
3,2,5,8063
3,2,6,665
3,2,7,34
3,3,8,4
3,3,4,336531
3,3,5,52520
3,3,6,4667
3,3,7,257
3,4,8,64
3,4,4,1288636
3,4,5,235105
3,4,6,24713
3,4,7,1710
3,5,8,326
3,5,5,581810
3,5,6,91950
3,5,7,8566
3,6,8,1646
3,6,6,182520
3,6,7,29434
3,7,8,5168
3,7,7,53958
3,8,8,8721
4,1,4,5417
4,1,5,909
4,1,6,83
4,1,7,5
4,2,4,52119
4,2,5,8064
4,2,6,648
4,2,7,41
4,3,8,6
4,3,4,334759
4,3,5,52663
4,3,6,4159
4,3,7,278
4,4,8,53
4,4,4,1292235
4,4,5,233634
4,4,6,23001
4,4,7,1641
4,5,8,387
4,5,5,583205
4,5,6,88436
4,5,7,8743
4,6,8,1717
4,6,6,188263
4,6,7,29848
4,7,8,5517
4,7,7,53405
4,8,8,8251
5,1,4,5574
5,1,5,940
5,1,6,88
5,1,7,1
5,2,8,3
5,2,4,52997
5,2,5,8123
5,2,6,684
5,2,7,27
5,3,8,4
5,3,4,341337
5,3,5,52593
5,3,6,4514
5,3,7,241
5,4,8,67
5,4,4,1284622
5,4,5,232359
5,4,6,23427
5,4,7,1683
5,5,8,369
5,5,5,584460
5,5,6,89181
5,5,7,8352
5,6,8,1679
5,6,6,186696
5,6,7,29365
5,7,8,5395
5,7,7,54292
5,8,8,8414
6,1,4,5565
6,1,5,1021
6,1,6,74
6,1,7,8
6,2,8,2
6,2,4,53536
6,2,5,8259
6,2,6,514
6,2,7,34
6,3,8,12
6,3,4,345490
6,3,5,51765
6,3,6,4216
6,3,7,278
6,4,8,71
6,4,4,1279939
6,4,5,229691
6,4,6,23506
6,4,7,1798
6,5,8,416
6,5,5,587739
6,5,6,89977
6,5,7,8617
6,6,8,1796
6,6,6,186303
6,6,7,29492
6,7,8,5478
6,7,7,53734
6,8,8,8156
7,1,4,5311
7,1,5,864
7,1,6,99
7,1,7,8
7,2,8,5
7,2,4,51816
7,2,5,7744
7,2,6,701
7,2,7,47
7,3,8,13
7,3,4,337259
7,3,5,52325
7,3,6,4661
7,3,7,309
7,4,8,88
7,4,4,1290144
7,4,5,232186
7,4,6,24865
7,4,7,1910
7,5,8,431
7,5,5,585356
7,5,6,91475
7,5,7,8940
7,6,8,1879
7,6,6,182789
7,6,7,30111
7,7,8,5543
7,7,7,52636
7,8,8,7972
8,1,4,5683
8,1,5,904
8,1,6,90
8,1,7,3
8,2,8,2
8,2,4,52376
8,2,5,7653
8,2,6,687
8,2,7,52
8,3,8,9
8,3,4,336926
8,3,5,51638
8,3,6,4543
8,3,7,265
8,4,8,69
8,4,4,1289545
8,4,5,235476
8,4,6,23953
8,4,7,1830
8,5,8,430
8,5,5,582804
8,5,6,91322
8,5,7,8729
8,6,8,1675
8,6,6,183995
8,6,7,29228
8,7,8,5252
8,7,7,53854
8,8,8,8494
9,1,8,1
9,1,4,5608
9,1,5,968
9,1,6,75
9,1,7,4
9,2,4,53188
9,2,5,8288
9,2,6,683
9,2,7,41
9,3,8,7
9,3,4,342048
9,3,5,53611
9,3,6,4355
9,3,7,255
9,4,8,59
9,4,4,1283686
9,4,5,234158
9,4,6,23338
9,4,7,1705
9,5,8,333
9,5,5,581450
9,5,6,89132
9,5,7,8214
9,6,8,1627
9,6,6,187007
9,6,7,29114
9,7,8,5245
9,7,7,54628
9,8,8,8659
