lexicon,lev, length_count, neighbors
real,1,3,11138
real,1,4,5187
real,1,5,978
real,1,6,111
real,1,7,19
real,1,8,2
real,2,3,147601
real,2,4,48441
real,2,5,7858
real,2,6,664
real,2,7,57
real,2,8,11
real,3,3,814971
real,3,4,314160
real,3,5,49789
real,3,6,4499
real,3,7,421
real,3,8,29
real,4,8,131
real,4,4,1316742
real,4,5,226051
real,4,6,24411
real,4,7,2259
real,5,8,580
real,5,5,593799
real,5,6,91068
real,5,7,10398
real,6,8,2259
real,6,6,183837
real,6,7,32342
real,7,8,5975
real,7,7,48465
real,8,8,6944
0,1,3,11988
0,1,4,1964
0,1,5,90
0,1,6,2
0,2,3,161325
0,2,4,34636
0,2,5,2243
0,2,6,79
0,2,7,4
0,3,3,800397
0,3,4,315778
0,3,5,28681
0,3,6,1374
0,3,7,37
0,4,8,12
0,4,4,1332152
0,4,5,205341
0,4,6,13651
0,4,7,580
0,5,8,139
0,5,5,642120
0,5,6,81277
0,5,7,5345
0,6,8,1134
0,6,6,208207
0,6,7,27505
0,7,8,4997
0,7,7,60490
0,8,8,9649
1,1,3,11704
1,1,4,1877
1,1,5,98
1,2,3,160827
1,2,4,32890
1,2,5,2183
1,2,6,62
1,2,7,2
1,2,8,1
1,3,3,801179
1,3,4,309441
1,3,5,27944
1,3,6,1214
1,3,7,38
1,4,8,7
1,4,4,1340322
1,4,5,203061
1,4,6,13208
1,4,7,547
1,5,8,145
1,5,5,645189
1,5,6,79285
1,5,7,5200
1,6,8,1111
1,6,6,210821
1,6,7,26969
1,7,8,5052
1,7,7,61205
1,8,8,9615
2,1,3,11756
2,1,4,1949
2,1,5,102
2,1,6,1
2,2,3,159620
2,2,4,34055
2,2,5,2184
2,2,6,65
2,2,7,2
2,3,3,802334
2,3,4,311916
2,3,5,27690
2,3,6,1067
2,3,7,34
2,3,8,1
2,4,8,13
2,4,4,1336610
2,4,5,203559
2,4,6,12229
2,4,7,614
2,5,8,182
2,5,5,644940
2,5,6,77689
2,5,7,5442
2,6,8,1219
2,6,6,213539
2,6,7,27493
2,7,8,4929
2,7,7,60376
2,8,8,9587
3,1,3,11707
3,1,4,1981
3,1,5,88
3,1,6,1
3,2,3,159810
3,2,4,35771
3,2,5,2143
3,2,6,65
3,2,7,1
3,3,3,802193
3,3,4,322992
3,3,5,27929
3,3,6,1125
3,3,7,42
3,3,8,1
3,4,8,7
3,4,4,1323786
3,4,5,204512
3,4,6,12492
3,4,7,537
3,5,8,148
3,5,5,643803
3,5,6,78432
3,5,7,5239
3,6,8,1060
3,6,6,212475
3,6,7,26820
3,7,8,4981
3,7,7,61322
3,8,8,9734
4,1,3,11532
4,1,4,1938
4,1,5,84
4,2,3,157214
4,2,4,33923
4,2,5,1953
4,2,6,87
4,2,7,2
4,3,3,804964
4,3,4,313331
4,3,5,26811
4,3,6,1317
4,3,7,63
4,4,8,13
4,4,4,1335338
4,4,5,199600
4,4,6,13619
4,4,7,646
4,5,8,141
4,5,5,650027
4,5,6,81900
4,5,7,5842
4,6,8,1180
4,6,6,207667
4,6,7,28010
4,7,8,4969
4,7,7,59398
4,8,8,9628
5,1,3,11802
5,1,4,2001
5,1,5,79
5,1,6,3
5,2,3,159000
5,2,4,35486
5,2,5,1910
5,2,6,42
5,2,7,1
5,3,3,802908
5,3,4,323200
5,3,5,26554
5,3,6,1196
5,3,7,30
5,3,8,1
5,4,8,17
5,4,4,1323843
5,4,5,200859
5,4,6,12848
5,4,7,565
5,5,8,166
5,5,5,649073
5,5,6,79195
5,5,7,5049
5,6,8,1145
5,6,6,211306
5,6,7,27140
5,7,8,5096
5,7,7,61176
5,8,8,9506
6,1,3,11511
6,1,4,2020
6,1,5,90
6,1,6,1
6,2,3,157515
6,2,4,35158
6,2,5,2067
6,2,6,61
6,2,7,2
6,3,3,804684
