lexicon,lev, length_count, neighbors
real,1,1,6
real,1,2,1067
real,1,3,11138
real,1,4,5187
real,1,5,978
real,1,6,111
real,1,7,19
real,1,8,2
real,2,2,10409
real,2,3,147601
real,2,4,48441
real,2,5,7858
real,2,6,664
real,2,7,57
real,2,8,11
real,3,3,814971
real,3,4,314160
real,3,5,49789
real,3,6,4499
real,3,7,421
real,3,8,29
real,3,9,2
real,4,4,1316742
real,4,5,226051
real,4,6,24411
real,4,7,2259
real,4,8,131
real,4,9,5
real,4,10,1
real,5,5,593799
real,5,6,91068
real,5,7,10398
real,5,8,580
real,5,9,14
real,5,10,1
real,6,8,2259
real,6,9,87
real,6,10,4
real,6,6,183837
real,6,7,32342
real,7,8,5975
real,7,9,244
real,7,10,12
real,7,11,1
real,7,7,48465
real,8,8,6944
real,8,9,573
real,8,10,61
real,8,11,1
real,9,9,560
real,9,10,106
real,9,11,5
real,10,10,91
real,10,11,8
real,11,11,13
real,11,12,1
0,1,1,55
0,1,2,1152
0,1,3,2256
0,1,4,608
0,1,5,102
0,1,6,31
0,1,7,7
0,1,8,1
0,2,2,12709
0,2,3,29040
0,2,4,5621
0,2,5,626
0,2,6,60
0,2,7,14
0,2,8,5
0,3,3,158740
0,3,4,36602
0,3,5,4508
0,3,6,545
0,3,7,113
0,3,8,30
0,3,9,1
0,3,11,1
0,4,4,145974
0,4,5,25722
0,4,6,4371
0,4,7,1010
0,4,8,186
0,4,9,23
0,4,10,11
0,4,11,1
0,5,5,87870
0,5,6,22621
0,5,7,6908
0,5,8,1086
0,5,9,143
0,5,10,14
0,5,11,1
0,5,12,1
0,6,6,59943
0,6,7,30308
0,6,8,6266
0,6,9,894
0,6,10,139
0,6,11,25
0,6,12,2
0,6,14,1
0,7,7,69520
0,7,8,25072
0,7,9,4976
0,7,10,926
0,7,11,186
0,7,12,35
0,7,13,3
0,8,8,49164
0,8,9,18401
0,8,10,4342
0,8,11,1021
0,8,12,171
0,8,13,27
0,8,14,7
0,8,15,1
0,8,16,1
0,9,9,33873
0,9,10,13825
0,9,11,4909
0,9,12,916
0,9,13,208
0,9,14,29
0,9,15,5
0,9,16,2
0,10,10,21498
0,10,11,14410
0,10,12,3675
0,10,13,971
0,10,14,168
0,10,15,35
0,10,16,6
0,10,17,1
0,11,11,19349
0,11,12,9478
0,11,13,3745
0,11,14,837
0,11,15,158
0,11,16,62
0,11,17,5
0,11,18,2
