lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,18508,22523,4.96009179143,6197
0,0,0,19229,23740,6.04049628129,6197
1,0,0,19563,24126,5.93990053081,6197
2,0,0,19272,23933,5.98483555035,6193
3,0,0,19276,23854,6.00194647382,6197
4,0,0,19820,24468,5.90951998577,6197
5,0,0,20030,24804,5.93898534589,6197
6,0,0,20036,24851,6.08919630722,6197
7,0,0,19552,24291,5.97383493106,6197
8,0,0,19251,23929,5.98094878788,6197
9,0,0,19614,24215,6.00706682142,6197
10,0,0,19289,23925,6.02307411914,6197
11,0,0,19278,23993,6.05259609884,6197
12,0,0,19065,23658,5.96016508867,6196
13,0,0,19766,24413,6.0303694503,6197
14,0,0,19210,23758,5.94503051467,6197
15,0,0,19490,24110,6.06327134996,6193
16,0,0,19580,24085,6.1240052403,6195
17,0,0,19477,24184,5.92948597969,6195
18,0,0,19499,24194,5.94393680528,6196
19,0,0,19466,24190,5.98147761001,6195
20,0,0,19043,23783,5.98132039677,6196
21,0,0,19994,24811,5.91938559579,6197
22,0,0,19983,24747,6.08571272257,6196
23,0,0,19559,24237,5.93100818374,6197
24,0,0,19788,24493,5.99921472238,6197
25,0,0,18662,23181,5.95829534322,6195
26,0,0,19121,23841,5.95343328687,6195
27,0,0,18741,23182,5.9898627196,6195
28,0,0,19731,24470,6.01783365678,6197
29,0,0,19477,24199,6.00584276559,6196
