lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,18508,22523,4.96009179143,6197
0,0,0,15229,19501,4.97826589492,6197
1,0,0,14929,18987,4.9842217329,6197
2,0,0,15380,19513,4.97842861761,6197
3,0,0,15166,19121,4.98295750677,6197
4,0,0,15015,18972,4.98357969708,6197
5,0,0,15402,19551,4.98032019075,6197
6,0,0,14815,18957,4.97315752754,6197
7,0,0,15087,19108,4.98334233239,6197
8,0,0,15611,19819,4.9770452143,6197
9,0,0,15403,19607,4.97803577045,6197
10,0,0,15251,19292,4.98029826173,6197
11,0,0,14922,18917,4.98110802068,6197
12,0,0,15629,19758,4.97473683355,6197
13,0,0,14993,18943,4.98231416876,6197
14,0,0,15384,19614,4.97395676473,6197
15,0,0,15105,18993,4.98195846029,6197
16,0,0,15199,19305,4.97885016522,6197
17,0,0,14828,18979,4.9783181912,6197
18,0,0,15301,19390,4.97149212019,6197
19,0,0,15011,19153,4.97854378402,6197
20,0,0,15087,19187,4.97871239265,6197
21,0,0,15144,19240,4.98031071075,6197
22,0,0,15189,19278,4.98361324171,6197
23,0,0,15528,19638,4.97684686347,6197
24,0,0,15526,19554,4.98093524502,6197
25,0,0,15042,19087,4.97847377784,6197
26,0,0,15067,19214,4.97454572294,6197
27,0,0,15054,19159,4.97977087145,6197
28,0,0,15440,19566,4.98032144086,6197
29,0,0,15394,19433,4.97649495742,6197
