lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,18508,22523,4.96009179143,6197
0,0,0,16434,20600,4.9701500747,6197
1,0,0,16679,20830,4.97271535312,6197
2,0,0,16159,20234,4.97239443938,6197
3,0,0,16866,20954,4.9709509787,6197
4,0,0,16476,20510,4.97767516572,6197
5,0,0,16558,20621,4.97725033657,6197
6,0,0,16792,21020,4.97158108637,6197
7,0,0,16924,21031,4.96986989373,6197
8,0,0,16460,20528,4.97179730337,6197
9,0,0,16476,20645,4.97292630923,6197
10,0,0,16598,20688,4.97346677358,6197
11,0,0,16716,20919,4.97219603646,6197
12,0,0,16302,20385,4.9744544128,6197
13,0,0,16750,20790,4.97293964374,6197
14,0,0,16613,20750,4.97320372954,6197
15,0,0,16492,20533,4.97323039856,6197
16,0,0,16295,20396,4.97378805192,6197
17,0,0,16196,20321,4.97629994021,6197
18,0,0,16578,20703,4.97587380887,6197
19,0,0,16669,20820,4.97338827707,6197
20,0,0,16545,20656,4.97330129023,6197
21,0,0,16590,20664,4.9731944058,6197
22,0,0,16730,20885,4.97132226145,6197
23,0,0,16490,20670,4.97419527535,6197
24,0,0,16671,20752,4.97264842013,6197
25,0,0,16524,20601,4.97882766323,6197
26,0,0,16125,20335,4.97675841816,6197
27,0,0,16605,20692,4.96979639766,6197
28,0,0,16422,20597,4.97730044515,6197
29,0,0,16337,20466,4.97199070585,6197
