lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,18508,22523,4.96009179143,6197
0,0,0,14850,17676,4.99394561166,6197
1,0,0,14181,17068,4.99849377336,6197
2,0,0,14167,16920,4.99686649437,6197
3,0,0,14082,16889,4.9967213774,6197
4,0,0,14483,17206,4.99851330633,6197
5,0,0,14429,17250,4.99546397479,6197
6,0,0,14362,17228,4.99747061017,6197
7,0,0,14142,16882,4.99804425453,6197
8,0,0,14546,17382,4.99966158473,6197
9,0,0,14845,17610,4.9954721526,6197
10,0,0,14255,17042,4.99719209601,6197
11,0,0,14524,17337,4.99725777889,6197
12,0,0,14734,17495,4.99753790777,6197
13,0,0,14483,17266,4.9947717783,6197
14,0,0,14406,17212,4.99496757683,6197
15,0,0,14399,17170,4.99738143563,6197
16,0,0,14192,16913,5.00025575173,6197
17,0,0,14478,17327,4.9967916961,6197
18,0,0,14363,17085,4.9995641803,6197
19,0,0,14347,17149,4.99619586228,6197
20,0,0,14278,16941,4.99803331606,6197
21,0,0,14366,17072,4.99966918956,6197
22,0,0,14334,17138,5.00088283831,6197
23,0,0,14406,17257,4.99832203945,6197
24,0,0,14347,17071,4.99939671761,6197
25,0,0,13980,16670,4.99988691711,6197
26,0,0,14466,17226,4.99819129875,6197
27,0,0,14689,17533,4.99709786895,6197
28,0,0,14464,17186,4.99787418744,6197
29,0,0,14429,17177,4.99608361279,6197
