lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words
real,0,0,18508,22523,4.96009179143,6197
0,0,0,14559,18039,5.00633232953,6197
1,0,0,14573,18071,5.00941515361,6197
2,0,0,14023,17436,5.00750769365,6197
3,0,0,14296,17866,5.01103779677,6197
4,0,0,14323,17875,5.0055444996,6197
5,0,0,14483,17988,5.0121129958,6197
6,0,0,14635,18119,5.00725928631,6197
7,0,0,14298,17799,5.00971715942,6197
8,0,0,14236,17765,5.01293093255,6197
9,0,0,14342,17677,5.01287650067,6197
10,0,0,14571,18106,5.01307026776,6197
11,0,0,14544,18000,5.01194975223,6197
12,0,0,14520,17972,5.01153862221,6197
13,0,0,14361,17932,5.00672309317,6197
14,0,0,14496,17977,5.00904480843,6197
15,0,0,14370,17869,5.00835615392,6197
16,0,0,14142,17546,5.00886276112,6197
17,0,0,14439,17972,5.00655422411,6197
18,0,0,14763,18257,5.00749743233,6197
19,0,0,14532,17997,5.01255709749,6197
20,0,0,14210,17729,5.00795210786,6197
21,0,0,14393,17909,5.00704989284,6197
22,0,0,14286,17758,5.01089200266,6197
23,0,0,14281,17702,5.00869035008,6197
24,0,0,14091,17499,5.0121147147,6197
25,0,0,14447,17839,5.0102354864,6197
26,0,0,14372,17878,5.01049024846,6197
27,0,0,14525,18031,5.01130375774,6197
28,0,0,14695,18253,5.00662751182,6197
29,0,0,14681,18283,5.00552106004,6197
