lexicon,homophones,mps,neighbors,avg_lev,num_words
real,0,6632,7503,5.19210019268,4845
0,0,6627,7493,5.19725572005,4845
1,0,6654,7532,5.19817283774,4845
2,0,6621,7497,5.19740229527,4845
3,0,6635,7500,5.19723833555,4845
4,0,6663,7533,5.19846888558,4845
5,0,6623,7497,5.19907495703,4845
6,0,6604,7478,5.1986544907,4845
7,0,6616,7494,5.19796967768,4845
8,0,6602,7471,5.19795774714,4845
9,0,6637,7501,5.19802600687,4845
10,0,6656,7536,5.19679920645,4845
11,0,6654,7520,5.19944173593,4845
12,0,6636,7507,5.19719760128,4845
13,0,6610,7493,5.19824978972,4845
14,0,6578,7449,5.1991682709,4845
15,0,6603,7482,5.19686542095,4845
16,0,6661,7527,5.19736028272,4845
17,0,6619,7496,5.19869104928,4845
18,0,6646,7528,5.19934007068,4845
19,0,6607,7483,5.19710769614,4845
20,0,6655,7527,5.19686150091,4845
21,0,6624,7504,5.19867068215,4845
22,0,6604,7467,5.19859611627,4845
23,0,6634,7507,5.20060726451,4845
24,0,6647,7523,5.19670759694,4845
25,0,6597,7466,5.19769612743,4845
26,0,6622,7501,5.19805600366,4845
27,0,6602,7471,5.19847485085,4845
28,0,6661,7535,5.19723475639,4845
29,0,6604,7478,5.1983022841,4845
30,0,6634,7508,5.19747285589,4845
31,0,6658,7516,5.19764610438,4845
32,0,6614,7492,5.19832631562,4845
33,0,6644,7524,5.19925340383,4845
34,0,6643,7511,5.20072017855,4845
35,0,6636,7503,5.19987336584,4845
36,0,6623,7498,5.1977363504,4845
37,0,6633,7510,5.19889233454,4845
38,0,6641,7510,5.19895070897,4845
39,0,6585,7449,5.19998005895,4845
40,0,6592,7471,5.19779498048,4845
41,0,6592,7470,5.19967992064,4845
42,0,6615,7482,5.1987592238,4845
43,0,6620,7483,5.19998466073,4845
44,0,6651,7525,5.19785880887,4845
45,0,6636,7519,5.19712448411,4845
46,0,6623,7500,5.19898956845,4845
47,0,6622,7505,5.19834872799,4845
48,0,6618,7488,5.19886566126,4845
49,0,6607,7482,5.19757043067,4845
