lexicon,homophones,mps,neighbors,avg_lev,num_words
real,0,6632,7503,5.19210019268,4845
0,0,3010,3295,5.17642090606,4845
1,0,2957,3264,5.17747266841,4845
2,0,2963,3233,5.17779777564,4845
3,0,3027,3314,5.17238974689,4845
4,0,3001,3283,5.18355264223,4845
5,0,2920,3219,5.17897864348,4845
6,0,3014,3336,5.17396500432,4845
7,0,2836,3124,5.17545802623,4845
8,0,2826,3092,5.18307311973,4845
9,0,3006,3317,5.17673212272,4845
10,0,2763,3067,5.17741736183,4845
11,0,2771,3066,5.18262666186,4845
12,0,3005,3324,5.17946097819,4845
13,0,2804,3096,5.17581696506,4845
14,0,2805,3102,5.18517255396,4845
15,0,2952,3262,5.17726294655,4845
16,0,2940,3276,5.17257015371,4845
17,0,2976,3248,5.17950648467,4845
18,0,2954,3241,5.17602856171,4845
19,0,3086,3412,5.17678768496,4845
20,0,3006,3341,5.17575833497,4845
21,0,3026,3303,5.17691951743,4845
22,0,2968,3276,5.18094164347,4845
23,0,2672,2924,5.18456895384,4845
24,0,3005,3340,5.1778253011,4845
25,0,3182,3498,5.17186326919,4845
26,0,3045,3353,5.17603606091,4845
27,0,2879,3172,5.1813297269,4845
28,0,2895,3195,5.18111778937,4845
29,0,2936,3223,5.1789547824,4845
30,0,2997,3295,5.17835569884,4845
31,0,3045,3342,5.18177217951,4845
32,0,2996,3300,5.17667528222,4845
33,0,2981,3279,5.17699536158,4845
34,0,2846,3151,5.18384468482,4845
35,0,3034,3340,5.17442927277,4845
36,0,3075,3387,5.17288145559,4845
37,0,3173,3494,5.17583102605,4845
38,0,3016,3300,5.17196348573,4845
39,0,2980,3267,5.17657344654,4845
40,0,3068,3378,5.17888413656,4845
41,0,2915,3194,5.1798832341,4845
42,0,2912,3232,5.18462221518,4845
43,0,2972,3290,5.18685476016,4845
44,0,2786,3106,5.1775280602,4845
45,0,3189,3527,5.17187613713,4845
46,0,3111,3441,5.17179858862,4845
47,0,3099,3397,5.17695002552,4845
48,0,2992,3311,5.178261618,4845
49,0,2978,3283,5.17926114163,4845
