lexicon,homophones,mps,neighbors,avg_lev,num_words
real,1,6632,7503,5.19227611891,4846
0,5,3938,4450,5.25520189004,4846
1,2,4023,4519,5.26010076294,4846
2,2,3817,4281,5.26241484364,4846
3,6,3925,4444,5.25551706705,4846
4,2,3868,4375,5.25557567293,4846
5,1,3973,4463,5.26034200113,4846
6,4,4144,4679,5.25437842622,4846
7,3,3845,4341,5.26198731029,4846
8,6,3942,4479,5.26202870922,4846
9,2,3965,4467,5.25514745812,4846
10,1,3850,4350,5.26039294055,4846
11,1,3834,4343,5.26024335924,4846
12,4,3978,4505,5.25769187359,4846
13,5,3998,4479,5.26021090453,4846
14,1,3907,4404,5.25595201132,4846
15,0,3969,4479,5.25905871961,4846
16,2,3931,4418,5.26078554888,4846
17,3,4005,4505,5.25549457874,4846
18,8,3962,4477,5.26108130417,4846
19,6,3972,4480,5.25898137346,4846
20,2,3964,4478,5.25887591694,4846
21,4,3958,4492,5.26339700335,4846
22,6,3970,4460,5.25684541036,4846
23,3,3625,4081,5.26132364973,4846
24,3,3970,4467,5.25573300589,4846
25,3,3913,4456,5.25901817251,4846
26,2,3950,4444,5.26190459762,4846
27,3,3980,4498,5.25863536022,4846
28,1,3943,4404,5.25873783534,4846
29,7,3981,4501,5.25852871113,4846
30,4,3868,4358,5.25806369727,4846
31,4,4183,4717,5.25584459559,4846
32,5,4057,4588,5.25460177598,4846
33,5,3950,4440,5.25557141379,4846
34,1,3823,4330,5.25846465354,4846
35,4,3825,4273,5.25828040276,4846
36,4,3912,4419,5.25592773417,4846
37,4,3991,4496,5.25481626671,4846
38,4,3807,4277,5.25558930221,4846
39,3,4096,4586,5.25727439183,4846
40,1,3812,4294,5.25954613659,4846
41,4,3985,4483,5.25811199602,4846
42,4,3969,4499,5.255640412,4846
43,5,3988,4479,5.25508970406,4846
44,2,3894,4399,5.26014386553,4846
45,4,4048,4555,5.2590287352,4846
46,3,4088,4570,5.259911316,4846
47,4,3902,4375,5.25943113957,4846
48,3,3748,4202,5.26300490611,4846
49,2,3945,4465,5.256209775,4846
