lexicon,word,homophones,mps,neighbors,length
real,m{mb5,0,1.0,1.0,5
real,glE@R,0,2.0,3.0,5
real,1k$n,0,1.0,1.0,4
real,f1bP,0,7.0,7.0,4
real,_{mb@ri,0,0.0,0.0,7
real,b#n@kP,0,1.0,1.0,6
real,sk{pjUl@,0,0.0,0.0,8
real,p@l#It,0,0.0,1.0,6
real,m#t@R,0,6.0,7.0,5
real,rIft,0,7.0,10.0,4
real,k@milj@n,0,0.0,0.0,8
real,kQpr@,0,0.0,0.0,5
real,rINkP,0,3.0,5.0,5
real,sluT,0,3.0,3.0,4
real,p#Ip,0,6.0,6.0,4
real,#tIkP,0,0.0,1.0,5
real,fr$d,0,3.0,3.0,4
real,r5bVst,0,0.0,0.0,6
real,v3tju,0,0.0,1.0,5
real,{lb@trQs,0,0.0,0.0,8
real,m5l{sIz,0,0.0,0.0,7
real,bl#st,0,1.0,2.0,5
real,b{nt@m,0,0.0,0.0,6
real,p1st,0,10.0,10.0,4
real,pr@m5t,0,0.0,0.0,6
real,d3ndP,0,1.0,1.0,5
real,gQlIwQg,0,0.0,0.0,7
real,hVmbVg,0,0.0,0.0,6
real,k{nt@lup,0,0.0,0.0,8
real,fild,0,5.0,5.0,4
real,h{gP,0,3.0,3.0,4
real,{sf@dEl,0,0.0,0.0,7
real,gVzP,0,2.0,2.0,4
real,r1zH,0,2.0,2.0,4
real,st$lw@t,0,0.0,0.0,7
real,tQmtQm,0,0.0,0.0,6
real,#gju,0,1.0,1.0,4
real,kQks,0,6.0,6.0,4
real,kw5t,0,2.0,3.0,4
real,snuk@R,0,0.0,0.0,6
real,dI5d#R,0,0.0,0.0,6
real,b{st,0,7.0,8.0,4
real,pI@nI,0,1.0,1.0,5
real,{tl@s,0,0.0,0.0,5
real,rElIk,0,1.0,1.0,5
real,{r@k,0,1.0,2.0,4
real,#Uns,0,0.0,2.0,4
real,fik@nd,0,0.0,0.0,6
real,pINk5,0,1.0,2.0,5
real,pl#nt,0,3.0,3.0,5
real,kr@v{t,0,0.0,0.0,6
real,nImf,0,1.0,1.0,4
real,mEnd,0,10.0,10.0,4
real,kIlt,0,12.0,13.0,4
real,f{l{Nks,0,0.0,0.0,7
real,plVNk,0,4.0,6.0,5
real,k3nP,0,3.0,3.0,4
real,p#dH,0,2.0,2.0,4
real,s5f@,0,1.0,1.0,4
real,bVlk,0,7.0,7.0,4
real,tw3p,0,1.0,1.0,4
real,fjuJ@R,0,0.0,0.0,6
real,s#_@nt,0,0.0,1.0,6
real,InfEst,0,1.0,1.0,6
real,futP,0,1.0,1.0,4
real,kw$t5,0,1.0,2.0,5
real,kVmp@s,0,2.0,2.0,6
real,s#I@ns,0,0.0,0.0,6
real,dQgm@,0,0.0,0.0,5
real,t@gED@R,0,0.0,0.0,7
real,r5st,0,11.0,11.0,4
real,wINkP,0,2.0,4.0,5
real,f@l$n,0,0.0,0.0,5
real,Imjun,0,0.0,0.0,5
real,sk3t,0,10.0,11.0,4
real,sVmp,0,9.0,11.0,4
real,{mbIt,0,0.0,1.0,5
real,kwEtsP,0,0.0,0.0,6
real,t$s5,0,0.0,0.0,4
real,b{l#d,0,2.0,2.0,5
real,sIrin,0,1.0,1.0,5
real,sk{ndP,0,0.0,2.0,6
real,QbsIkwIz,0,0.0,0.0,8
real,st{mIn@,0,0.0,0.0,7
real,n5bP,0,2.0,2.0,4
real,sn{fP,0,1.0,1.0,5
real,dEspQt,0,0.0,0.0,6
real,hErIN,0,0.0,0.0,5
real,gV_@n,0,1.0,1.0,5
real,tEst,0,13.0,14.0,4
real,k$s#Z,0,0.0,0.0,5
real,h{ns@m,0,1.0,1.0,6
real,r#Ip,0,13.0,15.0,4
real,kEstr@l,0,0.0,0.0,7
real,flQp,0,9.0,9.0,4
real,sIns,0,7.0,7.0,4
real,g#UJ5,0,0.0,0.0,5
real,fInEs,0,1.0,1.0,5
real,trQmb5n,0,0.0,0.0,7
real,d1t@,0,0.0,1.0,4
real,dVst,0,8.0,8.0,4
real,blQnd,0,2.0,3.0,5
real,bl{nd,0,4.0,6.0,5
real,s#din,0,0.0,0.0,5
real,kI@S,0,0.0,0.0,4
real,f#st,0,9.0,9.0,4
real,fQr1,0,0.0,0.0,4
real,pImEnt5,0,1.0,1.0,7
real,s{nd,0,6.0,8.0,4
real,m#lIn,0,3.0,4.0,5
real,l5k5,0,1.0,1.0,4
real,dIkri,0,1.0,1.0,5
real,{g@r@,0,0.0,0.0,5
real,s3d#R,0,0.0,0.0,5
real,njuz,0,4.0,4.0,4
real,pIlJ@d,0,0.0,0.0,6
real,i_Is,0,0.0,0.0,4
real,lEgjum,0,0.0,0.0,6
real,bItjUmIn,0,0.0,0.0,8
real,p{nzI,0,1.0,1.0,5
real,lE@R,0,16.0,19.0,4
real,pl@sEnt@,0,0.0,0.0,8
real,sImpt@m,0,0.0,0.0,7
real,br$d,0,8.0,8.0,4
real,blEs,0,1.0,1.0,4
real,pIk{n,0,0.0,0.0,5
real,djuk,0,6.0,6.0,4
real,@l#I,0,5.0,6.0,4
real,tr1ps,0,0.0,1.0,5
real,blum,0,5.0,5.0,4
real,_#Ib,0,1.0,1.0,4
real,TrQb,0,1.0,1.0,4
real,@z1lj@,0,0.0,0.0,6
real,kwIz,0,8.0,8.0,4
real,spEk,0,5.0,6.0,4
real,dIkInz,0,0.0,0.0,6
real,l#It,0,19.0,23.0,4
real,imju,0,0.0,0.0,4
real,hQvP,0,2.0,2.0,4
real,kjupId,0,0.0,0.0,6
real,sl1t,0,11.0,11.0,4
real,$t@m,0,1.0,1.0,4
real,sVm@s$lt,0,0.0,0.0,8
real,_5k5s,0,0.0,0.0,5
real,p@_#m@,0,0.0,0.0,6
real,gl5t,0,5.0,5.0,4
real,kQtH,0,2.0,2.0,4
real,sEr@f,0,1.0,1.0,5
real,r{fP,0,6.0,6.0,4
real,j{r5,0,6.0,6.0,4
real,sil@k{nT,0,0.0,0.0,8
real,b{r@kud@,0,0.0,0.0,8
real,VD@R,0,1.0,1.0,4
real,dEft,0,5.0,6.0,4
real,ris@s,0,0.0,0.0,5
real,snVfP,0,2.0,3.0,5
real,p{d@k,0,2.0,2.0,5
real,b@zIlIk@,0,0.0,0.0,8
real,lIpId,0,1.0,2.0,5
real,slEnd@R,0,1.0,1.0,7
real,grVmbP,0,1.0,2.0,6
real,fibP,0,1.0,1.0,4
real,hQbnQb,0,0.0,0.0,6
real,hVlk,0,4.0,4.0,4
real,sIb@l,0,0.0,0.0,5
real,st#Irin,0,0.0,0.0,7
real,h#I@sInT,0,0.0,0.0,8
real,p@tr5l,0,0.0,1.0,6
real,s#I{tIk@,0,0.0,0.0,8
real,lU@rId,0,0.0,0.0,6
real,l{sk@R,0,0.0,0.0,6
real,r#I@t,0,1.0,2.0,5
real,r1d#R,0,0.0,0.0,5
real,1kru,0,2.0,2.0,4
real,dV_@n,0,1.0,2.0,5
real,kr#UJ,0,3.0,4.0,5
real,p{v@n,0,2.0,2.0,5
real,g1S@,0,0.0,0.0,4
real,JE@R,0,14.0,15.0,4
real,s5n@nt,0,0.0,0.0,6
real,sIr@p,0,1.0,1.0,5
real,g{rIsH,0,0.0,0.0,6
real,hVnt,0,8.0,8.0,4
real,pr#I,0,6.0,11.0,4
real,kr{b,0,9.0,9.0,4
real,sInsI@R,0,0.0,0.0,7
real,b3l{p,0,0.0,0.0,5
real,kVnt,0,7.0,7.0,4
real,l#ID,0,10.0,11.0,4
real,tr#Ib,0,4.0,5.0,5
real,sIlEkt,0,0.0,0.0,6
real,frQst,0,0.0,0.0,5
real,s{m@n,0,4.0,4.0,5
real,brIN,0,5.0,6.0,4
real,smQk,0,5.0,5.0,4
real,f$sIt,0,3.0,3.0,5
real,bIn_,0,4.0,4.0,4
real,pElis,0,0.0,0.0,5
real,p$tkVlIs,0,0.0,0.0,8
real,dEvP,0,3.0,3.0,4
real,3nIst,0,0.0,0.0,5
real,fEnP,0,5.0,5.0,4
real,JInUk,0,0.0,0.0,5
real,s3m@n,0,3.0,3.0,5
real,t1st,0,8.0,8.0,4
real,Infr@,0,0.0,0.0,5
real,k{l@bus,0,0.0,0.0,7
real,vErI,0,4.0,5.0,4
real,trEm@R,0,0.0,0.0,6
real,k{mIs5l,0,0.0,0.0,7
real,sEnt#v5,0,0.0,0.0,7
real,m#zIp{n,0,0.0,0.0,7
real,r#In5,0,2.0,2.0,5
real,r#Iz,0,13.0,14.0,4
real,l{Nk,0,10.0,14.0,4
real,mErIt,0,1.0,1.0,5
real,mIn5,0,5.0,5.0,4
real,nig@s,0,0.0,0.0,5
real,rub#b,0,0.0,0.0,5
real,w#Ip,0,9.0,10.0,4
real,h#It,0,14.0,14.0,4
real,kVlprIt,0,0.0,0.0,7
real,k@l#I@pI,0,0.0,0.0,8
real,kjU@R,0,2.0,2.0,5
real,rINk,0,13.0,18.0,4
real,swip,0,6.0,6.0,4
real,l{nd$,0,0.0,1.0,5
real,vIl@,0,0.0,2.0,4
real,tU@nIk1,0,0.0,0.0,7
real,spIl,0,9.0,10.0,4
real,d#Uz,0,4.0,5.0,4
real,stVbP,0,1.0,3.0,5
real,h{v@k,0,3.0,3.0,5
real,pipP,0,1.0,1.0,4
real,b$zQI,0,0.0,0.0,5
real,sIrQk5,0,0.0,0.0,6
real,{kjUm@n,0,0.0,0.0,7
real,dr1k,0,4.0,4.0,4
real,fINk,0,12.0,12.0,4
real,n#w@l,0,0.0,0.0,5
real,#s@nP,0,0.0,0.0,5
real,kElp,0,3.0,3.0,4
real,mIdI,0,3.0,3.0,4
real,twIl,0,10.0,10.0,4
real,f$lk@n,0,0.0,0.0,6
real,l#If,0,11.0,11.0,4
real,smuD,0,1.0,1.0,4
real,l{mpun,0,0.0,0.0,6
real,v3m@T,0,0.0,0.0,5
real,dizP,0,3.0,3.0,4
real,stIgm@,0,0.0,0.0,6
real,dQktrIn,0,0.0,0.0,7
real,k3tH,0,5.0,5.0,4
real,mizQn,0,0.0,0.0,5
real,pEzHt,0,1.0,1.0,5
real,kQmpE@R,0,1.0,1.0,7
real,tr{m,0,8.0,10.0,4
real,k@ns5l,0,2.0,2.0,6
real,p{ndIt,0,2.0,2.0,6
real,rEkI,0,0.0,0.0,4
real,kIJIn,0,0.0,0.0,5
real,@rin@,0,0.0,1.0,5
real,t#mIg@n,0,0.0,0.0,7
real,brItP,0,1.0,1.0,5
real,kQmpQst,0,0.0,1.0,7
real,pudP,0,7.0,7.0,4
real,bIltQN,0,0.0,0.0,6
real,krun,0,6.0,6.0,4
real,l#Il@k,0,0.0,0.0,6
real,Qkt@p@s,0,0.0,0.0,7
real,k#U@R,0,4.0,6.0,5
real,dEsIbEl,0,0.0,0.0,7
real,pUt5,0,0.0,0.0,4
real,smVg,0,4.0,5.0,4
real,T3m5st{t,0,0.0,0.0,8
real,st1_,0,8.0,8.0,4
real,rEkt5,0,0.0,0.0,5
real,t1bP,0,6.0,7.0,4
real,SEkP,0,3.0,3.0,4
real,Iglu,0,0.0,0.0,4
real,kQkP,0,4.0,4.0,4
real,s@l#Iv@,0,0.0,0.0,7
real,sl{S,0,14.0,15.0,4
real,JINk,0,12.0,12.0,4
real,st$m,0,6.0,6.0,4
real,fIl1,0,3.0,3.0,4
real,sw#v,0,2.0,2.0,4
real,m5lt,0,10.0,10.0,4
real,tEmp5,0,2.0,2.0,5
real,dr{b,0,6.0,6.0,4
real,sEs@mI,0,0.0,0.0,6
real,m#h@r#_@,0,0.0,0.0,8
real,lEvH,0,4.0,5.0,4
real,str{dP,0,1.0,1.0,6
real,f@tig,0,0.0,0.0,5
real,_Ih#d,0,0.0,0.0,5
real,skInt,0,2.0,6.0,5
real,j5gI,0,2.0,2.0,4
real,fIlJ,0,5.0,5.0,4
real,brET,0,2.0,2.0,4
real,b{l@d,0,3.0,3.0,5
real,gr#Ind,0,1.0,2.0,6
real,stjU@d,0,0.0,0.0,6
real,sImIt@R,0,0.0,0.0,7
real,d@kQIt,0,0.0,0.0,6
real,drup,0,8.0,8.0,4
real,njut@R,0,0.0,0.0,6
real,pQp@d@m,0,1.0,1.0,7
real,sInt{ks,0,0.0,0.0,7
real,wI@d,0,3.0,3.0,4
real,k{m@r@,0,0.0,0.0,6
real,skwil,0,3.0,3.0,5
real,smV_,0,3.0,3.0,4
real,gr1v,0,13.0,13.0,4
real,sikw@l,0,0.0,0.0,6
real,sl#UJ,0,0.0,1.0,5
real,t3ps,0,0.0,0.0,4
real,k5pEk,0,0.0,0.0,5
real,{spEkt,0,0.0,0.0,6
real,1pEks,0,0.0,0.0,5
real,v@_#In@,0,0.0,0.0,7
real,m{l5,0,8.0,8.0,4
real,r{NgP,0,7.0,8.0,5
real,pQgr@m,0,0.0,0.0,6
real,briv,0,7.0,7.0,4
real,st#J,0,7.0,8.0,4
real,skul,0,8.0,8.0,4
real,sInIst@R,0,1.0,1.0,8
real,s#In,0,19.0,22.0,4
real,pl{t,0,9.0,10.0,4
real,mI@R,0,19.0,24.0,4
real,tjutIl@R,0,0.0,0.0,8
real,kQlin,0,0.0,1.0,5
real,ImpIt@s,0,0.0,0.0,7
real,f$t1,0,0.0,0.0,4
real,l#Iv,0,13.0,13.0,4
real,supr@,0,0.0,0.0,5
real,r5d@nt,0,0.0,0.0,6
real,J3vIl,0,0.0,0.0,5
real,vQIl,0,8.0,8.0,4
real,t3mQIl,0,0.0,0.0,6
real,pIstP,0,0.0,0.0,5
real,s#IkP,0,3.0,4.0,5
real,S{l5,0,9.0,9.0,4
real,r5t@,0,0.0,0.0,4
real,J{zjUbP,0,0.0,0.0,7
real,tIm@TI,0,0.0,0.0,6
real,skub@,0,0.0,0.0,5
real,sIrIn_,0,0.0,0.0,6
real,v3mIn,0,1.0,2.0,5
real,lIft,0,9.0,9.0,4
real,st#k,0,13.0,13.0,4
real,stEnsP,0,0.0,0.0,6
real,{lk@l#I,0,0.0,0.0,7
real,br1n,0,11.0,11.0,4
real,krIstP,0,0.0,0.0,6
real,g#Ut,0,10.0,10.0,4
real,g#g#,0,1.0,1.0,4
real,@pl#I,0,0.0,3.0,5
real,k{nt5,0,0.0,1.0,5
real,t#t@R,0,5.0,5.0,5
real,slV_,0,7.0,7.0,4
real,Ign#It,0,0.0,0.0,6
real,IklIps,0,0.0,1.0,6
real,kl#Im{ks,0,0.0,0.0,8
real,@pEnd,0,1.0,1.0,5
real,pruv,0,3.0,3.0,4
real,d$nt,0,7.0,7.0,4
real,fl{S,0,10.0,10.0,4
real,p#Ik,0,9.0,11.0,4
real,blIp,0,5.0,6.0,4
real,p3J@s,0,1.0,1.0,5
real,p1t@R,0,2.0,2.0,5
real,t{m@rIsk,0,0.0,0.0,8
real,wEst,0,14.0,15.0,4
real,sErIf,0,2.0,2.0,5
real,b$bP,0,5.0,5.0,4
real,pr#Ul,0,2.0,3.0,5
real,mI{nd@R,0,0.0,0.0,7
real,h{rId@n,0,0.0,0.0,7
real,gr1d,0,12.0,12.0,4
real,VmbrEl@,0,0.0,0.0,7
real,dQlmEn,0,0.0,0.0,6
real,pr#I@R,0,2.0,3.0,6
real,pr5lIks,0,0.0,0.0,7
real,lVm@ks,0,0.0,1.0,6
real,l1bP,0,7.0,7.0,4
real,sl1k,0,8.0,8.0,4
real,gr#Us,0,2.0,3.0,5
real,skru_,0,0.0,1.0,5
real,h#m{tH,0,0.0,0.0,6
real,br{nd,0,2.0,6.0,5
real,bIrEt@,0,0.0,0.0,6
real,r5bQt,0,0.0,0.0,5
real,fr#Ust,0,0.0,0.0,6
real,kVst@m,0,0.0,0.0,6
real,sk#p,0,8.0,8.0,4
real,g{vP,0,4.0,5.0,4
real,5sIlQt,0,0.0,0.0,6
real,v{pId,0,1.0,1.0,5
real,gIt#R,0,1.0,1.0,5
real,k{n@,0,4.0,5.0,4
real,m{n@,0,2.0,3.0,4
real,krQft,0,1.0,1.0,5
real,fl{ksId,0,0.0,0.0,7
real,s@vQI,0,0.0,0.0,5
real,t$n1d5,0,0.0,0.0,6
real,t{Ng5,0,2.0,2.0,5
real,flIJ,0,4.0,5.0,4
real,hUk@,0,0.0,0.0,4
real,fIlIt,0,3.0,4.0,5
real,@gEn,0,0.0,0.0,4
real,mEms#hIb,0,0.0,0.0,8
real,s@pl#I,0,0.0,1.0,6
real,flIN,0,5.0,5.0,4
real,l5t@s,0,0.0,0.0,5
real,str#Ip,0,4.0,6.0,6
real,s3p@nt,0,0.0,0.0,6
real,spVn_,0,0.0,0.0,5
real,J#Ild,0,2.0,3.0,5
real,b#I@r5,0,2.0,2.0,6
real,m{r@bu,0,0.0,0.0,6
real,kVvIt,0,0.0,0.0,5
real,sIg#R,0,1.0,1.0,5
real,m#tIn,0,2.0,3.0,5
real,vit5,0,1.0,1.0,4
real,gVlf,0,3.0,3.0,4
real,mVnT,0,2.0,2.0,4
real,g#gP,0,6.0,6.0,4
real,kw3n,0,3.0,3.0,4
real,twINkP,0,0.0,2.0,6
real,lItr@t3R,0,0.0,0.0,8
real,d#IkIrI,0,0.0,0.0,7
real,k@bus,0,0.0,0.0,5
real,sk#l@t,0,0.0,0.0,6
real,fInJ,0,5.0,6.0,4
real,p#bQIl,0,0.0,0.0,6
real,pEdIkP,0,0.0,0.0,6
real,sizH,0,1.0,1.0,4
real,tr5T,0,3.0,3.0,4
real,n1b@R,0,2.0,2.0,5
real,J{nt@rEl,0,0.0,0.0,8
real,_#Iv,0,7.0,7.0,4
real,d1d5,0,2.0,2.0,4
real,t#ID,0,10.0,10.0,4
real,dw$f,0,1.0,1.0,4
real,pIgm@nt,0,0.0,0.0,7
real,v#I@,0,2.0,4.0,4
real,minINks,0,0.0,0.0,7
real,b{nd,0,6.0,9.0,4
real,Tr{S,0,5.0,5.0,4
real,@mVk,0,2.0,2.0,4
real,kl#s,0,4.0,5.0,4
real,grIm,0,10.0,11.0,4
real,v3tu,0,0.0,1.0,4
real,h#IbrId,0,0.0,0.0,7
real,gul{S,0,0.0,0.0,5
real,klQS,0,10.0,10.0,4
real,r{pt,0,1.0,1.0,4
real,t#It@n,0,0.0,0.0,6
real,klin,0,7.0,8.0,4
real,sImp@R,0,0.0,1.0,6
real,d#ft,0,6.0,7.0,4
real,spr{t,0,2.0,4.0,5
real,@kjut,0,1.0,2.0,5
real,bVnJ,0,4.0,4.0,4
real,dIklE@R,0,0.0,0.0,7
real,prQsp@R,0,0.0,1.0,7
real,sQld@R,0,1.0,1.0,6
real,Z{b5,0,1.0,1.0,4
real,k#m@,0,5.0,5.0,4
real,sIkl@m@n,0,0.0,0.0,8
real,vEsP,0,3.0,3.0,4
real,grVf,0,3.0,3.0,4
real,k@mEnd,0,2.0,2.0,6
real,S{mpu,0,0.0,0.0,5
real,spInEt,0,0.0,0.0,6
real,vItrI@l,0,0.0,0.0,7
real,klQd,0,10.0,10.0,4
real,k@dEt,0,0.0,0.0,5
real,#IvI,0,1.0,1.0,4
real,k1lIks,0,0.0,0.0,6
real,rEnt,0,11.0,11.0,4
real,pi@n,0,0.0,0.0,4
real,h{bIt,0,2.0,2.0,5
real,5d@lIsk,0,0.0,0.0,7
real,h5b5,0,1.0,1.0,4
real,snE@R,0,5.0,5.0,5
real,sEnt$R,0,1.0,1.0,6
real,wQbP,0,7.0,7.0,4
real,k@ndEm,0,1.0,1.0,6
real,sIst,0,8.0,9.0,4
real,sw{Nk,0,1.0,2.0,5
real,s3k@s,0,0.0,1.0,5
real,frQT,0,4.0,4.0,4
real,k@nfEtI,0,0.0,0.0,7
real,dIpl@m{t,0,0.0,0.0,8
real,InVf,0,1.0,1.0,4
real,lI@R,0,21.0,24.0,4
real,gl{s1,0,0.0,0.0,5
real,m#UT,0,2.0,2.0,4
real,p{JUlI,0,0.0,0.0,6
real,splin,0,0.0,0.0,5
real,kIdn{p,0,0.0,0.0,6
real,nQbP,0,8.0,8.0,4
real,m{JIt,0,1.0,1.0,5
real,rQmb@s,0,0.0,0.0,6
real,r{mkIn,0,0.0,0.0,6
real,h{JIt,0,2.0,2.0,5
real,kV_@l,0,0.0,0.0,5
real,blit,0,11.0,11.0,4
real,krim,0,10.0,11.0,4
real,frIl,0,10.0,10.0,4
real,dIs#Id,0,0.0,0.0,6
real,fQndP,0,1.0,2.0,5
real,hVmbP,0,6.0,6.0,5
real,skwQt,0,4.0,5.0,5
real,blik,0,9.0,10.0,4
real,gUld@n,0,0.0,0.0,6
real,SUg@R,0,0.0,0.0,5
real,skId,0,9.0,10.0,4
real,vQljUbP,0,1.0,1.0,7
real,mEld,0,6.0,6.0,4
real,sEntInP,0,0.0,0.0,7
real,mIlk,0,5.0,5.0,4
real,skrImS$,0,0.0,0.0,7
real,tVmbP,0,6.0,7.0,5
real,m$lt,0,7.0,7.0,4
real,fIEst@,0,1.0,1.0,6
real,m#Und,0,8.0,8.0,5
real,gr#v,0,6.0,6.0,4
real,bQtP,0,6.0,6.0,4
real,r#Im,0,14.0,17.0,4
real,sk1biz,0,0.0,0.0,6
real,t@b{k5,0,0.0,0.0,6
real,fl1l,0,3.0,3.0,4
real,m3fI,0,0.0,0.0,4
real,Iv{n_El,0,0.0,0.0,7
real,swun,0,5.0,5.0,4
real,spQr@n,0,0.0,0.0,6
real,fl@mINg5,0,0.0,0.0,8
real,3mIn,0,1.0,2.0,4
real,nIbP,0,6.0,7.0,4
real,QstrIJ,0,0.0,0.0,6
real,r{fI@,0,0.0,0.0,5
real,drVNk,0,2.0,3.0,5
real,g#lIk,0,0.0,0.0,5
real,_Ent,0,8.0,9.0,4
real,l5k@st,0,0.0,0.0,6
real,tEkst,0,1.0,2.0,5
real,spQt,0,8.0,8.0,4
real,swQl5,0,0.0,1.0,5
real,grum,0,6.0,6.0,4
real,h$nIt,0,1.0,2.0,5
real,smVgP,0,0.0,1.0,5
real,mEtr@n5m,0,0.0,0.0,8
real,sw$m,0,6.0,6.0,4
real,r{nd,0,6.0,8.0,4
real,lI1z@n,0,0.0,0.0,6
real,grEmlIn,0,0.0,0.0,7
real,Int{kt,0,0.0,0.0,6
real,st$R,0,8.0,8.0,4
real,lit@R,0,5.0,5.0,5
real,lus3n,0,0.0,0.0,5
real,snIf@l,0,0.0,0.0,6
real,kQns5l,0,2.0,2.0,6
real,skQn,0,7.0,8.0,4
real,smuJ,0,2.0,2.0,4
real,_ulIp,0,0.0,0.0,5
real,h3dP,0,4.0,4.0,4
real,r{mbP,0,3.0,6.0,5
real,@blik,0,0.0,1.0,5
real,plQNk,0,2.0,2.0,5
real,lEksIk@n,0,0.0,0.0,8
real,l{ps,0,1.0,1.0,4
real,fIs#Il,0,0.0,0.0,6
real,kQndIt,0,0.0,0.0,6
real,m#Im,0,8.0,8.0,4
real,tEnd@R,0,1.0,1.0,6
real,s{t@R,0,2.0,4.0,5
real,lInIn,0,1.0,1.0,5
real,vVlv@,0,0.0,0.0,5
real,1k@R,0,1.0,1.0,4
real,kwIl,0,12.0,13.0,4
real,nED@R,0,2.0,2.0,5
real,sp{n,0,7.0,7.0,4
real,T$r{ks,0,1.0,1.0,6
real,p5It,0,2.0,2.0,4
real,bVmbP,0,6.0,7.0,5
real,t{nQI,0,1.0,1.0,5
real,trVNk,0,1.0,2.0,5
real,QrIks,0,1.0,1.0,5
real,sm{k,0,7.0,8.0,4
real,pr#ns,0,3.0,3.0,5
real,pElt,0,7.0,9.0,4
real,grQt5,0,0.0,1.0,5
real,sIEn@,0,0.0,1.0,5
real,g{r@t,0,3.0,3.0,5
real,flEk,0,8.0,9.0,4
real,s#In@s,0,1.0,1.0,6
real,p{r@mU@R,0,0.0,0.0,8
real,v3tIbr@,0,0.0,0.0,7
real,QktIv,0,0.0,0.0,5
real,fQIl,0,8.0,8.0,4
real,@sIst,0,0.0,1.0,5
real,#It@m,0,0.0,0.0,5
real,pl{tIp@s,0,0.0,0.0,8
real,k$dH,0,1.0,1.0,4
real,b1k@n,0,0.0,0.0,5
real,sk3l,0,8.0,8.0,4
real,h#vIst,0,0.0,0.0,6
real,sp{t,0,9.0,11.0,4
real,p1TQs,0,1.0,1.0,5
real,{kmI,0,1.0,1.0,4
real,kr1n,0,11.0,12.0,4
real,ri_@nt,0,0.0,0.0,6
real,p$s@lIn,0,0.0,0.0,7
real,n#It,0,14.0,14.0,4
real,gw#n5,0,0.0,0.0,5
real,5n@s,0,2.0,3.0,4
real,TrES,0,5.0,5.0,4
real,s@_Est,0,0.0,0.0,6
real,nIg@d,0,0.0,0.0,5
real,k@n{l,0,1.0,1.0,5
real,k{sk1d,0,0.0,0.0,6
real,grQIn,0,0.0,1.0,5
real,f{rINks,0,1.0,1.0,7
real,spInI_,0,0.0,0.0,6
real,pQks,0,6.0,6.0,4
real,stIlt,0,1.0,4.0,5
real,grQvP,0,1.0,1.0,5
real,kjudQs,0,0.0,0.0,6
real,l{nt@n,0,0.0,0.0,6
real,d$fIn,0,0.0,0.0,5
real,swIN,0,7.0,7.0,4
real,kl{r@nEt,0,0.0,0.0,8
real,@Jiv,0,0.0,0.0,4
real,sl5T,0,2.0,2.0,4
real,rIvIt,0,1.0,2.0,5
real,snIg@R,0,0.0,1.0,6
real,grIfIn,0,0.0,0.0,6
real,_Ets@m,0,0.0,0.0,6
real,hiDH,0,0.0,0.0,4
real,stiv@d$R,0,0.0,0.0,8
real,rEkwI@m,0,0.0,0.0,7
real,p#l@ns,0,0.0,1.0,6
real,nQns,0,1.0,1.0,4
real,JImp@nzi,0,0.0,0.0,8
real,@t{k,0,2.0,2.0,4
real,sw$d,0,6.0,6.0,4
real,wUm@n,0,0.0,0.0,5
real,pEtP,0,8.0,8.0,4
real,gl#ns,0,0.0,2.0,5
real,g@zVmp,0,0.0,0.0,6
real,p{rIS,0,0.0,1.0,5
real,s3kP,0,4.0,4.0,4
real,prImjUl@,0,0.0,0.0,8
real,kwQr@l,0,0.0,0.0,6
real,tVsP,0,7.0,7.0,4
real,@sEnt,0,0.0,1.0,5
real,k@r#Uz,0,0.0,0.0,6
real,b@lIst@,0,0.0,0.0,7
real,slQt,0,15.0,15.0,4
real,sIEst@,0,1.0,1.0,6
real,IbId,0,0.0,0.0,4
real,{n5d#In,0,0.0,0.0,7
real,blQt,0,8.0,8.0,4
real,k$r@s,0,2.0,2.0,5
real,skriJ,0,4.0,5.0,5
real,t@bu,0,1.0,1.0,4
real,k{r@p1s,0,0.0,0.0,7
real,j5dP,0,1.0,1.0,4
real,l#m@,0,4.0,4.0,4
real,QmnIb@s,0,0.0,0.0,7
real,ljud,0,4.0,4.0,4
real,{ks@lQtP,0,0.0,0.0,8
real,fI@R,0,20.0,22.0,4
real,h#Iv,0,9.0,9.0,4
real,{lbin5,0,0.0,0.0,6
real,t#Ip,0,11.0,12.0,4
real,r{gu,0,0.0,0.0,4
