lexicon,word,homophones,mps,neighbors,length
real,p{r@fr1z,0,0.0,0.0,8
real,mIlt,0,15.0,15.0,4
real,{ks@lQtP,0,0.0,0.0,8
real,sIst,0,8.0,9.0,4
real,g{mbP,0,2.0,4.0,5
real,m#zIp{n,0,0.0,0.0,7
real,g{nIt,0,2.0,2.0,5
real,T3st,0,2.0,2.0,4
real,dr#ft,0,4.0,6.0,5
real,kl{n,0,10.0,10.0,4
real,spIndP,0,1.0,1.0,6
real,t#Un,0,5.0,5.0,4
real,dVbPju,0,0.0,0.0,6
real,l#IsI@m,0,0.0,0.0,7
real,k#Ik,0,10.0,12.0,4
real,lQIn,0,3.0,3.0,4
real,wInd,0,7.0,9.0,4
real,br#In,0,6.0,7.0,5
real,slVS,0,10.0,10.0,4
real,sQlId@s,0,0.0,0.0,7
real,tEnd@R,0,1.0,1.0,6
real,sImp@R,0,0.0,1.0,6
real,k{ft{n,0,0.0,0.0,6
real,bIl5,0,6.0,6.0,4
real,{NkP,0,2.0,3.0,4
real,h{r5,0,7.0,7.0,4
real,_IbIt,0,0.0,0.0,5
real,wInJ,0,8.0,8.0,4
real,st#R,0,10.0,11.0,4
real,wElt,0,13.0,13.0,4
real,tuk@n,0,1.0,1.0,5
real,lEvP,0,3.0,3.0,4
real,kw$t5,0,1.0,2.0,5
real,h{ndP,0,4.0,5.0,5
real,k@lIps5,0,0.0,0.0,7
real,sEs@mI,0,0.0,0.0,6
real,sInt{ks,0,0.0,0.0,7
real,rizH,0,2.0,3.0,4
real,k{SmI@R,0,0.0,0.0,7
real,m{nd1t,0,0.0,0.0,6
real,w{ks,0,4.0,4.0,4
real,kw1l,0,3.0,3.0,4
real,{sbEstQs,0,0.0,0.0,8
real,fVnd,0,4.0,4.0,4
real,IklIps,0,0.0,1.0,6
real,k@nkQkt,0,0.0,0.0,7
real,gr1p,0,12.0,12.0,4
real,Qr5tVnd,0,0.0,1.0,7
real,J{lIn_,0,0.0,0.0,6
real,sl{b,0,11.0,11.0,4
real,skId,0,9.0,10.0,4
real,dr{g,0,7.0,7.0,4
real,k@kun,0,1.0,1.0,5
real,str#Ip,0,4.0,6.0,6
real,frEsk5,0,0.0,0.0,6
real,k1Qs,0,1.0,1.0,4
real,lIk@R,0,1.0,2.0,5
real,tQdP,0,6.0,7.0,4
real,rI@l,0,1.0,2.0,4
