lexicon,word,homophones,mps,neighbors,length
real,p{l@R,0,2.0,2.0,5
real,nEbjUl@,0,0.0,0.0,7
real,wElt@R,0,0.0,1.0,6
real,t@gED@R,0,0.0,0.0,7
real,mInIst@R,0,1.0,1.0,8
real,mVnT,0,2.0,2.0,4
real,J#Iv,0,9.0,9.0,4
real,imju,0,0.0,0.0,4
real,slINk,0,3.0,6.0,5
real,sl#Id,0,5.0,7.0,5
real,tw#IlIt,0,0.0,0.0,7
real,fEzHt,0,1.0,1.0,5
real,J#In,0,16.0,17.0,4
real,SIndIg,0,0.0,0.0,6
real,J#Im,0,8.0,8.0,4
real,k@rIzm@,0,0.0,0.0,7
real,mInstr@l,0,0.0,1.0,8
real,{lf@,0,1.0,1.0,4
real,S@kQn,0,0.0,0.0,5
real,mVnJ,0,6.0,6.0,4
real,J#Id,0,10.0,11.0,4
real,k{vP,0,5.0,5.0,4
real,skwIgP,0,0.0,0.0,6
real,m5st,0,11.0,11.0,4
real,p3g@l@,0,0.0,0.0,6
real,JIkIn,0,0.0,0.0,5
real,sw1n,0,7.0,7.0,4
real,p{l@t,0,4.0,4.0,5
real,{ks@lQtP,0,0.0,0.0,8
real,k$d@rQI,0,0.0,0.0,7
real,mI{zm@,0,0.0,0.0,6
real,s3kP,0,4.0,4.0,4
real,spQr@n,0,0.0,0.0,6
real,nig@s,0,0.0,0.0,5
real,v#I@l,0,3.0,5.0,5
real,k5#l@,0,0.0,1.0,5
real,m5zI,0,1.0,1.0,4
real,vEnd,0,10.0,10.0,4
real,s3k@,0,1.0,2.0,4
real,Inf3n5,0,0.0,0.0,6
real,kVmkwQt,0,0.0,0.0,7
real,kQns@t,0,1.0,1.0,6
real,kjupId,0,0.0,0.0,6
real,$rI@l,0,1.0,3.0,5
real,hVrIk@n,0,0.0,0.0,7
real,Ins#Iz,0,0.0,0.0,6
real,vVlv@,0,0.0,0.0,5
real,sk{lIw{g,0,1.0,1.0,8
real,d#U@l,0,4.0,4.0,5
real,s@ksid,0,0.0,0.0,6
real,trEm@R,0,0.0,0.0,6
real,kr@v{t,0,0.0,0.0,6
real,p$nJ,0,4.0,4.0,4
real,k#nIvP,0,0.0,0.0,6
real,kQns@l,0,2.0,2.0,6
real,l{sk@R,0,0.0,0.0,6
real,{kjUm@n,0,0.0,0.0,7
real,Iljum,0,0.0,0.0,5
real,{gr5,0,0.0,0.0,4
real,slID@R,0,0.0,0.0,6
real,smEl,0,3.0,4.0,4
real,pjup@,0,2.0,2.0,5
real,dVst,0,8.0,8.0,4
real,v#I@lIn,0,0.0,0.0,7
real,skIp,0,12.0,14.0,4
real,sEnt$R,0,1.0,1.0,6
real,kQmIt,0,1.0,2.0,5
real,sVlk,0,3.0,4.0,4
