lexicon,word,homophones,mps,neighbors,length
real,n$tIl@s,0,0.0,0.0,7
real,InhErIt,0,0.0,0.0,7
real,kQI5tI,0,0.0,0.0,6
real,tr@piz,0,0.0,0.0,6
real,trIl,0,15.0,15.0,4
real,sINgP,0,5.0,5.0,5
real,v5lt,0,7.0,7.0,4
real,lEtIs,0,1.0,1.0,5
real,w$dH,0,1.0,1.0,4
real,@sIst,0,0.0,1.0,5
real,m{t@k,0,0.0,0.0,5
real,p#UJ,0,2.0,2.0,4
real,kQnd@m,0,0.0,0.0,6
real,fQks,0,4.0,5.0,4
real,prQp,0,7.0,7.0,4
real,s@pr#n5,0,0.0,0.0,7
real,h{lsI@n,0,0.0,0.0,7
real,fI_It,0,2.0,2.0,5
real,Imjun,0,0.0,0.0,5
real,p#S@,0,0.0,0.0,4
real,k{psjul,0,0.0,0.0,7
real,duv1,0,0.0,0.0,4
real,t#pQn,0,0.0,0.0,5
real,p{r@kwQt,0,0.0,0.0,8
real,m#zIp{n,0,0.0,0.0,7
real,h5st,0,8.0,8.0,4
real,skwQnd@R,0,0.0,0.0,8
real,kQns@t,0,1.0,1.0,6
real,mQNg@l,0,0.0,0.0,6
real,t{lk,0,2.0,2.0,4
real,r1biz,0,0.0,0.0,5
real,spl{S,0,1.0,3.0,5
real,_{vlIn,0,0.0,0.0,6
real,st{nd@d,0,0.0,0.0,7
real,sEm@lin@,0,0.0,0.0,8
real,st5l,0,9.0,10.0,4
real,m#mzI,0,0.0,0.0,5
real,snE@R,0,5.0,5.0,5
real,fjun@r@l,0,0.0,0.0,8
real,snIft@R,0,0.0,0.0,7
real,k{ndEl@,0,0.0,0.0,7
real,strIp,0,4.0,6.0,5
real,stjudI5,0,0.0,0.0,7
real,hih$,0,0.0,0.0,4
real,#IdEm,0,0.0,0.0,5
real,sw$m,0,6.0,6.0,4
real,snVb,0,4.0,4.0,4
real,slip,0,12.0,12.0,4
real,d#Ut,0,12.0,13.0,4
real,spIn,0,9.0,10.0,4
real,#nIk@,0,0.0,0.0,5
real,stQ_,0,4.0,4.0,4
real,flIN,0,5.0,5.0,4
real,blVnt,0,1.0,1.0,5
real,lus3n,0,0.0,0.0,5
real,sk#I,0,7.0,8.0,4
real,k{ntin,0,1.0,1.0,6
real,_VNk,0,8.0,8.0,4
real,s@pl#I,0,0.0,1.0,6
real,bl5t,0,5.0,5.0,4
real,zEn#n@,0,0.0,0.0,6
real,tjulIp,0,0.0,0.0,6
real,tInt,0,10.0,11.0,4
real,kVpP,0,3.0,3.0,4
real,m{sk#r@,0,1.0,1.0,7
real,b1st,0,13.0,13.0,4
real,flQks,0,3.0,6.0,5
real,m{r@bu,0,0.0,0.0,6
real,h#kwIb@s,0,0.0,1.0,8
real,sl{t@n,0,0.0,0.0,6
real,sk3_,0,3.0,3.0,4
real,njud,0,6.0,6.0,4
real,dEft,0,5.0,6.0,4
real,br#Ib,0,4.0,4.0,5
real,h#I_{k,0,0.0,0.0,6
real,k@nfEtI,0,0.0,0.0,7
real,tjunIk,0,0.0,0.0,6
real,wIn5,0,6.0,7.0,4
real,nED@R,0,2.0,2.0,5
real,trEbP,0,3.0,4.0,5
real,skwQbP,0,0.0,1.0,6
real,bVmp,0,10.0,10.0,4
real,wQtP,0,7.0,7.0,4
real,bVNg@l5,0,0.0,0.0,7
real,p@r{b@l@,0,0.0,0.0,8
real,sp{Nk,0,2.0,2.0,5
real,lImpIt,0,1.0,2.0,6
real,grIp,0,10.0,11.0,4
real,f@suT,0,0.0,0.0,5
real,b#Uns,0,2.0,3.0,5
real,krIkIt,0,0.0,0.0,6
real,mQn@k,0,0.0,0.0,5
real,h{ns@m,0,1.0,1.0,6
real,@stjut,0,0.0,0.0,6
real,mVnd1n,0,0.0,0.0,6
real,fik@nd,0,0.0,0.0,6
real,s#Ikl5n,0,0.0,0.0,7
real,l1dI,0,1.0,1.0,4
real,kQmb5,0,0.0,0.0,5
real,mitI$R,0,0.0,0.0,6
real,hVmp,0,10.0,10.0,4
real,l#U@R,0,3.0,6.0,5
real,pUt5,0,0.0,0.0,4
real,_I@R,0,18.0,18.0,4
real,tr$m@,0,0.0,0.0,5
real,k@rEkt,0,1.0,1.0,6
real,hjum@r@s,0,0.0,0.0,8
real,sp{t@R,0,0.0,1.0,6
real,Qntr@sQl,0,0.0,0.0,8
real,v3dIkt,0,0.0,0.0,6
real,k3dP,0,6.0,6.0,4
real,bQbIn,0,3.0,3.0,5
real,pElIk@n,0,1.0,1.0,7
real,bl1z,0,4.0,5.0,4
real,sp3m,0,4.0,4.0,4
real,sk{l@w{g,0,1.0,1.0,8
real,_Ilt,0,10.0,10.0,4
real,hQNk,0,3.0,3.0,4
real,s#Id,0,12.0,15.0,4
real,wQmb{t,0,1.0,1.0,6
real,t#Ikun,0,0.0,0.0,6
real,mETIl,0,0.0,1.0,5
real,k$s#Z,0,0.0,0.0,5
real,zINk,0,11.0,11.0,4
real,t{l@nt,0,0.0,1.0,6
real,sprIN,0,3.0,3.0,5
real,strVt,0,3.0,3.0,5
real,k@mpE@R,0,1.0,1.0,7
real,frIz,0,3.0,4.0,4
real,#tIf{kt,0,0.0,0.0,7
real,luk@R,0,2.0,2.0,5
real,sQlId@s,0,0.0,0.0,7
real,fINk,0,12.0,12.0,4
real,j5g@,0,2.0,2.0,4
real,bVfIt,0,2.0,2.0,5
real,klin,0,7.0,8.0,4
real,st3_@n,0,0.0,1.0,6
real,spr$l,0,1.0,1.0,5
real,m@k$,0,0.0,0.0,4
real,rE@R,0,14.0,14.0,4
real,IlIks@R,0,0.0,0.0,7
real,Eb@nI,0,0.0,0.0,5
real,dr{km@,0,0.0,0.0,6
real,spEnt,0,2.0,3.0,5
real,d{J@,0,0.0,0.0,4
real,dEspQt,0,0.0,0.0,6
real,l#m@,0,4.0,4.0,4
real,mIns,0,8.0,8.0,4
real,_@pQnIk@,0,0.0,0.0,8
real,buhu,0,0.0,0.0,4
real,@gQg,0,0.0,0.0,4
real,smIT,0,0.0,0.0,4
real,lupIn,0,0.0,0.0,5
real,mInIm,0,1.0,2.0,5
real,rE_ImEn,0,0.0,0.0,7
real,r#ft,0,7.0,10.0,4
real,b{fP,0,4.0,4.0,4
real,{nT@m,0,0.0,0.0,5
real,p{lI{s,0,0.0,1.0,6
real,tEnd@R,0,1.0,1.0,6
real,s{v@lQI,0,0.0,0.0,7
real,p#I@rI@,0,0.0,0.0,7
real,dim@n,0,1.0,1.0,5
real,skr1p,0,2.0,3.0,5
real,frIk@si,0,0.0,0.0,7
real,prEs,0,4.0,4.0,4
real,stul,0,9.0,9.0,4
real,pr@v5k,0,0.0,0.0,6
real,krik,0,14.0,14.0,4
real,sIks,0,8.0,8.0,4
real,m#tinI,0,0.0,0.0,6
real,glImps,0,0.0,0.0,6
real,_Er@nd,0,0.0,0.0,6
real,trIbjun,0,1.0,1.0,7
real,m{v@rIk,0,0.0,0.0,7
real,kupQn,0,0.0,0.0,5
real,t@rin,0,1.0,1.0,5
real,k@r#Uz,0,0.0,0.0,6
real,lInJ,0,6.0,8.0,4
real,dINk@m,0,0.0,0.0,6
real,n#IlQn,0,0.0,0.0,6
real,gl#s,0,3.0,4.0,4
real,f1nt,0,4.0,4.0,4
real,1fId,0,0.0,0.0,4
