lexicon,word,homophones,mps,neighbors,length
real,st6l,0,10.0,11.0,4
real,t1mp[n<,0,0.0,0.0,7
real,kork[s,0,0.0,0.0,6
real,s0f[t,0,1.0,1.0,5
real,st2ts[n,0,0.0,0.0,7
real,glas,0,5.0,6.0,4
real,l2m[n,0,2.0,2.0,5
real,foks,0,5.0,5.0,4
real,m6t>v,0,0.0,0.0,5
real,band,0,8.0,11.0,4
real,t6b<,0,0.0,0.0,4
real,sk1n,0,10.0,10.0,4
real,kan[n,0,1.0,3.0,5
real,f@st7n,0,0.0,0.0,6
real,sm4g[l,0,0.0,0.0,6
real,v5[l,0,3.0,4.0,4
real,azm[,0,0.0,0.0,4
real,w3r[nt,0,1.0,2.0,6
real,d0b<,0,0.0,0.0,4
real,Jant,0,4.0,4.0,4
real,r1g[l,0,5.0,5.0,5
real,d3nt,0,7.0,7.0,4
real,st1lt,0,1.0,4.0,5
real,m3rEz,0,0.0,0.0,5
real,gasp,0,2.0,3.0,4
real,S4t[l,0,2.0,2.0,5
real,p}ve,0,0.0,0.0,4
real,sp2kt},0,0.0,1.0,6
real,sk0m>S,0,0.0,0.0,6
real,m1ns,0,7.0,7.0,4
real,flaNk,0,6.0,8.0,5
real,swid,0,6.0,6.0,4
real,n2r],0,4.0,4.0,4
real,tAr6,0,0.0,0.0,4
real,tr8ns,0,1.0,1.0,5
real,3g[st,0,0.0,0.0,5
real,3rg[n,0,1.0,2.0,5
real,r2nJ,0,4.0,7.0,4
real,k4v[n,0,2.0,3.0,5
real,p2d[gr<,0,0.0,0.0,7
real,v2z>k[l,0,0.0,0.0,7
real,n3t[l[s,0,0.0,0.0,7
real,snuk,0,3.0,4.0,4
real,skramb[l,0,0.0,1.0,8
real,k4nt,0,6.0,6.0,4
real,Sal],0,6.0,6.0,4
real,pr2r<,0,0.0,1.0,5
real,_4Ng[l,0,2.0,3.0,6
real,Tr2d,0,6.0,6.0,4
real,hUre,0,0.0,0.0,4
real,w2lt,0,10.0,11.0,4
real,}2g[n],0,0.0,0.0,6
real,s1r<z,0,0.0,0.0,5
real,st1l,0,14.0,15.0,4
real,k3rd[n,0,1.0,1.0,6
real,l2ks>kOn,0,0.0,0.0,8
real,s2ns[s,0,0.0,0.0,6
real,1nd[g],0,0.0,0.0,6
real,fr2k[l,0,0.0,0.0,6
real,mom[,0,2.0,3.0,4
real,m[Sin,0,0.0,0.0,5
real,jur[n,0,0.0,0.0,5
real,s<2r[,0,1.0,1.0,5
real,kost,0,3.0,4.0,4
real,swoz<,0,1.0,1.0,5
real,g[z2l,0,1.0,1.0,5
real,hav[k,0,2.0,2.0,5
real,_0z<,0,0.0,0.0,4
real,h3nt,0,8.0,8.0,4
real,kom[t,0,2.0,3.0,5
real,l1m[t,0,0.0,0.0,5
real,s[pl5,0,0.0,1.0,5
real,an[kd^t,0,0.0,0.0,7
real,s3rs,0,7.0,7.0,4
real,grib,0,8.0,8.0,4
real,d>gri,0,1.0,1.0,5
real,p[z2s,0,0.0,0.0,5
real,str5f,0,5.0,5.0,5
real,gog[l,0,4.0,4.0,5
real,dat[,0,0.0,0.0,4
real,gask[t,0,1.0,1.0,6
real,pamfl[t,0,0.0,0.0,7
real,lorJ,0,5.0,5.0,4
real,gav[l,0,2.0,3.0,5
real,sl1p,0,14.0,14.0,4
real,blaNk,0,4.0,7.0,5
real,tr1m,0,7.0,7.0,4
real,d>sit,0,0.0,0.0,5
real,stil,0,10.0,10.0,4
real,k8nt},0,0.0,1.0,5
real,an[m[l,0,0.0,0.0,6
real,stret,0,4.0,7.0,5
real,kj7b,0,1.0,1.0,4
real,[b8t,0,1.0,1.0,4
real,b4k[t,0,1.0,1.0,5
real,mit<},0,0.0,0.0,5
real,w1lt,0,10.0,11.0,4
real,pors[n,0,2.0,3.0,6
real,d>s5d,0,0.0,0.0,5
real,s5[ns,0,0.0,0.0,5
real,sk2pt},0,0.0,0.0,6
real,st[l2t],0,0.0,0.0,7
real,s[mol<,0,0.0,0.0,6
real,fr4nt,0,2.0,2.0,5
real,d5}<,0,0.0,0.0,4
real,Tr2S,0,5.0,5.0,4
real,tret,0,11.0,12.0,4
real,sw1g,0,7.0,7.0,4
real,kr8J,0,5.0,5.0,4
real,gr9n,0,4.0,4.0,4
real,blond,0,3.0,4.0,5
real,baf[l,0,4.0,4.0,5
real,m1r},0,0.0,0.0,4
real,gr6s,0,8.0,8.0,4
real,sl1D},0,0.0,0.0,5
real,solv,0,1.0,1.0,4
real,ri_[nt,0,0.0,0.0,6
real,kr1b,0,3.0,3.0,4
real,b]l2r],0,0.0,0.0,6
real,n7kl<[s,0,0.0,0.0,7
real,skr7p[l,0,0.0,0.0,7
real,swit,0,7.0,7.0,4
real,p1rs,0,2.0,2.0,4
real,fl5t,0,11.0,11.0,4
real,smok,0,4.0,4.0,4
real,p[l1t>k],0,0.0,0.0,8
real,m2d[l,0,6.0,6.0,5
real,1mpAkt,0,0.0,0.0,6
real,l5[l,0,3.0,4.0,4
real,Srik,0,3.0,3.0,4
real,niOn,0,0.0,0.0,4
real,s2nt[ns,0,0.0,0.0,7
real,wombAt,0,1.0,1.0,6
real,s1ns,0,7.0,7.0,4
real,ors[n[l,0,0.0,0.0,7
real,sk1t,0,14.0,14.0,4
real,skwoS,0,2.0,2.0,5
real,smaS,0,3.0,3.0,4
real,sw1N,0,7.0,7.0,4
real,on>ks,0,0.0,0.0,5
real,sl5s,0,5.0,6.0,4
real,r7br>k,0,0.0,0.0,6
real,tr1k[l,0,0.0,1.0,6
real,j7t[l+z,0,0.0,0.0,7
real,kl2nJ,0,3.0,3.0,5
real,p2tr[l,0,0.0,2.0,6
real,s1lk,0,5.0,5.0,4
real,swon,0,10.0,10.0,4
real,pors[l,0,1.0,1.0,6
real,land,0,6.0,9.0,4
real,mand}[n,0,0.0,0.0,7
real,bruk,0,4.0,4.0,4
real,s[ks2s,0,0.0,0.0,6
real,3rk[str[,0,0.0,0.0,8
real,tr8[l,0,0.0,0.0,5
real,al_[br[,0,0.0,0.0,7
real,t2nd,0,9.0,11.0,4
real,t1k[l,0,7.0,9.0,5
real,S6g[n,0,0.0,0.0,5
real,sw0l,0,4.0,4.0,4
real,dw1nd[l,0,1.0,1.0,7
real,drag[n,0,0.0,0.0,6
real,sk3ld,0,1.0,1.0,5
real,k7g},0,0.0,0.0,4
real,slaS,0,13.0,14.0,4
real,flel,0,3.0,3.0,4
real,probl[m,0,0.0,0.0,7
real,1nt[l@kt,0,0.0,0.0,8
real,w3rd[n,0,1.0,2.0,6
real,kl5n,0,5.0,5.0,4
real,Jor_,0,6.0,6.0,4
real,3rT[dOks,0,0.0,0.0,8
real,b5nd,0,9.0,10.0,4
real,lur[d,0,0.0,0.0,5
real,gord,0,9.0,9.0,4
real,klap,0,11.0,13.0,4
real,[malg[m,0,0.0,0.0,7
real,s7mAk,0,0.0,0.0,5
real,s[k4m,0,0.0,1.0,5
real,fl2m>S,0,0.0,0.0,6
real,pr8[s,0,0.0,0.0,5
real,f1k[l,0,6.0,6.0,5
real,>mj7n,0,0.0,0.0,5
real,l3ft,0,4.0,4.0,4
real,r4mp[l,0,1.0,2.0,6
real,sk8ndr[l,0,0.0,0.0,8
real,anv[l,0,0.0,0.0,5
real,v1l[n,0,1.0,2.0,5
real,borb>kj&,0,0.0,0.0,8
real,skw3l,0,3.0,3.0,5
real,pr[m6t,0,0.0,0.0,6
real,koNk},0,1.0,1.0,5
real,h0[kEn,0,0.0,0.0,6
real,k3r[s,0,2.0,4.0,5
real,kret,0,7.0,8.0,4
real,sp7l,0,9.0,9.0,4
real,kw1r,0,10.0,10.0,4
real,b[s3lt,0,0.0,1.0,6
real,l1nt[l,0,1.0,2.0,6
real,dirAm,0,0.0,0.0,5
real,2st},0,1.0,1.0,4
real,fild,0,5.0,5.0,4
real,sniz,0,2.0,2.0,4
real,sk4f[l,0,1.0,1.0,6
real,kraNk,0,3.0,5.0,5
real,magm[,0,0.0,0.0,5
real,kam[l,0,4.0,4.0,5
real,kw3rt],0,1.0,2.0,6
real,v>kj7n[,0,0.0,0.0,7
real,born[k[l,0,0.0,0.0,8
real,flok,0,10.0,10.0,4
real,an@ks,0,0.0,0.0,5
real,_0m[n,0,1.0,2.0,5
real,spanj[l,0,0.0,0.0,7
real,kr^Se,0,0.0,0.0,5
real,alk[l+,0,0.0,0.0,6
real,akm<,0,1.0,1.0,4
real,skw0[l,0,0.0,0.0,6
real,gr5nd,0,2.0,3.0,5
real,6z^n,0,0.0,0.0,4
real,skrab[l,0,1.0,2.0,7
real,kAntin,0,0.0,0.0,6
real,pol<,0,4.0,5.0,4
real,sl2_,0,3.0,3.0,4
real,sk1d,0,7.0,8.0,4
real,gam[,0,1.0,3.0,4
real,m5[n,0,1.0,1.0,4
real,gar>s[n,0,0.0,0.0,7
real,k3rn<[,0,0.0,0.0,6
real,s1tr[n,0,1.0,1.0,6
real,sl4g,0,10.0,10.0,4
real,v}and[,0,0.0,0.0,6
real,v}m7T,0,0.0,0.0,5
real,s4m[nz,0,0.0,1.0,6
real,pl5[sIn,0,0.0,0.0,7
real,s2v},0,3.0,3.0,4
real,d2b>t,0,0.0,0.0,5
real,p1kn!k,0,0.0,0.0,6
real,gr4_,0,4.0,4.0,4
real,J4k[l,0,3.0,3.0,5
real,sp1nd[l,0,1.0,1.0,7
real,sovr[n,0,0.0,0.0,6
real,p6[t,0,2.0,2.0,4
real,t2r<,0,9.0,9.0,4
real,m4zl>m,0,0.0,0.0,6
real,dr3l,0,8.0,8.0,4
real,t4n[l,0,2.0,2.0,5
real,pud>N,0,0.0,0.0,5
real,s1st}n,0,0.0,0.0,6
real,as@t,0,0.0,0.0,4
real,snuk},0,0.0,1.0,5
real,d7[l,0,3.0,4.0,4
real,st3r,0,8.0,10.0,4
real,br1sk[t,0,0.0,1.0,7
real,dr4b,0,6.0,6.0,4
real,d1_[t,0,0.0,0.0,5
real,pro_@kt,0,0.0,0.0,7
real,sl7T,0,3.0,3.0,4
real,pr3N,0,2.0,2.0,4
real,ANg3r[,0,0.0,0.0,6
real,matr[s,0,1.0,1.0,6
real,str3,0,2.0,3.0,4
real,kr1p[l,0,0.0,1.0,6
real,_2t>s[n,0,0.0,0.0,7
real,plot,0,8.0,8.0,4
real,tram,0,6.0,7.0,4
real,f0st,0,5.0,5.0,4
real,p5TOn,0,1.0,1.0,5
real,m6ld,0,8.0,8.0,4
