word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
die	679248	-3.47	30	39	825	166	45	45	45	5408	553	14	14	14	3
van	272296	-3.74	38	44	1476	137	22	22	22	1256	305	7	7	7	3
en	230041	-3.23	46	66	585	81	81	81	81	1256	325	325	325	325	2
in	228013	-2.96	48	65	502	306	306	306	306	1256	169	169	169	169	2
n	182206	-4.3	0	25	545	545	545	545	545	1256	1256	1256	1256	1256	1
is	176319	-3.49	54	72	502	31	31	31	31	2738	219	219	219	219	2
het	161788	-4.59	40	43	853	263	5	5	5	923	128	2	2	2	3
wat	80187	-3.71	38	44	714	183	41	41	41	923	140	4	4	4	3
met	62000	-3.83	38	45	1080	215	44	44	44	923	128	4	4	4	3
word	61868	-4.9	22	26	714	90	13	4	4	1030	111	52	4	4	4
op	60425	-2.73	50	61	1071	220	220	220	220	336	88	88	88	88	2
as	59909	-3.29	60	79	1237	52	52	52	52	2738	159	159	159	159	2
was	55631	-4.15	44	48	714	183	4	4	4	2738	159	6	6	6	3
sy	54613	-4.04	50	55	2017	14	14	14	14	288	6	6	6	6	2
te	50368	-2.47	54	67	896	222	222	222	222	5408	749	749	749	749	2
om	43003	-3.21	42	55	1071	65	65	65	65	490	111	111	111	111	2
vir	42613	-4.83	22	25	1476	102	8	8	8	1625	17	1	1	1	3
nie	42513	-3.81	24	34	545	59	17	17	17	5408	553	35	35	35	3
hy	41631	-4.01	34	38	853	5	5	5	5	288	5	5	5	5	2
deur	41415	-4.72	6	8	825	178	33	29	29	1625	126	49	9	9	4
dit	40749	-4.86	30	32	825	166	1	1	1	923	141	1	1	1	3
se	39153	-2.25	68	84	2017	238	238	238	238	5408	785	785	785	785	2
aan	36933	-3.34	32	40	1237	258	224	224	224	1256	305	126	126	126	3
tot	31320	-4.69	30	32	896	186	6	6	6	923	51	2	2	2	3
na	31091	-2.92	64	72	545	165	165	165	165	719	93	93	93	93	2
ook	30920	-4.4	30	34	1071	178	2	2	2	854	46	18	18	18	3
hulle	25357	-5.13	8	10	853	78	17	3	2	5408	386	106	4	1	5
of	25057	-3.76	34	39	1071	12	12	12	12	321	59	59	59	59	2
dat	23435	-4.15	48	51	825	125	7	7	7	923	140	8	8	8	3
jaar	21195	-4.85	22	23	232	74	8	6	6	1625	168	122	6	6	4
by	18835	-3.38	38	46	1597	50	50	50	50	288	16	16	16	16	2
uit	18272	-3.11	14	21	300	211	207	207	207	923	141	40	40	40	3
daar	17267	-4.44	24	27	825	125	37	31	31	1625	168	122	3	3	4
eerste	16811	-5.64	2	3	585	59	17	8	6	5408	749	184	14	8	6
de	16689	-2.48	62	75	825	178	178	178	178	5408	804	804	804	804	2
soos	16583	-5.19	10	12	2017	169	8	1	1	2738	87	13	1	1	4
ander	16471	-4.43	8	10	1237	105	25	12	11	1625	1156	101	36	10	5
suid	16457	-4.49	6	9	2017	118	35	22	22	1030	173	5	1	1	4
maar	16276	-4.13	32	35	1080	345	33	4	4	1625	168	122	1	1	4
een	15461	-4.17	32	46	585	59	30	30	30	1256	325	55	55	55	3
kan	14959	-3.59	40	47	1189	231	33	33	33	1256	305	2	2	2	3
hierdie	14275	-7.69	0	0	853	76	20	20	2	5408	553	14	2	1	7
oor	13957	-3.51	24	33	1071	178	139	139	139	1625	113	44	44	44	3
groot	13842	-5.38	2	4	1534	199	92	29	28	923	51	23	3	3	5
gebruik	13753	-6.3	0	1	1534	1018	76	18	7	854	159	16	12	9	7
meer	12671	-4.01	32	37	1080	215	35	10	10	1625	1156	306	10	10	4
twee	12136	-5.37	4	5	896	31	18	15	15	5408	86	5	2	2	4
onder	11969	-4.05	6	11	1071	319	99	97	97	1625	1156	101	36	13	5
tussen	11760	-6.8	0	0	896	56	10	8	8	1256	325	15	6	2	6
afrika	11695	-7.06	2	3	1237	174	26	24	18	719	44	27	3	2	6
teen	11315	-4.8	22	27	896	222	31	24	24	1256	325	55	15	15	4
begin	10858	-5.66	2	2	1597	682	26	6	6	1256	169	6	1	1	5
toe	10784	-4.39	28	34	896	186	94	94	94	5408	23	9	9	9	3
baie	10400	-5.58	8	11	1597	195	6	2	2	5408	553	11	1	1	4
s	9460	-4.3	0	29	2017	2017	2017	2017	2017	2738	2738	2738	2738	2738	1
bekend	9152	-5.7	0	1	1597	682	39	14	11	1030	310	68	10	6	6
hul	9144	-4.16	18	22	853	78	17	17	17	960	22	4	4	4	3
eeu	9089	-5.85	10	13	585	59	5	5	5	164	10	5	5	5	3
stad	8948	-3.98	12	15	2017	443	153	41	41	1030	107	30	30	30	4
waar	8255	-4.15	24	27	714	183	62	56	56	1625	168	122	8	8	4
voor	7984	-3.8	14	17	1476	308	159	156	156	1625	113	44	5	5	4
nuwe	7932	-4.79	6	7	545	26	5	5	5	5408	178	6	2	2	4
haar	7754	-4.72	30	31	853	201	11	3	3	1625	168	122	1	1	4
dié	7549	-5.21	16	17	825	166	1	1	1	22	3	1	1	1	3
hom	7548	-4.08	42	47	853	218	10	10	10	490	111	2	2	2	3
tydens	7349	-6.61	0	0	896	22	19	4	1	2738	207	104	9	2	6
volgens	7329	-6.38	0	0	1476	308	77	8	5	2738	207	104	9	6	7
sou	7299	-4.12	38	45	2017	169	16	16	16	164	84	1	1	1	3
gehad	7297	-5.86	0	0	1534	1018	32	9	1	1030	107	4	2	2	5
later	7295	-5.27	8	11	706	181	13	7	4	1625	1156	159	22	1	5
nog	7199	-4.62	30	33	545	123	4	4	4	1563	58	1	1	1	3
egter	7187	-5.61	2	5	585	17	4	3	1	1625	1156	159	20	6	5
afrikaanse	7143	-9.43	0	0	1237	174	26	24	18	5408	785	91	47	35	10
c	7073	-4.3	0	22	428	428	428	428	428	65	65	65	65	65	1
net	6945	-4.25	40	44	545	118	8	8	8	923	128	10	10	10	3
deel	6833	-5.04	24	26	825	178	25	17	17	960	440	72	24	24	4
al	6761	-2.8	56	74	1237	132	132	132	132	960	276	276	276	276	2
naam	6661	-4.9	12	12	545	165	20	9	9	490	100	37	14	14	4
gebied	6597	-5.8	2	5	1534	1018	76	4	2	1030	117	51	38	33	6
tweede	6338	-6.59	0	0	896	31	18	15	5	5408	804	120	1	1	6
grootste	6256	-7.31	0	3	1534	199	92	29	28	5408	749	184	7	2	8
ná	6217	-4.52	28	29	545	1	1	1	1	4	3	3	3	3	2
sowat	6199	-6.24	2	2	2017	169	10	1	1	923	140	4	1	1	5
bestaan	6187	-5.88	6	6	1597	682	132	34	7	1256	305	126	30	25	7
kerk	6165	-4.66	14	16	1189	127	59	36	36	854	102	68	14	14	4
drie	5983	-4.45	4	7	825	97	24	16	16	5408	553	33	1	1	4
gemeente	5981	-7.06	0	0	1534	1018	45	19	13	5408	749	105	54	5	8
land	5867	-3.78	22	25	706	181	86	49	49	1030	310	161	100	100	4
terwyl	5615	-7.45	0	0	896	222	63	1	1	960	16	1	1	1	6
veral	5543	-4.9	4	6	1476	705	612	19	2	960	276	8	4	1	5
kom	5464	-3.15	38	45	1189	358	66	66	66	490	111	36	36	36	3
mense	5449	-4.54	4	5	1080	215	29	9	4	5408	785	91	26	5	5
so	5446	-3.56	62	73	2017	169	169	169	169	304	14	14	14	14	2
kon	5420	-3.18	38	41	1189	358	107	107	107	1256	276	7	7	7	3
nasionale	5319	-8.87	0	0	545	165	20	12	9	5408	386	112	23	8	9
ste	5304	-2.59	10	17	2017	443	105	105	105	5408	749	184	184	184	3
maak	5279	-4.56	26	28	1080	345	33	1	1	854	106	59	28	28	4
geword	5271	-6.13	4	4	1534	1018	69	12	2	1030	111	52	4	2	6
noord	5254	-4.91	8	12	545	123	42	27	21	1030	111	52	24	1	5
staan	5162	-4.45	14	14	2017	443	153	36	3	1256	305	126	30	25	5
klein	5142	-5.77	2	4	1189	123	42	20	18	1256	169	51	7	2	5
bevolking	5127	-6.86	0	0	1597	682	45	16	10	1563	866	780	66	5	9
duitse	5108	-5.52	0	2	825	61	29	7	7	5408	785	26	5	3	6
laat	5085	-4.7	16	18	706	181	15	2	2	923	140	75	20	20	4
vanaf	5051	-7.02	0	0	1476	137	22	2	1	321	44	1	1	1	5
weer	4965	-4.0	32	37	714	235	42	24	24	1625	1156	306	10	10	4
saam	4955	-4.76	22	24	2017	216	33	25	25	490	100	37	11	11	4
sal	4888	-3.74	46	56	2017	216	21	21	21	960	276	3	3	3	3
