word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
dr	126331	-3.41	62	82	992	139	139	139	139	1775	18	18	18	18	2
isch	95419	-3.67	8	17	493	48	8	8	8	926	800	321	244	244	4
d	92482	-4.3	0	25	992	992	992	992	992	642	642	642	642	642	1
de	77980	-2.68	76	91	992	198	198	198	198	4739	304	304	304	304	2
und	71953	-3.03	30	41	726	206	70	70	70	642	308	35	35	35	3
vo	62235	-3.45	54	60	876	200	200	200	200	377	9	9	9	9	2
im	54904	-3.85	68	83	493	16	16	16	16	511	42	42	42	42	2
het	51630	-3.99	56	71	846	217	8	8	8	3044	520	8	8	8	3
s	45625	-4.3	0	35	2001	2001	2001	2001	2001	1159	1159	1159	1159	1159	1
e	43520	-4.3	0	39	879	879	879	879	879	4739	4739	4739	4739	4739	1
in	41452	-2.99	52	76	493	167	167	167	167	1041	161	161	161	161	2
un	36840	-3.47	42	59	726	206	206	206	206	1041	23	23	23	23	2
wo	31843	-4.26	54	62	872	91	91	91	91	377	2	2	2	2	2
vu	31664	-3.76	56	62	876	15	15	15	15	223	5	5	5	5	2
em	30248	-3.4	70	84	879	28	28	28	28	511	122	122	122	122	2
si	29394	-3.44	74	92	2001	194	194	194	194	1302	26	26	26	26	2
vom	28696	-4.68	28	31	876	200	4	4	4	511	39	1	1	1	3
mit	28226	-3.3	38	42	1092	201	67	67	67	3044	207	13	13	13	3
z	27359	-4.3	0	10	519	519	519	519	519	228	228	228	228	228	1
er	22203	-2.41	62	82	879	261	261	261	261	1775	1286	1286	1286	1286	2
uf	22084	-3.18	26	39	726	135	135	135	135	233	23	23	23	23	2
die	21977	-3.61	30	39	992	164	40	40	40	4739	204	12	12	12	3
au	21200	-3.12	76	92	1151	71	71	71	71	223	105	105	105	105	2
zum	18576	-4.14	30	34	519	84	5	5	5	511	133	1	1	1	3
sich	16554	-4.16	14	19	2001	194	12	12	12	926	800	173	1	1	4
vum	16171	-4.34	22	25	876	15	3	3	3	511	133	1	1	1	3
am	16164	-3.64	78	93	1151	47	47	47	47	511	35	35	35	35	2
gsi	16001	-5.02	14	20	1540	190	8	8	8	1302	26	2	2	2	3
worde	14612	-5.1	20	25	872	91	20	7	2	4739	304	21	7	1	5
as	13195	-3.54	72	91	1151	45	45	45	45	1159	58	58	58	58	2
bis	12983	-3.77	50	56	1584	172	37	37	37	1159	182	7	7	7	3
sin	12497	-3.98	54	70	2001	194	39	39	39	1041	161	8	8	8	3
en	11829	-2.9	54	76	879	144	144	144	144	1041	235	235	235	235	2
i	11680	-4.3	0	35	493	493	493	493	493	1302	1302	1302	1302	1302	1
us	11669	-2.68	52	74	726	138	138	138	138	1159	196	196	196	196	2
aber	11563	-3.84	26	30	1151	143	6	2	2	1775	1286	61	6	6	4
bi	11291	-3.43	60	74	1584	172	172	172	172	1302	17	17	17	17	2
di	10811	-3.13	70	86	992	164	164	164	164	1302	54	54	54	54	2
an	10494	-3.31	62	86	1151	118	118	118	118	1041	125	125	125	125	2
für	10406	-4.21	24	29	805	45	19	19	19	1775	14	7	7	7	3
oder	9496	-4.6	6	13	379	12	4	1	1	1775	1286	138	2	2	4
no	9425	-2.96	64	75	626	160	160	160	160	377	47	47	47	47	2
wird	8920	-5.2	20	22	872	228	36	4	4	642	51	1	1	1	4
a	8905	-4.3	0	38	1151	1151	1151	1151	1151	768	768	768	768	768	1
es	8720	-3.53	64	77	879	38	38	38	38	1159	137	137	137	137	2
johr	8516	-4.52	14	18	259	63	22	15	15	1775	48	17	10	10	4
der	8480	-2.98	50	61	992	198	39	39	39	1775	1286	138	138	138	3
als	8434	-4.08	30	37	1151	195	6	6	6	1159	49	6	6	6	3
ghert	7966	-5.41	12	16	1540	55	17	4	1	3044	390	222	5	3	5
wore	7881	-4.7	28	32	872	91	20	2	2	4739	384	24	2	2	4
wie	7734	-3.99	32	41	872	228	14	14	14	4739	204	4	4	4	3
noch	7489	-3.91	24	28	626	160	30	30	30	926	800	42	5	5	4
vun	7474	-5.64	22	24	876	15	2	2	2	1041	23	1	1	1	3
kanton	7472	-6.31	10	15	726	173	37	19	15	1041	263	21	7	5	6
zu	7048	-3.78	46	55	519	84	84	84	84	223	5	5	5	5	2
