word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ነው	6555	-4.1	56	65	138	2	2	2	2	1171	35	35	35	35	2
በ	3751	-4.3	0	28	1864	1864	1864	1864	1864	31	31	31	31	31	1
ዓ	3524	-4.33	0	6	48	48	48	48	48	7	7	7	7	7	1
ም	3497	-4.31	0	37	166	166	166	166	166	813	813	813	813	813	1
አ	3141	-4.3	0	48	1514	1514	1514	1514	1514	2	2	2	2	2	1
ላይ	3011	-3.94	72	82	72	6	6	6	6	214	21	21	21	21	2
እ	2841	-4.3	0	23	780	780	780	780	780	7	7	7	7	7	1
ኤ	2712	-4.31	0	12	108	108	108	108	108	10	10	10	10	10	1
ነበር	2574	-4.32	14	18	138	16	3	3	3	857	51	7	7	7	3
እና	2565	-4.48	94	103	780	23	23	23	23	582	1	1	1	1	2
ቀን	2429	-3.92	148	161	148	9	9	9	9	1907	6	6	6	6	2
ከ	2229	-4.3	0	17	794	794	794	794	794	11	11	11	11	11	1
ሲሆን	2181	-4.95	20	22	252	2	1	1	1	1907	29	1	1	1	3
ውስጥ	1929	-4.55	10	14	95	8	3	3	3	137	13	2	2	2	3
ይህ	1768	-4.19	36	43	496	9	9	9	9	104	2	2	2	2	2
በኋላ	1724	-4.61	22	25	1864	6	2	2	2	160	6	1	1	1	3
ግን	1704	-3.8	142	154	159	18	18	18	18	1907	7	7	7	7	2
ወይም	1600	-4.8	16	18	267	12	1	1	1	813	11	1	1	1	3
እስከ	1524	-4.72	16	16	780	50	9	9	9	11	2	1	1	1	3
ወደ	1431	-4.22	42	54	267	27	27	27	27	52	2	2	2	2	2
ዘመን	1415	-4.55	34	42	127	26	3	3	3	1907	28	4	4	4	3
እንደ	1300	-4.04	26	30	780	337	99	99	99	52	3	1	1	1	3
ድረስ	1221	-4.45	10	14	119	6	2	2	2	648	17	6	6	6	3
ደግሞ	1206	-5.11	8	11	159	9	2	2	2	34	2	1	1	1	3
ጊዜ	1141	-3.84	10	18	23	9	9	9	9	17	10	10	10	10	2
ከተማ	1122	-4.18	8	17	794	60	17	17	17	123	5	4	4	4	3
በዘመነ	1088	-5.08	10	11	1864	18	8	2	2	81	11	5	1	1	4
ማለት	1067	-4.02	28	34	316	7	3	3	3	1750	36	5	5	5	3
በኢትዮጵያ	977	-4.31	12	16	1864	23	9	9	7	415	9	9	9	9	6
ንጉሥ	972	-4.24	12	17	65	20	3	3	3	13	5	5	5	5	3
አንድ	933	-3.45	80	90	1514	96	10	10	10	387	81	5	5	5	3
ዘመነ	882	-4.48	24	28	127	26	1	1	1	81	11	5	5	5	3
የ	857	-4.3	0	19	2561	2561	2561	2561	2561	32	32	32	32	32	1
ጋር	849	-4.5	108	113	55	2	2	2	2	857	5	5	5	5	2
ስም	826	-3.74	102	110	304	9	9	9	9	813	9	9	9	9	2
ዋና	782	-4.18	88	95	64	4	4	4	4	582	7	7	7	7	2
አቆጣጠር	766	-5.74	8	8	1514	2	1	1	1	857	29	7	6	1	5
የቀን	736	-4.96	32	33	2561	28	1	1	1	1907	6	1	1	1	3
ኛው	736	-3.98	28	47	7	4	4	4	4	1171	99	99	99	99	2
ልጅ	732	-4.19	42	49	85	6	6	6	6	63	4	4	4	4	2
ከዚህ	732	-4.29	22	25	794	10	2	2	2	104	20	2	2	2	3
በዚህ	690	-3.91	22	29	1864	16	6	6	6	104	20	1	1	1	3
