word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	240447	-2.75	52	62	1101	520	520	520	520	1051	75	75	75	75	2
a	203626	-4.3	0	32	1965	1965	1965	1965	1965	4407	4407	4407	4407	4407	1
d	174087	-4.3	0	16	1101	1101	1101	1101	1101	179	179	179	179	179	1
en	149665	-3.1	46	61	1270	156	156	156	156	2127	252	252	252	252	2
o	137526	-4.3	0	22	440	440	440	440	440	2997	2997	2997	2997	2997	1
y	106997	-4.3	0	9	53	53	53	53	53	166	166	166	166	166	1
ye	59648	-3.79	40	45	53	20	20	20	20	1051	25	25	25	25	2
que	58144	-3.81	10	12	129	120	31	31	31	1051	41	30	30	30	3
una	53891	-3.98	30	37	238	69	6	6	6	4407	418	17	17	17	3
os	48845	-2.99	40	53	440	28	28	28	28	4594	1228	1228	1228	1228	2
con	41103	-2.63	32	37	2692	911	449	449	449	2127	305	2	2	2	3
l	39507	-4.3	0	15	714	714	714	714	714	628	628	628	628	628	1
un	37497	-3.83	36	49	238	69	69	69	69	2127	17	17	17	17	2
se	35220	-2.93	66	78	1289	277	277	277	277	1051	55	55	55	55	2
la	33798	-2.84	50	64	714	152	152	152	152	4407	289	289	289	289	2
as	29851	-2.42	52	72	1965	112	112	112	112	4594	1333	1333	1333	1333	2
por	25928	-3.5	24	31	1776	261	42	42	42	1118	169	2	2	2	3
suya	24856	-4.92	10	11	1289	226	4	2	2	4407	87	4	1	1	4
lo	24194	-2.89	40	46	714	98	98	98	98	2997	198	198	198	198	2
población	22252	-6.44	0	0	1776	261	24	19	16	2127	673	515	414	275	9
km²	20432	-4.94	0	2	107	2	1	1	1	2	2	1	1	1	3
como	18381	-4.1	22	24	2692	911	180	3	3	2997	152	9	2	2	4
u	16358	-4.3	0	22	238	238	238	238	238	244	244	244	244	244	1
habitants	12439	-8.19	0	0	438	119	41	28	22	4594	131	117	50	7	9
s	11750	-4.3	0	28	1289	1289	1289	1289	1289	4594	4594	4594	4594	4594	1
provincia	11690	-7.44	0	0	1776	499	207	24	13	4407	514	139	104	2	9
superficie	11113	-10.51	0	0	1289	226	32	19	19	1051	25	3	1	1	10
ta	10758	-2.69	54	62	949	126	126	126	126	4407	676	676	676	676	2
suyo	10180	-5.36	6	7	1289	226	4	2	2	2997	54	1	1	1	4
densidat	9837	-7.62	0	0	1101	520	44	5	1	822	174	118	104	10	8
no	9743	-2.7	44	55	460	121	121	121	121	2997	206	206	206	206	2
hab	9521	-5.33	14	17	438	119	41	41	41	22	3	2	2	2	3
tamién	8910	-7.29	2	4	949	126	16	4	1	2127	48	12	2	1	6
los	8736	-3.21	28	37	714	98	7	7	7	4594	1228	100	100	100	3
municipio	8550	-8.46	0	0	1328	136	17	9	7	2997	294	10	5	5	9
son	8482	-3.66	42	47	1289	177	14	14	14	2127	305	31	31	31	3
ha	8338	-3.17	42	54	438	119	119	119	119	4407	41	41	41	41	2
entre	7722	-5.53	4	6	1270	156	46	20	11	1051	158	18	4	3	5
estió	7664	-5.31	6	8	1270	497	196	21	2	398	130	17	3	1	5
aragonés	7360	-8.34	0	0	1965	278	44	16	11	4594	115	26	13	4	8
dende	7358	-5.41	8	10	1101	520	44	2	1	1051	75	23	13	1	5
francés	7011	-7.91	6	6	852	113	54	33	22	4594	115	3	1	1	7
ciudat	6996	-7.84	4	5	2692	106	8	7	7	822	174	118	1	1	6
comarca	6707	-6.27	0	2	2692	911	180	11	5	4407	367	16	8	4	7
i	6416	-4.3	0	34	653	653	653	653	653	251	251	251	251	251	1
capital	6258	-7.01	2	4	2692	703	47	17	12	628	344	55	7	4	7
parte	6144	-4.79	12	16	1776	384	161	58	12	1051	145	23	8	6	5
situato	6084	-6.98	2	3	1289	206	17	13	11	2997	752	325	3	2	7
las	5994	-3.25	40	47	714	152	7	7	7	4594	1333	121	121	121	3
aragón	5903	-6.77	8	9	1965	278	44	16	2	2127	673	6	4	2	6
dica	5778	-3.7	24	26	1101	290	21	1	1	4407	367	240	10	10	4
yera	5761	-5.1	18	22	53	20	4	2	2	4407	483	171	5	5	4
mar	5533	-3.05	40	52	1328	453	126	126	126	1118	526	20	20	20	3
sobre	5396	-5.71	6	6	1289	177	26	16	10	1051	158	27	4	1	5
bi	5282	-4.2	50	59	911	93	93	93	93	251	5	5	5	5	2
dimpués	5251	-7.42	6	6	1101	290	15	3	3	4594	115	21	3	2	7
mas	5155	-2.89	46	55	1328	453	35	35	35	4594	1333	52	52	52	3
