word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
في	1477100	-3.29	74	91	377	56	56	56	56	1410	57	57	57	57	2
من	1005228	-3.13	68	96	1390	106	106	106	106	1372	46	46	46	46	2
على	457710	-4.17	24	29	391	41	1	1	1	314	47	8	8	8	3
إلى	363796	-4.21	20	23	262	25	1	1	1	314	47	2	2	2	3
عام	243121	-3.91	30	47	391	59	10	10	10	923	213	8	8	8	3
أن	214857	-3.51	58	78	786	69	69	69	69	1372	13	13	13	13	2
و	201103	-4.3	0	41	2066	2066	2066	2066	2066	202	202	202	202	202	1
التي	175557	-4.14	22	27	6649	6049	417	5	5	1410	42	2	2	2	4
عن	159584	-4.22	56	72	391	33	33	33	33	1372	3	3	3	3	2
أو	141793	-4.23	64	74	786	72	72	72	72	202	2	2	2	2	2
مع	138249	-3.28	44	57	1390	97	97	97	97	455	33	33	33	33	2
م	127706	-4.3	0	37	1390	1390	1390	1390	1390	923	923	923	923	923	1
ا	127376	-4.3	0	35	6649	6649	6649	6649	6649	1406	1406	1406	1406	1406	1
كان	124366	-3.54	50	63	349	65	9	9	9	1372	333	25	25	25	3
هو	117193	-4.31	58	69	161	23	23	23	23	202	5	5	5	5	2
بعد	110174	-4.28	32	46	1196	39	8	8	8	872	47	9	9	9	3
الذي	109877	-4.32	20	27	6649	6049	30	3	3	1410	6	2	2	2	4
هي	109245	-3.99	66	74	161	19	19	19	19	1410	10	10	10	10	2
هذه	105400	-4.44	6	11	161	6	1	1	1	711	13	7	7	7	3
بن	100854	-3.6	66	86	1196	51	51	51	51	1372	14	14	14	14	2
ما	97435	-3.15	54	80	1390	82	82	82	82	1406	123	123	123	123	2
حيث	96574	-4.98	12	17	344	25	1	1	1	122	16	3	3	3	3
بين	96530	-3.74	66	82	1196	64	9	9	9	1372	501	29	29	29	3
هذا	94186	-4.38	18	27	161	6	2	2	2	1406	25	7	7	7	3
سنة	93159	-3.87	24	31	405	19	1	1	1	3971	123	10	10	10	3
وقد	85903	-4.58	34	44	2066	60	6	6	6	872	39	1	1	1	3
ذلك	82407	-5.3	12	18	44	1	1	1	1	219	43	8	8	8	3
كما	78832	-4.61	30	37	349	19	3	3	3	1406	123	4	4	4	3
وفي	75682	-4.06	32	39	2066	36	6	6	6	1410	57	8	8	8	3
كانت	70779	-4.91	12	19	349	65	9	4	4	1529	39	7	3	3	4
تم	69123	-3.77	54	72	1017	41	41	41	41	923	19	19	19	19	2
لا	65938	-3.58	52	75	1060	61	61	61	61	1406	86	86	86	86	2
وهو	65813	-5.48	20	23	2066	23	2	2	2	202	5	1	1	1	3
قبل	62658	-4.13	22	36	293	23	7	7	7	1186	43	12	12	12	3
حتى	61370	-5.5	12	16	344	4	1	1	1	314	10	2	2	2	3
ثم	60127	-4.31	42	47	62	10	10	10	10	923	4	4	4	4	2
مدينة	58280	-5.85	6	11	1390	46	9	4	1	3971	123	21	9	9	5
عدد	57761	-4.18	38	46	391	24	4	4	4	872	30	9	9	9	3
خلال	54364	-6.28	20	24	171	28	9	3	3	1186	225	29	2	2	4
كل	54322	-3.29	60	78	349	39	39	39	39	1186	39	39	39	39	2
قد	52242	-3.54	56	70	293	25	25	25	25	872	39	39	39	39	2
عبد	52143	-4.83	22	33	391	21	7	7	7	872	17	6	6	6	3
له	51329	-3.75	52	62	1060	11	11	11	11	711	74	74	74	74	2
وهي	49963	-4.95	32	36	2066	23	1	1	1	1410	10	1	1	1	3
لم	48537	-3.83	70	91	1060	66	66	66	66	923	71	71	71	71	2
مثل	47395	-3.83	10	24	1390	18	7	7	7	1186	24	21	21	21	3
وكان	47339	-4.63	10	16	2066	44	8	4	4	1372	333	25	1	1	4
محمد	46437	-5.22	6	11	1390	73	6	1	1	872	26	9	3	3	4
بعض	44029	-4.62	8	14	1196	39	5	5	5	147	6	6	6	6	3
الله	43789	-4.38	6	15	6649	6049	85	5	5	711	74	5	4	4	4
ومن	41686	-4.42	42	51	2066	108	13	13	13	1372	46	1	1	1	3
أكثر	40534	-4.52	8	14	786	19	2	2	2	1311	32	12	7	7	4
أيضا	40525	-5.71	6	9	786	24	2	1	1	1406	9	3	2	2	4
غير	40448	-3.95	18	29	101	9	5	5	5	1311	230	18	18	18	3
فيها	40252	-5.04	10	14	377	56	4	1	1	1406	406	16	2	2	4
نسمة	38641	-6.15	12	13	345	21	2	1	1	3971	201	8	1	1	4
ي	37340	-4.3	0	38	588	588	588	588	588	1410	1410	1410	1410	1410	1
أي	36772	-3.79	72	90	786	24	24	24	24	1410	6	6	6	6	2
أول	36543	-3.55	54	67	786	72	15	15	15	1186	151	7	7	7	3
العالم	36327	-5.64	8	16	6649	6049	289	43	8	923	71	14	9	5	6
المتحدة	36297	-5.73	6	6	6649	6049	1179	89	7	3971	230	15	1	1	7
العربية	36158	-5.22	16	20	6649	6049	289	26	7	3971	1372	95	22	5	7
والتي	35891	-5.45	6	10	2066	625	514	45	2	1410	42	2	2	1	5
أنه	35624	-3.74	26	37	786	69	7	7	7	711	51	7	7	7	3
المدينة	35027	-5.92	4	8	6649	6049	1179	41	6	3971	123	21	9	9	7
الأول	34585	-3.92	26	32	6649	6049	451	40	11	1186	151	7	3	1	5
بها	34316	-3.92	16	25	1196	15	2	2	2	1406	406	18	18	18	3
منذ	34064	-4.74	14	18	1390	106	1	1	1	65	3	3	3	3	3
علي	33966	-4.18	28	41	391	41	10	10	10	1410	139	5	5	5	3
هـ	33879	-4.26	30	34	161	2	2	2	2	16	2	2	2	2	2
العام	33152	-4.06	24	33	6649	6049	289	43	9	923	213	8	3	1	5
منها	32461	-4.12	16	26	1390	106	7	1	1	1406	406	39	4	4	4
يمكن	31742	-5.51	10	17	588	29	6	6	6	1372	33	12	4	4	4
ولكن	31126	-6.06	8	11	2066	61	6	4	4	1372	33	2	1	1	4
نادي	30967	-5.31	16	24	345	54	10	4	4	1410	127	35	7	7	4
أحد	30793	-4.18	30	39	786	31	10	10	10	872	24	6	6	6	3
الأولى	30468	-4.99	8	9	6649	6049	451	40	11	314	47	13	2	1	6
أخرى	30318	-4.66	12	16	786	30	5	1	1	314	42	8	5	5	4
ان	30239	-2.72	80	106	6649	105	105	105	105	1372	333	333	333	333	2
عند	30123	-4.3	44	50	391	33	7	7	7	872	36	3	3	3	3
