word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
و	72330	-4.3	0	28	857	857	857	857	857	431	431	431	431	431	1
فى	38701	-4.31	62	70	472	1	1	1	1	1456	56	56	56	56	2
من	25771	-3.18	60	86	1493	96	96	96	96	1477	40	40	40	40	2
على	13959	-3.94	28	41	466	46	1	1	1	1456	173	9	9	9	3
اللى	12261	-4.09	28	37	6931	5366	89	1	1	1456	173	8	4	4	4
في	10113	-3.73	64	77	472	63	63	63	63	435	17	17	17	17	2
سنة	9635	-3.95	10	14	496	23	1	1	1	1706	62	8	8	8	3
كان	8869	-3.51	42	59	453	90	12	12	12	1477	398	25	25	25	3
مصر	8110	-3.55	30	42	1493	40	12	12	12	1238	48	5	5	5	3
ما	6065	-3.07	52	76	1493	166	166	166	166	1638	72	72	72	72	2
بعد	5504	-4.16	28	41	1740	52	12	12	12	729	34	8	8	8	3
هو	4688	-4.25	56	68	198	29	29	29	29	431	6	6	6	6	2
كانت	4297	-4.78	18	25	453	90	12	3	3	1389	54	12	4	4	4
عن	4270	-4.2	46	57	466	25	25	25	25	1477	3	3	3	3	2
ان	3939	-2.58	64	93	6931	168	168	168	168	1477	398	398	398	398	2
مع	3579	-3.14	32	44	1493	109	109	109	109	397	38	38	38	38	2
لكن	3294	-4.69	34	40	985	24	6	6	6	1477	23	2	2	2	3
فيه	3117	-3.33	46	58	472	63	3	3	3	2896	845	41	41	41	3
فيلم	3041	-6.26	6	12	472	63	18	4	4	1021	68	8	6	6	4
دى	2975	-4.31	50	65	309	1	1	1	1	1456	145	145	145	145	2
يوم	2810	-4.19	16	25	553	66	9	9	9	1021	79	12	12	12	3
فيها	2740	-4.8	14	16	472	63	3	1	1	1638	493	28	2	2	4
عشان	2672	-5.73	8	12	466	16	3	2	2	1477	398	6	3	3	4
انه	2540	-3.69	34	45	6931	168	11	11	11	2896	136	33	33	33	3
ده	2426	-3.79	36	50	309	5	5	5	5	2896	136	136	136	136	2
كل	2264	-3.24	54	72	453	48	48	48	48	1015	37	37	37	37	2
بين	2221	-2.97	52	71	1740	459	29	29	29	1477	646	29	29	29	3
محمد	2200	-5.2	6	11	1493	81	5	1	1	729	24	11	4	4	4
أو	2151	-4.59	52	62	432	37	37	37	37	431	1	1	1	1	2
هى	2146	-4.33	56	62	198	1	1	1	1	1456	15	15	15	15	2
زى	2107	-4.32	42	47	95	1	1	1	1	1456	31	31	31	31	2
مش	1967	-3.69	36	42	1493	45	45	45	45	181	10	10	10	10	2
لما	1847	-4.62	36	44	985	66	2	2	2	1638	72	9	9	9	3
الدين	1688	-3.83	32	40	6931	5366	142	35	9	1477	646	39	8	3	5
او	1687	-4.05	68	82	6931	67	67	67	67	431	7	7	7	7	2
كمان	1623	-5.37	16	21	453	18	3	1	1	1477	398	49	3	3	4
م	1603	-4.3	0	32	1493	1493	1493	1493	1493	1021	1021	1021	1021	1021	1
اللي	1587	-4.68	24	31	6931	5366	89	23	23	435	45	6	3	3	4
بن	1549	-3.73	58	76	1740	44	44	44	44	1477	11	11	11	11	2
لحد	1538	-4.85	18	21	985	33	3	3	3	729	18	3	3	3	3
مدينة	1525	-6.05	6	9	1493	48	8	2	1	1706	62	14	6	6	5
سنه	1491	-4.43	24	27	496	23	2	2	2	2896	136	4	4	4	3
قبل	1458	-4.38	20	30	341	26	7	7	7	1015	31	8	8	8	3
كده	1456	-4.51	26	29	453	6	1	1	1	2896	136	4	4	4	3
واحد	1450	-5.48	12	21	857	224	8	4	4	729	18	6	5	5	4
القاهره	1409	-6.26	8	11	6931	5366	194	28	3	2896	239	10	7	4	7
المصريه	1395	-4.97	8	10	6931	5366	874	28	11	2896	845	98	8	2	7
بس	1387	-3.65	36	44	1740	26	26	26	26	528	10	10	10	10	2
عبد	1357	-4.75	16	24	466	26	8	8	8	729	12	7	7	7	3
المصرى	1308	-4.54	6	7	6931	5366	874	28	11	1456	151	9	4	3	6
لغاية	1307	-6.3	2	4	985	17	4	2	1	1706	514	33	3	2	5
الملك	1292	-4.7	8	17	6931	5366	874	30	10	245	35	11	5	3	5
العالم	1274	-5.83	6	14	6931	5366	258	41	10	1021	68	14	8	4	6
السنة	1240	-4.22	16	19	6931	5366	252	15	1	1706	62	8	4	2	5
المصريين	1211	-5.99	0	1	6931	5366	874	28	11	1477	646	150	16	4	8
غير	1190	-3.89	30	40	102	11	6	6	6	1238	229	17	17	17	3
عدد	1169	-4.35	40	46	466	23	4	4	4	729	21	7	7	7	3
الناس	1165	-5.2	12	18	6931	5366	190	33	2	528	66	8	6	4	5
كبير	1145	-5.34	12	18	453	15	5	4	4	1238	229	16	3	3	4
اتولد	1136	-6.36	10	12	6931	314	27	6	4	729	33	12	4	1	5
عليه	1114	-4.35	24	32	466	46	11	3	3	2896	845	74	3	3	4
اسكندريه	1097	-6.88	0	0	6931	198	8	6	6	2896	845	98	8	7	8
القرن	1092	-5.8	12	15	6931	5366	194	21	2	1477	5	3	2	1	5
ابن	1087	-5.2	20	28	6931	49	8	8	8	1477	11	4	4	4	3
ممكن	1051	-5.58	4	7	1493	35	2	2	2	1477	23	6	3	3	4
رئيس	1047	-4.51	0	8	337	13	8	8	8	528	117	8	8	8	4
الدوله	1016	-5.13	14	18	6931	5366	142	25	9	2896	234	37	6	4	6
حوالى	999	-6.35	4	7	399	21	11	6	1	1456	173	45	9	3	5
إن	989	-4.0	46	58	187	19	19	19	19	1477	6	6	6	6	2
بقى	988	-3.61	26	33	1740	33	1	1	1	1456	53	14	14	14	3
اسم	981	-3.8	26	40	6931	198	13	13	13	1021	48	13	13	13	3
يناير	978	-6.7	0	0	553	32	4	1	1	1238	229	18	1	1	5
كبيره	962	-6.12	8	9	453	15	5	4	1	2896	239	42	3	2	5
ضد	962	-4.07	42	45	76	4	4	4	4	729	3	3	3	3	2
السلطان	959	-5.52	6	9	6931	5366	252	33	8	1477	398	13	5	5	7
اسمه	947	-4.36	22	33	6931	198	13	4	4	2896	160	14	5	5	4
له	941	-3.51	48	65	985	11	11	11	11	2896	234	234	234	234	2
ال	935	-2.05	70	108	6931	5366	5366	5366	5366	1015	210	210	210	210	2
اول	929	-3.85	50	59	6931	67	9	9	9	1015	131	13	13	13	3
مصرى	927	-4.28	12	14	1493	40	12	1	1	1456	151	9	4	4	4
ليه	921	-3.43	52	64	985	62	3	3	3	2896	845	74	74	74	3
عمل	916	-3.52	36	56	466	53	21	21	21	1015	78	30	30	30	3
تانيه	910	-4.77	10	12	721	61	11	6	1	2896	845	115	63	3	5
