word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	196957	-2.64	64	75	1207	550	550	550	550	1928	98	98	98	98	2
la	115799	-3.44	58	67	731	42	42	42	42	3931	181	181	181	181	2
y	90731	-4.3	0	11	56	56	56	56	56	148	148	148	148	148	1
d	52086	-4.3	0	17	1207	1207	1207	1207	1207	134	134	134	134	134	1
que	51659	-3.67	14	16	107	95	39	39	39	1928	59	40	40	40	3
del	49459	-4.02	20	25	1207	550	27	27	27	571	66	2	2	2	3
l	47950	-4.3	0	18	731	731	731	731	731	571	571	571	571	571	1
a	47128	-4.3	0	39	2048	2048	2048	2048	2048	3931	3931	3931	3931	3931	1
los	45834	-3.45	32	37	731	42	2	2	2	4589	1502	88	88	88	3
el	45453	-3.37	54	61	1453	93	93	93	93	571	66	66	66	66	2
en	41877	-2.68	48	65	1453	246	246	246	246	1943	496	496	496	496	2
ye	32145	-4.24	54	58	56	13	13	13	13	1928	13	13	13	13	2
un	31024	-3.96	28	44	202	58	58	58	58	1943	16	16	16	16	2
les	29107	-3.2	28	32	731	64	6	6	6	4589	2586	376	376	376	3
una	28162	-4.12	26	34	202	58	3	3	3	3931	334	22	22	22	3
so	23139	-3.19	58	73	1242	205	205	205	205	1055	29	29	29	29	2
nel	21542	-5.04	16	21	492	107	6	6	6	571	66	6	6	6	3
al	20395	-2.48	52	69	2048	306	306	306	306	571	352	352	352	352	2
na	18435	-2.69	62	72	492	126	126	126	126	3931	334	334	334	334	2
como	18184	-4.66	20	21	2476	988	201	3	3	1055	23	4	2	2	4
con	16712	-2.54	38	42	2476	988	490	490	490	1943	273	1	1	1	3
por	16124	-3.38	20	26	1794	227	34	34	34	1115	206	3	3	3	3
o	13610	-4.3	0	27	395	395	395	395	395	1055	1055	1055	1055	1055	1
más	13386	-4.46	12	16	1209	24	4	4	4	4589	18	8	8	8	3
pa	13365	-3.02	68	84	1794	322	322	322	322	3931	38	38	38	38	2
foi	11600	-4.85	26	29	879	148	2	2	2	269	10	1	1	1	3
n	10520	-4.3	0	18	492	492	492	492	492	1943	1943	1943	1943	1943	1
nun	10326	-5.03	20	24	492	55	7	7	7	1943	16	1	1	1	3
qu	10025	-5.05	46	52	107	95	95	95	95	2739	1	1	1	1	2
se	8262	-2.21	68	81	1242	258	258	258	258	1928	584	584	584	584	2
ente	7571	-3.26	10	17	1453	246	93	18	18	1928	528	411	329	329	4
sos	7467	-2.94	32	39	1242	205	9	9	9	4589	1502	56	56	56	3
tamién	7278	-7.25	2	3	921	124	14	3	1	1943	25	15	1	1	6
son	7090	-3.7	42	46	1242	205	17	17	17	1943	273	22	22	22	3
tien	5764	-4.83	10	12	921	73	17	9	9	1943	496	23	7	7	4
col	5615	-3.61	24	30	2476	988	94	94	94	571	38	2	2	2	3
dende	5532	-5.22	4	6	1207	550	40	1	1	1928	98	30	18	1	5
años	5310	-4.4	0	4	2048	13	2	1	1	4589	1502	19	11	11	4
sieglu	5303	-8.07	2	2	1242	184	15	3	3	2739	115	2	2	1	6
nos	5097	-2.91	34	37	492	125	3	3	3	4589	1502	125	125	125	3
s	5028	-4.3	0	29	1242	1242	1242	1242	1242	4589	4589	4589	4589	4589	1
dos	4906	-3.28	30	37	1207	102	5	5	5	4589	1502	45	45	45	3
esti	4767	-5.13	12	16	1453	638	227	15	15	269	13	4	3	3	4
cola	4666	-4.11	32	36	2476	988	94	6	6	3931	181	21	2	2	4
ta	4637	-2.8	68	83	921	124	124	124	124	3931	390	390	390	390	2
pol	4612	-4.08	32	39	1794	227	39	39	39	571	38	2	2	2	3
pola	4390	-4.58	30	33	1794	227	39	7	7	3931	181	21	1	1	4
conceyu	4338	-6.84	2	3	2476	988	490	51	31	2739	44	15	1	1	7
lo	4315	-3.61	48	57	731	42	42	42	42	1055	59	59	59	59	2
esta	4288	-3.6	18	29	1453	638	227	64	64	3931	390	131	29	29	4
parte	4262	-4.5	10	14	1794	322	117	46	3	1928	528	25	10	6	5
pero	4098	-4.42	18	21	1794	304	151	1	1	1055	89	30	1	1	4
ser	4040	-4.05	26	31	1242	258	37	37	37	1115	261	3	3	3	3
añu	3989	-3.98	10	15	2048	13	1	1	1	2739	35	21	21	21	3
