word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
və	280173	-3.44	46	51	437	105	105	105	105	1993	17	17	17	17	2
bu	90737	-3.62	50	60	1090	97	97	97	97	432	9	9	9	9	2
bir	88186	-3.04	34	39	1090	258	68	68	68	2286	451	11	11	11	3
ildə	82471	-5.03	12	15	927	68	8	3	3	1993	709	14	9	9	4
ci	78875	-3.4	64	70	299	45	45	45	45	2426	28	28	28	28	2
ilə	76772	-4.16	20	31	927	68	2	2	2	1993	184	40	40	40	3
də	58443	-2.37	58	68	1046	197	197	197	197	1993	709	709	709	709	2
azərbaycan	47277	-10.2	0	0	1245	59	24	24	19	3499	732	11	3	3	10
olan	42604	-4.5	20	25	511	159	25	10	10	3499	732	58	1	1	4
da	40688	-2.33	60	75	1046	218	218	218	218	2158	684	684	684	684	2
ki	38388	-2.92	66	75	878	117	117	117	117	2426	107	107	107	107	2
o	37742	-4.3	0	23	511	511	511	511	511	83	83	83	83	83	1
sonra	37704	-6.09	6	7	1360	79	25	7	7	2158	121	2	1	1	5
üçün	37411	-5.51	4	6	140	10	5	4	4	3499	59	2	1	1	4
kimi	36560	-5.06	6	8	878	117	14	4	4	2426	60	23	3	3	4
isə	33569	-4.29	16	20	927	183	1	1	1	1993	54	11	11	11	3
onun	32216	-4.61	8	10	511	23	6	3	3	3499	207	90	16	16	4
çox	29419	-4.35	14	16	387	21	17	17	17	42	5	1	1	1	3
il	27093	-3.68	52	70	927	68	68	68	68	411	77	77	77	77	2
tərəfindən	26700	-8.24	0	0	1164	493	78	30	23	3499	591	385	183	155	10
سی	25962	-3.59	32	38	61	18	18	18	18	152	10	10	10	10	2
cü	24375	-3.87	26	30	299	20	20	20	20	178	9	9	9	9	2
böyük	24023	-4.62	6	6	1090	73	18	16	6	520	24	3	1	1	5
idi	23887	-3.9	28	34	927	54	5	5	5	2426	214	11	11	11	3
edir	23587	-3.64	18	20	473	93	61	8	8	2286	451	241	3	3	4
görə	23263	-3.84	12	18	647	231	79	10	10	1993	152	1	1	1	4
baş	23179	-3.82	40	44	1090	326	81	81	81	334	23	3	3	3	3
و	21489	-4.32	0	5	18	18	18	18	18	31	31	31	31	31	1
ən	21254	-3.4	38	46	613	19	19	19	19	3499	591	591	591	591	2
öz	20736	-4.33	22	27	204	32	32	32	32	216	3	3	3	3	2
ilk	20484	-6.58	8	10	927	68	3	3	3	520	2	1	1	1	3
yeni	19981	-4.48	8	10	772	150	16	13	13	2426	369	5	1	1	4
cı	18664	-4.17	38	42	299	4	4	4	4	1660	28	28	28	28	2
cu	18375	-4.34	48	52	299	4	4	4	4	432	14	14	14	14	2
olaraq	18028	-5.75	8	8	511	159	25	6	2	439	196	50	44	8	6
olmuşdur	17891	-7.68	0	1	511	159	54	8	6	2286	137	55	17	17	8
daha	17288	-7.03	18	18	1046	218	2	1	1	2158	10	7	2	2	4
dövlət	17222	-5.46	2	4	1046	107	59	28	26	510	182	10	1	1	6
ngc	16927	-6.42	0	0	473	1	1	1	1	63	1	1	1	1	3
hər	16334	-3.38	16	22	691	194	39	39	39	2286	556	7	7	7	3
qədər	15851	-5.29	12	13	1166	179	14	5	4	2286	556	16	5	3	5
edilmişdir	15839	-7.59	0	0	473	93	61	45	22	2286	451	241	72	72	10
bütün	15249	-6.22	2	2	1090	27	7	3	3	3499	59	4	2	1	5
ya	14789	-2.36	50	63	772	402	402	402	402	2158	295	295	295	295	2
iki	14757	-4.71	28	34	927	16	13	13	13	2426	107	17	17	17	3
s	14209	-4.3	0	21	1360	1360	1360	1360	1360	216	216	216	216	216	1
həmin	13601	-4.61	10	11	691	194	23	6	1	3499	991	37	7	1	5
ilin	13501	-4.64	12	18	927	68	9	6	6	3499	991	23	7	7	4
illərdə	13437	-6.45	4	7	927	68	20	15	14	1993	709	73	59	51	7
oğlu	13288	-4.77	8	10	511	20	11	7	7	432	81	8	7	7	4
olub	13092	-4.42	10	10	511	159	51	3	3	290	31	12	1	1	4
yerləşir	12810	-7.65	0	0	772	150	57	37	35	2286	451	13	4	3	8
بو	12670	-4.43	16	20	70	21	21	21	21	31	1	1	1	1	2
edən	12641	-4.03	12	17	473	93	25	9	9	3499	591	385	4	4	4
belə	12622	-5.3	8	10	1090	60	18	5	5	1993	184	3	2	2	4
istifadə	12496	-7.67	0	0	927	183	110	48	14	1993	709	35	2	2	8
tarixi	12254	-7.65	4	8	1164	214	33	27	25	2426	11	3	1	1	6
ildən	12248	-5.6	6	9	927	68	8	3	1	3499	591	385	10	8	5
olur	12154	-4.64	10	11	511	159	51	5	5	2286	137	12	1	1	4
həyatı	12106	-6.48	4	6	691	194	21	16	16	1660	64	45	11	1	6
arasında	12080	-6.14	0	1	1245	140	35	7	7	2158	684	365	256	80	8
i	11887	-4.3	0	41	927	927	927	927	927	2426	2426	2426	2426	2426	1
bəy	11592	-4.91	20	24	1090	137	21	21	21	101	7	5	5	5	3
اهالی	11520	-5.56	2	3	214	9	5	4	2	152	14	3	1	1	5
biri	11510	-3.95	12	14	1090	258	68	13	13	2426	440	30	3	3	4
adı	11478	-3.51	30	40	1245	113	12	12	12	1660	189	27	27	27	3
lakin	11421	-6.78	4	4	210	56	1	1	1	3499	991	20	2	1	5
kənd	11240	-5.29	6	8	878	120	43	32	32	261	37	21	9	9	4
etmişdir	11111	-6.23	0	1	473	115	47	10	6	2286	451	241	72	72	8
digər	10849	-6.13	4	5	1046	169	9	7	7	2286	556	9	1	1	5
milli	10842	-5.68	6	6	1605	123	26	13	3	2426	300	22	12	2	5
ə	10821	-4.3	0	28	613	613	613	613	613	1993	1993	1993	1993	1993	1
elmi	10801	-5.18	6	10	473	72	22	7	7	2426	60	3	1	1	4
müxtəlif	10580	-8.9	0	0	1605	361	10	5	5	77	27	6	2	2	8
onu	10493	-4.38	18	22	511	23	6	6	6	432	75	11	11	11	3
vasitəsilə	10474	-10.87	0	0	437	112	22	19	16	1993	184	40	7	3	10
orta	10468	-5.28	4	7	511	85	12	11	11	2158	61	8	4	4	4
bakı	10451	-4.24	20	21	1090	326	17	10	10	1660	43	35	1	1	4
əsas	10185	-6.31	2	4	613	93	19	18	18	216	34	4	1	1	4
var	10058	-3.65	38	41	437	112	29	29	29	2286	553	6	6	6	3
dəfə	9999	-5.76	10	11	1046	197	8	4	4	1993	18	4	2	2	4
etmək	9936	-4.82	6	8	473	115	47	37	6	520	167	67	6	2	5
əsasən	9821	-7.81	2	2	613	93	19	18	1	3499	591	18	1	1	6
ona	9815	-4.2	22	28	511	23	1	1	1	2158	344	8	8	8	3
haqqında	9727	-7.42	0	0	691	188	17	11	7	2158	684	365	256	2	8
üzrə	9726	-5.35	2	4	140	42	2	1	1	1993	152	2	1	1	4
respublikasının	9703	-11.11	0	0	412	89	19	14	14	3499	770	453	287	85	15
xan	9648	-3.14	48	55	385	145	30	30	30	3499	732	15	15	15	3
onların	9589	-5.82	2	3	511	23	9	9	8	3499	770	156	146	133	7
göy	9448	-5.06	6	8	647	231	16	16	16	101	1	1	1	1	3
tipli	9325	-7.01	0	1	1164	72	8	2	1	2426	300	1	1	1	5
başqa	9274	-5.94	4	5	1090	326	81	10	10	2158	17	2	1	1	5
istiqamətində	9229	-11.57	0	0	927	183	110	48	17	1993	709	345	302	32	13
kəşf	9134	-6.38	0	1	878	120	6	5	5	77	1	1	1	1	4
qəbul	9055	-6.7	0	2	1166	179	28	3	3	411	28	5	2	1	5
adlı	9037	-4.83	8	11	1245	113	42	1	1	1660	195	8	7	7	4
qeydə	9026	-5.59	0	1	1166	14	14	10	1	1993	709	3	2	1	5
a	8984	-4.3	0	38	1245	1245	1245	1245	1245	2158	2158	2158	2158	2158	1
daxil	8953	-7.34	2	3	1046	218	8	8	8	411	77	1	1	1	5
həm	8942	-3.94	10	14	691	194	23	23	23	311	45	3	3	3	3
təşkil	8915	-5.75	0	1	1164	493	35	28	28	411	77	6	1	1	6
نوفوس	8863	-7.08	0	0	26	2	1	1	1	13	2	1	1	1	5
alınmış	8856	-6.75	0	1	1245	193	26	17	9	334	112	85	21	3	7
نفر	8812	-4.87	2	2	26	2	2	2	2	83	1	1	1	1	3
m	8779	-4.3	0	27	1605	1605	1605	1605	1605	311	311	311	311	311	1
burada	8764	-5.81	2	4	1090	97	33	24	3	2158	684	98	13	2	6
ölçülü	8677	-6.49	2	3	204	89	11	9	4	178	24	5	1	1	6
üzündə	8594	-5.29	2	5	140	42	12	7	3	1993	709	345	23	5	6
olunur	8584	-5.89	8	9	511	159	51	43	5	2286	137	8	5	2	6
türk	8446	-4.66	2	4	1164	59	48	42	42	520	15	3	3	3	4
kataloqda	8284	-10.68	0	0	878	140	13	3	3	2158	684	26	1	1	9
bürcü	8262	-6.08	2	3	1090	27	9	3	1	178	9	3	3	2	5
etdi	8230	-4.3	4	7	473	115	40	40	40	2426	214	3	2	2	4
qədim	8221	-6.23	4	5	1166	179	14	7	5	311	61	10	1	1	5
edilir	8059	-6.0	6	7	473	93	61	45	4	2286	451	40	34	4	6
sm	8029	-5.23	38	45	1360	3	3	3	3	311	2	2	2	2	2
qarşı	7957	-5.4	6	7	1166	461	97	22	22	1660	32	3	2	1	5
