word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
йылға	122872	-3.93	4	4	424	127	70	28	27	4153	294	21	13	12	5
бассейны	85709	-8.66	0	2	1411	467	23	14	13	1778	114	4	1	1	8
һыу	64285	-4.2	6	9	536	75	25	25	25	288	112	8	8	8	3
км	41208	-4.99	36	49	1863	3	3	3	3	411	2	2	2	2	2
рәсәй	33272	-5.39	0	1	454	61	26	7	7	800	122	5	2	1	5
йылғаһы	30306	-5.48	2	4	424	127	70	28	27	1778	238	130	9	5	7
тиклем	28923	-6.92	2	2	1669	130	17	4	4	411	52	10	1	1	6
буйынса	26030	-8.17	2	3	1411	160	19	7	6	4153	89	12	8	2	7
урынлашҡан	23215	-10.04	0	0	547	144	37	34	13	1943	705	39	10	7	10
дәүләт	20816	-6.7	0	1	467	55	32	23	23	583	120	7	4	4	6
хужалығы	20258	-6.78	0	0	492	52	13	13	11	1778	193	50	36	6	8
бәләкәй	20232	-7.7	6	6	1411	68	8	6	3	800	122	20	8	3	7
оҙонлоғо	20161	-9.5	0	0	422	18	12	12	8	274	6	4	2	1	8
ҡушыла	20072	-5.6	2	2	945	143	34	20	16	4153	273	55	1	1	6
аға	20064	-3.49	24	34	1169	47	26	26	26	4153	294	38	38	38	3
округында	20034	-8.49	0	0	422	50	12	12	12	4153	448	329	250	3	9
мәғлүмәте	20029	-6.98	0	0	1030	166	29	9	9	1089	85	32	5	2	9
биләмәләрендә	20029	-10.25	0	0	1411	176	46	18	14	1065	178	153	119	34	13
реестры	20025	-9.41	0	0	454	103	1	1	1	1778	329	5	2	1	7
өлкәһе	20021	-5.87	4	5	184	54	18	18	7	1089	88	57	5	2	6
участкаһы	20015	-10.45	0	0	547	25	9	5	4	1778	238	130	16	2	9
обь	19404	-4.61	8	11	422	30	1	1	1	480	4	3	3	3	3
йылғаһының	19396	-6.75	0	0	424	127	70	28	27	598	386	211	138	33	10
һәм	19331	-4.65	24	24	536	25	2	2	2	411	35	2	2	2	3
тамағынан	19309	-7.84	0	0	1669	437	51	31	5	1943	705	114	77	7	9
өҫтәрәк	18325	-6.25	0	0	184	25	19	10	2	659	104	34	8	2	7
ярына	18297	-4.63	4	7	484	92	26	5	2	4153	388	184	29	1	5
халыҡ	12578	-4.92	4	5	492	161	35	18	15	302	117	77	10	1	5
үрге	12460	-5.77	0	1	228	20	3	3	3	1089	124	5	1	1	4
эске	10865	-6.56	2	3	272	27	3	1	1	1089	17	2	1	1	4
рәсәйҙәге	10756	-8.94	0	0	454	61	26	7	7	1089	124	64	7	1	9
кеше	10306	-4.65	2	3	1863	130	21	20	20	1089	25	13	1	1	4
иртыш	10228	-6.7	2	2	727	63	10	2	2	302	90	10	3	1	5
һул	9397	-5.23	22	24	536	52	2	2	2	328	31	1	1	1	3
уң	9199	-4.29	30	33	547	17	17	17	17	598	2	2	2	2	2
кама	8893	-4.48	20	25	1863	334	38	3	3	4153	223	15	3	3	4
ҡушылғанға	8863	-7.81	0	0	945	143	34	20	16	4153	294	28	14	3	10
республикаһы	8525	-11.17	0	0	454	103	20	16	16	1778	238	130	16	11	12
төньяҡ	8187	-6.43	8	8	1669	179	20	9	9	302	13	3	3	2	6
һаны	7125	-4.64	14	18	536	185	23	5	5	1778	114	63	2	2	4
ао	6984	-4.64	64	70	1169	1	1	1	1	274	6	6	6	6	2
почта	6970	-6.5	6	7	825	201	9	2	1	4153	266	1	1	1	5
коды	6968	-5.06	8	9	1863	358	6	1	1	1778	78	6	1	1	4
индексы	6952	-8.69	0	1	727	119	23	16	2	1778	124	5	5	2	7
двина	6778	-5.76	2	2	467	12	4	4	1	4153	388	70	3	1	5
волга	6489	-5.56	4	5	567	138	34	4	2	4153	272	11	4	1	5
йылдың	6148	-5.03	2	3	424	127	70	18	3	598	386	46	7	2	6
түбәнге	6138	-7.69	2	2	1669	38	14	13	7	1089	124	6	4	3	7
печора	5916	-7.35	0	1	825	112	7	2	2	4153	167	18	1	1	6
ҡушылған	5765	-6.03	0	0	945	143	34	20	16	1943	705	160	61	40	8
ҡушылдыҡтары	5727	-9.52	0	0	945	143	34	20	16	1778	329	261	92	26	12
ауыл	5324	-4.92	8	9	1169	68	55	27	27	328	31	7	7	7	4
бөтә	5301	-4.99	2	2	1411	42	15	2	2	1065	84	4	1	1	4
алыу	5076	-4.55	20	24	1169	184	42	12	12	288	112	18	5	5	4
