word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
і	228282	-4.3	0	19	337	337	337	337	337	2269	2269	2269	2269	2269	1
у	211081	-4.3	0	10	390	390	390	390	390	814	814	814	814	814	1
ў	183304	-4.3	0	4	379	379	379	379	379	1331	1331	1331	1331	1331	1
з	158295	-4.3	0	9	1005	1005	1005	1005	1005	51	51	51	51	51	1
на	123938	-2.29	42	56	890	561	561	561	561	3402	559	559	559	559	2
да	56530	-2.84	46	60	919	349	349	349	349	3402	103	103	103	103	2
г	40210	-4.3	0	9	828	828	828	828	828	75	75	75	75	75	1
па	39690	-3.2	44	61	2748	1175	1175	1175	1175	3402	18	18	18	18	2
ад	35778	-3.16	26	37	1686	366	366	366	366	172	60	60	60	60	2
годзе	33937	-4.82	4	5	828	70	12	1	1	1199	101	75	13	1	5
года	31119	-5.08	12	17	828	70	12	3	3	3402	103	19	3	3	4
быў	30740	-4.41	6	7	735	34	2	2	2	1331	49	5	5	5	3
а	29686	-4.3	0	28	1686	1686	1686	1686	1686	3402	3402	3402	3402	3402	1
за	28388	-3.07	38	46	1005	494	494	494	494	3402	27	27	27	27	2
не	24623	-2.54	24	30	890	139	139	139	139	1199	343	343	343	343	2
яго	23477	-5.92	6	7	185	9	3	3	3	96	11	3	3	3	3
для	22136	-6.19	2	4	919	1	1	1	1	2083	47	1	1	1	3
што	21890	-4.9	8	9	211	33	8	8	8	96	9	2	2	2	3
як	20909	-3.97	26	31	185	25	25	25	25	342	7	7	7	7	2
насельніцтва	19981	-9.7	0	0	890	561	71	18	14	3402	255	99	27	13	12
пасля	19572	-5.89	4	4	2748	1175	131	21	8	2083	47	1	1	1	5
які	17120	-4.15	6	14	185	25	5	5	5	2269	561	4	4	4	3
таксама	16671	-8.79	0	0	577	109	18	2	1	3402	85	23	2	1	7
м	16300	-4.3	0	22	1080	1080	1080	1080	1080	1121	1121	1121	1121	1121	1
аб	16140	-3.94	36	43	1686	173	173	173	173	49	8	8	8	8	2
якія	15836	-5.11	8	10	185	25	5	1	1	2083	217	89	1	1	4
км	15757	-4.62	42	49	1320	3	3	3	3	1121	2	2	2	2	2
была	15227	-4.76	14	16	735	34	14	2	2	3402	329	21	3	3	4
ён	14537	-5.04	26	29	23	1	1	1	1	294	17	17	17	17	2
былі	13510	-4.68	18	19	735	34	14	1	1	2269	331	24	3	3	4
