word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
на	1752334	-2.03	42	53	913	512	512	512	512	4846	835	835	835	835	2
и	993429	-4.3	0	24	927	927	927	927	927	3002	3002	3002	3002	3002	1
в	949641	-4.3	0	12	936	936	936	936	936	362	362	362	362	362	1
е	775842	-4.3	0	20	439	439	439	439	439	2095	2095	2095	2095	2095	1
от	684532	-3.61	28	35	1172	281	281	281	281	1526	19	19	19	19	2
се	445267	-3.67	52	62	2002	203	203	203	203	2095	10	10	10	10	2
за	393394	-2.76	30	35	648	461	461	461	461	4846	56	56	56	56	2
с	326700	-4.3	0	25	2002	2002	2002	2002	2002	337	337	337	337	337	1
през	322420	-4.58	10	11	2643	1120	431	14	14	44	8	4	1	1	4
г	290488	-4.3	0	9	554	554	554	554	554	127	127	127	127	127	1
да	242373	-2.95	52	65	1006	88	88	88	88	4846	171	171	171	171	2
по	241505	-3.61	44	53	2643	790	790	790	790	2116	7	7	7	7	2
са	182516	-2.91	58	68	2002	107	107	107	107	4846	69	69	69	69	2
като	175882	-4.02	8	11	1356	315	38	12	12	2116	902	19	2	2	4
година	149064	-5.84	4	5	554	124	16	15	4	4846	835	103	7	3	6
си	131770	-3.12	56	64	2002	107	107	107	107	3002	64	64	64	64	2
до	126644	-3.26	52	64	1006	228	228	228	228	2116	24	24	24	24	2
след	113772	-4.83	2	5	2002	136	30	28	28	246	33	8	1	1	4
а	105435	-4.3	0	26	727	727	727	727	727	4846	4846	4846	4846	4846	1
му	99335	-4.7	36	39	990	34	34	34	34	43	1	1	1	1	2
това	83781	-4.92	12	13	746	94	5	5	5	4846	604	53	6	6	4
най	80106	-4.87	22	25	913	512	5	5	5	204	29	1	1	1	3
че	76930	-3.77	26	31	248	104	104	104	104	2095	20	20	20	20	2
не	75167	-2.54	36	44	913	184	184	184	184	2095	356	356	356	356	2
при	74316	-2.84	12	18	2643	1120	237	237	237	3002	175	1	1	1	3
той	72194	-4.94	26	27	746	94	2	2	2	204	24	4	4	4	3
към	66494	-4.58	10	11	1356	33	2	2	2	164	21	2	2	2	3
има	63317	-4.04	10	19	927	55	13	13	13	4846	127	21	21	21	3
които	63204	-6.78	6	7	1356	476	2	1	1	2116	902	17	1	1	5
който	62894	-6.62	6	6	1356	476	2	1	1	2116	902	2	1	1	5
но	59305	-2.74	42	54	913	88	88	88	88	2116	553	553	553	553	2
или	57587	-4.21	8	18	927	20	12	12	12	3002	259	37	37	37	3
