word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
র	724652	-4.3	0	81	573	573	573	573	573	714	714	714	714	714	1
ন	391864	-4.3	0	77	311	311	311	311	311	730	730	730	730	730	1
য	355685	-4.31	0	68	212	212	212	212	212	326	326	326	326	326	1
ত	323225	-4.3	0	74	291	291	291	291	291	469	469	469	469	469	1
ক	294368	-4.3	0	76	370	370	370	370	370	638	638	638	638	638	1
ব	267863	-4.3	0	76	417	417	417	417	417	359	359	359	359	359	1
স	264292	-4.3	0	76	382	382	382	382	382	424	424	424	424	424	1
ল	226297	-4.31	0	76	244	244	244	244	244	440	440	440	440	440	1
প	199564	-4.3	0	70	279	279	279	279	279	298	298	298	298	298	1
ম	187106	-4.3	0	75	314	314	314	314	314	451	451	451	451	451	1
দ	175029	-4.31	0	71	227	227	227	227	227	325	325	325	325	325	1
শ	115789	-4.31	0	64	197	197	197	197	197	165	165	165	165	165	1
ট	115670	-4.31	0	68	172	172	172	172	172	330	330	330	330	330	1
জ	105041	-4.3	0	69	275	275	275	275	275	190	190	190	190	190	1
গ	92385	-4.3	0	71	291	291	291	291	291	270	270	270	270	270	1
ষ	80476	-4.31	0	60	147	147	147	147	147	56	56	56	56	56	1
হ	79494	-4.31	0	62	199	199	199	199	199	230	230	230	230	230	1
কর	74702	-3.08	150	226	370	54	54	54	54	714	53	53	53	53	2
থ	72959	-4.32	0	52	108	108	108	108	108	90	90	90	90	90	1
ভ	71141	-4.32	0	60	108	108	108	108	108	227	227	227	227	227	1
ছ	67635	-4.35	0	40	39	39	39	39	39	46	46	46	46	46	1
ড	63401	-4.32	0	63	103	103	103	103	103	224	224	224	224	224	1
চ	60261	-4.31	0	63	167	167	167	167	167	125	125	125	125	125	1
খ	54857	-4.32	0	54	91	91	91	91	91	79	79	79	79	79	1
ধ	52324	-4.31	0	47	128	128	128	128	128	73	73	73	73	73	1
ও	45226	-4.31	0	63	121	121	121	121	121	174	174	174	174	174	1
হয	43120	-4.16	130	141	199	3	3	3	3	326	6	6	6	6	2
পর	38110	-3.01	144	210	279	52	52	52	52	714	53	53	53	53	2
এব	33854	-3.78	142	167	531	10	10	10	10	359	7	7	7	7	2
ই	33069	-4.3	0	71	388	388	388	388	388	178	178	178	178	178	1
রত	30404	-3.13	160	220	573	34	34	34	34	469	53	53	53	53	2
অন	26484	-4.11	146	174	295	25	25	25	25	730	2	2	2	2	2
জন	25945	-2.98	150	205	275	70	70	70	70	730	57	57	57	57	2
ফ	25772	-4.32	0	52	105	105	105	105	105	148	148	148	148	148	1
একট	23707	-4.07	112	118	531	80	1	1	1	330	33	4	4	4	3
এই	23282	-4.11	132	158	531	50	50	50	50	178	2	2	2	2	2
ণ	22681	-4.32	0	60	95	95	95	95	95	238	238	238	238	238	1
এর	22587	-3.29	144	188	531	29	29	29	29	714	18	18	18	18	2
বর	21093	-2.92	152	227	417	62	62	62	62	714	60	60	60	60	2
সম	18885	-2.85	146	213	382	54	54	54	54	451	109	109	109	109	2
মধ	17580	-4.04	114	128	314	3	3	3	3	73	14	14	14	14	2
হল	16922	-3.42	136	167	199	17	17	17	17	440	20	20	20	20	2
রক	15241	-3.05	160	236	573	38	38	38	38	638	63	63	63	63	2
তর	14728	-3.03	146	210	291	48	48	48	48	714	41	41	41	41	2
ঠ	14514	-4.34	0	38	51	51	51	51	51	26	26	26	26	26	1
রণ	12279	-3.2	144	192	573	34	34	34	34	238	66	66	66	66	2
ওয	11368	-4.34	132	163	121	1	1	1	1	326	85	85	85	85	2
বল	11314	-3.22	148	203	417	34	34	34	34	440	29	29	29	29	2
ঞ	10941	-4.43	0	29	13	13	13	13	13	95	95	95	95	95	1
শহর	10531	-3.81	44	61	197	15	13	13	13	714	30	7	7	7	3
বন	10523	-3.02	152	220	417	43	43	43	43	730	52	52	52	52	2
এক	10061	-3.4	144	188	531	80	80	80	80	638	10	10	10	10	2
অ	10019	-4.3	0	37	295	295	295	295	295	5	5	5	5	5	1
এ	9876	-4.3	0	39	531	531	531	531	531	29	29	29	29	29	1
মন	9393	-3.23	152	214	314	25	25	25	25	730	54	54	54	54	2
ষরত	8812	-4.82	84	88	147	16	1	1	1	469	53	1	1	1	3
ঘ	8582	-4.32	0	40	82	82	82	82	82	41	41	41	41	41	1
রয	8516	-3.87	150	179	573	4	4	4	4	326	19	19	19	19	2
