word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
র	420998	-4.3	0	74	227	227	227	227	227	439	439	439	439	439	1
ন	276431	-4.31	0	72	172	172	172	172	172	278	278	278	278	278	1
ম	210768	-4.31	0	66	186	186	186	186	186	173	173	173	173	173	1
গ	138971	-4.31	0	67	129	129	129	129	129	159	159	159	159	159	1
হ	136854	-4.32	0	59	86	86	86	86	86	161	161	161	161	161	1
ল	136055	-4.31	0	71	142	142	142	142	142	241	241	241	241	241	1
ব	133637	-4.31	0	65	160	160	160	160	160	138	138	138	138	138	1
য	127540	-4.32	0	59	64	64	64	64	64	115	115	115	115	115	1
ক	116646	-4.31	0	65	163	163	163	163	163	205	205	205	205	205	1
জ	97687	-4.31	0	50	129	129	129	129	129	89	89	89	89	89	1
প	95895	-4.31	0	68	107	107	107	107	107	226	226	226	226	226	1
স	89650	-4.31	0	57	131	131	131	131	131	187	187	187	187	187	1
ত	86927	-4.31	0	69	108	108	108	108	108	189	189	189	189	189	1
ট	78430	-4.32	0	53	60	60	60	60	60	73	73	73	73	73	1
ই	48394	-4.3	0	52	233	233	233	233	233	56	56	56	56	56	1
ইউন	41404	-5.36	40	43	233	20	1	1	1	278	3	1	1	1	3
ইল	40631	-3.42	138	177	233	21	21	21	21	241	21	21	21	21	2
দ	39721	-4.31	0	61	101	101	101	101	101	136	136	136	136	136	1
বর	38679	-3.35	136	175	160	26	26	26	26	439	21	21	21	21	2
এহ	37133	-4.03	120	131	222	4	4	4	4	161	9	9	9	9	2
খ	35909	-4.34	0	42	41	41	41	41	41	52	52	52	52	52	1
নর	33632	-3.36	142	185	172	15	15	15	15	439	31	31	31	31	2
আস	30842	-3.89	120	142	291	12	12	12	12	187	5	5	5	5	2
রহ	25883	-3.73	134	160	227	7	7	7	7	161	16	16	16	16	2
অত	25841	-4.31	142	155	119	3	3	3	3	189	3	3	3	3	2
ভ	25659	-4.33	0	46	48	48	48	48	48	65	65	65	65	65	1
জনস	25164	-4.37	44	49	129	23	3	3	3	187	16	1	1	1	3
রসভ	23792	-4.71	22	26	227	10	2	2	2	65	6	1	1	1	3
ষ	21939	-4.34	0	27	39	39	39	39	39	13	13	13	13	13	1
ড	21344	-4.33	0	54	54	54	54	54	54	177	177	177	177	177	1
শ	21117	-4.32	0	48	64	64	64	64	64	55	55	55	55	55	1
ষরত	20156	-4.98	38	41	39	4	1	1	1	189	30	1	1	1	3
গনন	19553	-4.97	46	50	129	14	1	1	1	278	10	1	1	1	3
ঙ	18681	-4.34	0	44	38	38	38	38	38	55	55	55	55	55	1
লয	16365	-4.51	132	146	142	1	1	1	1	115	10	10	10	10	2
শহর	15843	-3.96	24	34	64	8	7	7	7	439	18	5	5	5	3
পর	15332	-3.5	138	158	107	20	20	20	20	439	11	11	11	11	2
রতর	15222	-5.13	50	56	227	20	2	2	2	439	11	1	1	1	3
অন	14566	-4.24	140	155	119	7	7	7	7	278	2	2	2	2	2
ইত	14475	-3.85	144	164	233	7	7	7	7	189	9	9	9	9	2
এগত	14473	-4.49	42	46	222	8	2	2	2	189	20	1	1	1	3
আয	14277	-4.77	126	135	291	1	1	1	1	115	2	2	2	2	2
থ	13833	-4.33	0	33	46	46	46	46	46	43	43	43	43	43	1
যর	13495	-4.86	128	133	64	2	2	2	2	439	1	1	1	1	2
উন	13323	-4.01	130	150	168	12	12	12	12	278	3	3	3	3	2
আহ	11567	-3.78	126	144	291	10	10	10	10	161	7	7	7	7	2
বসর	11470	-4.3	48	55	160	9	3	3	3	439	19	2	2	2	3
লর	10869	-3.98	144	166	142	3	3	3	3	439	15	15	15	15	2
গর	10849	-3.32	138	174	129	15	15	15	15	439	64	64	64	64	2
এর	10526	-4.3	132	141	222	4	4	4	4	439	4	4	4	4	2
গম	10404	-4.26	128	138	129	9	9	9	9	173	2	2	2	2	2
আগ	10285	-4.0	132	153	291	14	14	14	14	159	3	3	3	3	2
ফ	10282	-4.33	0	45	53	53	53	53	53	72	72	72	72	72	1
ইলত	9434	-4.56	46	51	233	21	2	2	2	189	9	3	3	3	3
তনহ	8916	-4.98	30	33	108	7	1	1	1	161	17	1	1	1	3
ঘরর	8600	-4.97	38	41	24	7	1	1	1	439	35	1	1	1	3
চ	7876	-4.32	0	42	86	86	86	86	86	55	55	55	55	55	1
লপ	7292	-3.99	140	157	142	3	3	3	3	226	18	18	18	18	2
ঘ	6939	-4.36	0	20	24	24	24	24	24	21	21	21	21	21	1
কর	6572	-3.23	136	186	163	31	31	31	31	439	44	44	44	44	2
উপজ	6510	-4.87	30	33	168	20	1	1	1	89	2	1	1	1	3
কম	6348	-3.62	126	146	163	12	12	12	12	173	13	13	13	13	2
ইলয	6166	-4.94	48	51	233	21	1	1	1	115	10	1	1	1	3
অক	6165	-4.53	132	137	119	6	6	6	6	205	1	1	1	1	2
শর	6018	-4.08	116	129	64	7	7	7	7	439	4	4	4	4	2
তন	5762	-3.95	134	150	108	7	7	7	7	278	8	8	8	8	2
বসরর	5654	-5.41	6	9	160	9	3	1	1	439	35	2	2	2	4
ৱ	5525	-4.36	0	37	27	27	27	27	27	79	79	79	79	79	1
ও	5440	-4.32	0	32	82	82	82	82	82	20	20	20	20	20	1
সহ	5268	-3.98	118	129	131	8	8	8	8	161	4	4	4	4	2
ঘর	5168	-3.8	96	110	24	7	7	7	7	439	11	11	11	11	2
